T d154 d184 d214 d244
d 150 180 210 240
290 2.224464000E-02 2.149630600E-02 2.258424100E-02 2.287414500E-02
295 2.126846700E-02 2.046337200E-02 2.146560300E-02 2.152883700E-02
300 1.950955100E-02 1.843829500E-02 1.917204100E-02 1.937982000E-02
305 1.506027800E-02 1.353704400E-02 1.393579200E-02 1.378634800E-02
310 5.998187000E-03 3.697339000E-03 3.582065000E-03 3.397729000E-03
315 -1.142592400E-02 -1.509171100E-02 -1.620021600E-02 -1.664546200E-02
320 -4.424184000E-02 -5.014459300E-02 -5.255633300E-02 -5.360530600E-02
325 -1.005161630E-01 -1.095085170E-01 -1.135266780E-01 -1.149906530E-01
330 -1.854599410E-01 -1.851137620E-01 -1.809602410E-01 -1.770770850E-01
335 -1.659271700E-01 -1.577323920E-01 -1.510079160E-01 -1.451752460E-01
340 -1.131936350E-01 -9.962004200E-02 -8.892679500E-02 -8.022225500E-02
