Fe B nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 1.500000000E+01 1.033792871E+00 1.111562165E+00 -7.776929400E-02 1.033478897E+00 1.109867919E+00 -7.638902200E-02
1.000000000E+01 1.524993176E+01 1.105597236E+00 1.145642285E+00 -4.004504900E-02 1.104091719E+00 1.142472952E+00 -3.838123300E-02
1.000000000E+01 1.549996187E+01 1.143124363E+00 1.150312772E+00 -7.188409000E-03 1.139377003E+00 1.146796435E+00 -7.419432000E-03
1.000000000E+01 1.574996808E+01 1.176100931E+00 1.154932069E+00 2.116886200E-02 1.170201507E+00 1.148539696E+00 2.166181100E-02
1.000000000E+01 1.600000000E+01 1.182380575E+00 1.157943566E+00 2.443700900E-02 1.172998926E+00 1.149118360E+00 2.388056600E-02
1.000000000E+01 1.624993176E+01 1.192214681E+00 1.157049090E+00 3.516559100E-02 1.140592265E+00 1.145271399E+00 -4.679134000E-03
1.000000000E+01 1.649996187E+01 1.201277097E+00 1.153247281E+00 4.802981600E-02 1.177676178E+00 1.138033532E+00 3.964264600E-02
1.000000000E+01 1.674996808E+01 1.208766178E+00 1.151609257E+00 5.715692100E-02 1.176909300E+00 1.132035249E+00 4.487405100E-02
1.000000000E+01 1.700000000E+01 1.218392723E+00 1.154860947E+00 6.353177600E-02 1.175090805E+00 1.130604363E+00 4.448644200E-02
1.016672606E+01 1.500000000E+01 1.034212378E+00 1.111650698E+00 -7.743832000E-02 1.033993071E+00 1.110361447E+00 -7.636837600E-02
1.016672606E+01 1.524993176E+01 1.105628408E+00 1.145654649E+00 -4.002624100E-02 1.104597360E+00 1.143478630E+00 -3.888127000E-02
1.016672606E+01 1.549996187E+01 1.143301935E+00 1.150333295E+00 -7.031360000E-03 1.140719806E+00 1.147914588E+00 -7.194782000E-03
1.016672606E+01 1.574996808E+01 1.176131280E+00 1.154965093E+00 2.116618700E-02 1.172025362E+00 1.150548044E+00 2.147731800E-02
1.016672606E+01 1.600000000E+01 1.182447037E+00 1.157999610E+00 2.444742700E-02 1.175896740E+00 1.151870534E+00 2.402620600E-02
1.016672606E+01 1.624993176E+01 1.192296883E+00 1.157145149E+00 3.515173400E-02 1.161535884E+00 1.148909824E+00 1.262606000E-02
1.016672606E+01 1.649996187E+01 1.201293835E+00 1.153420537E+00 4.787329800E-02 1.183447431E+00 1.142687553E+00 4.075987800E-02
1.016672606E+01 1.674996808E+01 1.208780004E+00 1.151925232E+00 5.685477200E-02 1.184823280E+00 1.137959027E+00 4.686425300E-02
1.016672606E+01 1.700000000E+01 1.218404209E+00 1.155032427E+00 6.337178200E-02 1.185776391E+00 1.138000473E+00 4.777591800E-02
1.033324570E+01 1.500000000E+01 1.034823674E+00 1.111780027E+00 -7.695635300E-02 1.034669154E+00 1.110801398E+00 -7.613224400E-02
1.033324570E+01 1.524993176E+01 1.105673053E+00 1.145635272E+00 -3.996221900E-02 1.104967861E+00 1.144132949E+00 -3.916508800E-02
1.033324570E+01 1.549996187E+01 1.143560166E+00 1.150361464E+00 -6.801298000E-03 1.141783570E+00 1.148702174E+00 -6.918604000E-03
1.033324570E+01 1.574996808E+01 1.176175806E+00 1.155013362E+00 2.116244400E-02 1.173145120E+00 1.151973643E+00 2.117147700E-02
