fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 1.836E+001 2.327E-005 1.000E+020 1.739E+000 2.400E-004 2.383E-003 
T02_285 T02_285.dat 285 40.68 1.000E+000 1.761E+001 2.500E-005 1.000E+020 1.731E+000 2.373E-004 1.986E-003 
T03_290 T03_290.dat 290 39.98 1.000E+000 1.666E+001 2.688E-005 1.000E+020 1.718E+000 2.380E-004 1.461E-003 
T04_295 T04_295.dat 295 39.3 1.000E+000 1.641E+001 2.875E-005 1.000E+020 1.710E+000 2.348E-004 1.224E-003 
T05_300 T05_300.dat 300 38.65 1.000E+000 1.559E+001 3.076E-005 1.000E+020 1.702E+000 2.315E-004 1.088E-003 
T06_305 T06_305.dat 305 38.01 1.000E+000 1.469E+001 3.283E-005 1.000E+020 1.689E+000 2.301E-004 1.080E-003 
T07_310 T07_310.dat 310 37.4 1.000E+000 1.381E+001 3.500E-005 1.000E+020 1.681E+000 2.264E-004 1.295E-003 
T08_315 T08_315.dat 315 36.81 1.000E+000 1.293E+001 3.726E-005 1.000E+020 1.670E+000 2.237E-004 1.653E-003 
T09_320 T09_320.dat 320 36.23 1.000E+000 1.203E+001 3.961E-005 1.000E+020 1.660E+000 2.198E-004 2.140E-003 
T10_325 T10_325.dat 325 35.67 1.000E+000 1.189E+001 4.186E-005 1.000E+020 1.656E+000 2.145E-004 2.750E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 1.103E+001 4.433E-005 1.000E+020 1.648E+000 2.101E-004 3.343E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 1.022E+001 4.699E-005 1.000E+020 1.633E+000 2.067E-004 4.028E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 9.424E+000 4.997E-005 1.000E+020 1.604E+000 2.055E-004 4.769E-003 
