fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 9.670E+000 5.406E-005 1.000E+020 1.639E+000 1.599E-003 3.147E-003 
T02_285 T02_285.dat 285 40.68 1.000E+000 9.419E+000 5.762E-005 1.000E+020 1.623E+000 1.598E-003 2.568E-003 
T03_290 T03_290.dat 290 39.98 1.000E+000 8.913E+000 6.127E-005 1.000E+020 1.613E+000 1.583E-003 2.125E-003 
T04_295 T04_295.dat 295 39.3 1.000E+000 8.397E+000 6.513E-005 1.000E+020 1.589E+000 1.616E-003 1.490E-003 
T05_300 T05_300.dat 300 38.65 1.000E+000 7.861E+000 6.912E-005 1.000E+020 1.571E+000 1.609E-003 1.135E-003 
T06_305 T06_305.dat 305 38.01 1.000E+000 7.312E+000 7.325E-005 1.000E+020 1.552E+000 1.601E-003 9.242E-004 
T07_310 T07_310.dat 310 37.4 1.000E+000 7.243E+000 7.723E-005 1.000E+020 1.542E+000 1.577E-003 9.897E-004 
T08_315 T08_315.dat 315 36.81 1.000E+000 6.705E+000 8.160E-005 1.000E+020 1.516E+000 1.586E-003 1.118E-003 
T09_320 T09_320.dat 320 36.23 1.000E+000 6.202E+000 8.611E-005 1.000E+020 1.496E+000 1.568E-003 1.403E-003 
T10_325 T10_325.dat 325 35.67 1.000E+000 5.714E+000 9.059E-005 1.000E+020 1.477E+000 1.545E-003 1.795E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 5.239E+000 9.547E-005 1.000E+020 1.447E+000 1.532E-003 2.240E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 4.812E+000 1.002E-004 1.000E+020 1.428E+000 1.496E-003 2.813E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 4.779E+000 1.051E-004 1.000E+020 1.408E+000 1.455E-003 3.376E-003 
