fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
UDL0 9:11 296.6 39.09 2.340E+000 2.033E-005 7.081E-010 3.382 1.148 2.387E+003 1.729E-004 0.1583 1.727E-004 8.800E-006 0.3218 
UDL1 9:13 296.6 39.09 2.340E+000 2.039E-005 6.807E-010 3.384 1.145 2.387E+003 1.727E-004 0.1581 1.724E-004 8.766E-006 0.3217 
UDL2 9:15 296.7 39.08 2.340E+000 2.082E-005 8.967E-010 3.403 1.163 2.387E+003 1.704E-004 0.1564 1.701E-004 8.523E-006 0.3203 
UDL3 9:18 296.8 39.06 2.340E+000 2.140E-005 1.350E-009 3.436 1.193 2.387E+003 1.725E-004 0.1572 1.722E-004 8.674E-006 0.3204 
UDL4 9:20 296.9 39.05 2.340E+000 2.094E-005 9.206E-010 3.403 1.163 2.387E+003 1.722E-004 0.1572 1.719E-004 8.671E-006 0.3209 
UDL5 9:23 296.9 39.05 2.340E+000 2.103E-005 1.223E-009 3.414 1.183 2.387E+003 1.732E-004 0.1578 1.729E-004 8.762E-006 0.3211 
UDL6 9:29 297.1 39.02 2.340E+000 1.998E-005 4.305E-010 3.342 1.107 2.387E+003 1.732E-004 0.1583 1.730E-004 8.830E-006 0.3226 
UDL7 9:31 297.2 39.01 2.340E+000 2.009E-005 4.149E-010 3.341 1.102 2.387E+003 1.736E-004 0.1582 1.734E-004 8.847E-006 0.3226 
UDL8 9:34 297.3 39 2.340E+000 2.152E-005 7.628E-010 3.408 1.141 2.387E+003 1.722E-004 0.156 1.720E-004 8.596E-006 0.3205 
UDL9 9:36 297.3 39 2.340E+000 2.181E-005 8.697E-010 3.423 1.149 2.387E+003 1.741E-004 0.1568 1.738E-004 8.742E-006 0.3208 
