N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.104866563E+00 1.090883677E+00 1.078769906E+00 1.067517825E+00
1.600000000E+01 1.254157629E+00 1.251511313E+00 1.249090966E+00 1.246812298E+00
1.700000000E+01 1.304609788E+00 1.302552638E+00 1.299547696E+00 1.299069143E+00
1.549996187E+01 1.223996603E+00 1.219280705E+00 1.216899387E+00 1.214087722E+00
1.649996187E+01 1.279064266E+00 1.276115963E+00 1.274460770E+00 1.273011915E+00
1.674996808E+01 1.292036365E+00 1.288243427E+00 1.287123755E+00 1.286048284E+00
1.624993176E+01 1.266213196E+00 1.263827795E+00 1.261939816E+00 1.260381445E+00
1.574996808E+01 1.241169980E+00 1.238370934E+00 1.235150926E+00 1.233377767E+00
1.524993176E+01 1.190794513E+00 1.184224425E+00 1.178933622E+00 1.174245613E+00
