fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 27668 300.15 38.628 1.051997617E+00 9.512246735E-01 1.299968588E-10 4.804556304E+05 1.623077306E-04 3.813459627E-01 1.623077306E-04 7.529352104E-01 4.660322434E-05 3.140291637E-01 1.484031717E-04 1.509285620E-02 
00L2 27822 299.96 38.652 1.110595786E+00 5.166619139E-01 2.627930691E-10 1.000000000E+12 1.619999815E-04 3.824638515E-01 1.619992381E-04 7.543931385E-01 4.674133323E-05 3.152938208E-01 1.482387786E-04 5.024626483E-02 
00L3 27944 300.07 38.638 1.065358452E+00 8.585244341E-01 1.495200851E-10 6.767765796E+05 1.622262880E-04 3.822378694E-01 1.622213442E-04 7.533330938E-01 4.671203136E-05 3.143328972E-01 1.486072547E-04 2.297416060E-02 
00L4 28066 300.07 38.638 1.054941385E+00 9.034594189E-01 1.302301231E-10 4.638570024E+05 1.622158570E-04 3.821760937E-01 1.622158570E-04 7.530055164E-01 4.668259399E-05 3.142948971E-01 1.485309809E-04 1.910737806E-02 
00L5 28184 300.05 38.641 1.052281611E+00 9.583200086E-01 1.248280692E-10 4.041419895E+05 1.619942989E-04 3.821426876E-01 1.619730167E-04 7.528205138E-01 4.659718375E-05 3.143329782E-01 1.482461152E-04 1.397699059E-02 
00L6 28304 300.02 38.645 1.059604071E+00 9.129033778E-01 1.370684470E-10 4.639238427E+05 1.618159925E-04 3.823678235E-01 1.618159925E-04 7.531859221E-01 4.660204492E-05 3.147509869E-01 1.480593470E-04 1.847243368E-02 
00L7 28422 300.06 38.64 1.048848853E+00 9.889101765E-01 1.179914854E-10 4.607017817E+05 1.615826243E-04 3.824367694E-01 1.615666992E-04 7.534828905E-01 4.655698935E-05 3.155508650E-01 1.475429449E-04 1.333679330E-02 
00L8 28546 300.1 38.634 1.053673218E+00 9.411139171E-01 1.271164246E-10 6.451794236E+05 1.616908364E-04 3.822798883E-01 1.616642743E-04 7.542114997E-01 4.661102542E-05 3.150853733E-01 1.479321421E-04 1.381053850E-02 
00L9 28662 300.05 38.641 1.058990414E+00 9.372975291E-01 1.357954794E-10 5.408368089E+05 1.619198773E-04 3.825669594E-01 1.619198773E-04 7.536002053E-01 4.668191176E-05 3.156490742E-01 1.478929886E-04 2.300097987E-02 
0L10 28784 299.97 38.651 1.051162867E+00 9.972190353E-01 1.203163863E-10 4.610266196E+05 1.617823535E-04 3.826318201E-01 1.617664505E-04 7.539616792E-01 4.666795958E-05 3.151431904E-01 1.480858368E-04 1.444997238E-02 
