fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
L394 39660 300.02 38.645 1.142331210E-10 2.621359017E+00 6.200872268E+03 8.808237635E-05 4.481116007E+00 2.440871936E+03 0.000000000E+00 2.489918631E-04 4.961601659E-01 2.225183597E-04 4.274479604E-05 3.871644787E-01 2.910539273E-01 1.468621174E-04 2.789430213E-03 
L395 39680 300.02 38.645 1.744187235E-10 2.680277748E+00 6.338808690E+03 8.685150998E-05 4.415084632E+00 2.414839491E+03 0.000000000E+00 2.481434538E-04 4.964562389E-01 2.224490380E-04 4.273282846E-05 3.869457979E-01 2.910631143E-01 1.468163651E-04 8.877991318E-04 
L396 39702 300.02 38.645 9.330335913E-11 2.597466103E+00 6.185366460E+03 9.045489580E-05 4.618243534E+00 2.464174477E+03 0.000000000E+00 2.495545736E-04 4.965153434E-01 2.225547734E-04 4.275480292E-05 3.869147816E-01 2.910744328E-01 1.468861504E-04 2.320096462E-03 
L397 39720 300.01 38.646 1.159643216E-10 2.630612240E+00 6.197933958E+03 9.002597203E-05 4.539857463E+00 2.454840336E+03 0.000000000E+00 2.493390998E-04 4.963474344E-01 2.226158567E-04 4.273806617E-05 3.867879987E-01 2.908806528E-01 1.469264654E-04 2.599296065E-03 
L398 39742 300 38.647 1.263362975E-10 2.638080446E+00 6.237478411E+03 8.862285664E-05 4.521744418E+00 2.439337760E+03 0.000000000E+00 2.488993337E-04 4.965356060E-01 2.224532335E-04 4.270977804E-05 3.866679667E-01 2.909006261E-01 1.468191341E-04 9.851993281E-04 
L399 39760 300.02 38.645 1.433922452E-10 2.658666071E+00 6.254924069E+03 8.839073786E-05 4.431598376E+00 2.436320118E+03 0.000000000E+00 2.485080563E-04 4.962980113E-01 2.223893471E-04 4.274293639E-05 3.872646355E-01 2.912101037E-01 1.467769691E-04 1.191380950E-03 
00L4 31822 300.07 38.638 1.701379312E-10 2.666271166E+00 6.278232549E+03 9.348280317E-05 4.574456256E+00 2.475618496E+03 0.000000000E+00 2.572903374E-04 4.935239622E-01 2.300915548E-04 4.378788191E-05 3.856070945E-01 2.874718144E-01 1.523206093E-04 1.142680219E-03 
0L40 32562 300.03 38.643 2.635852610E-10 2.742524700E+00 6.409569758E+03 8.949585723E-05 4.343266394E+00 2.421285769E+03 0.000000000E+00 2.530563793E-04 4.957284505E-01 2.274075894E-04 4.363053049E-05 3.870273840E-01 2.902579204E-01 1.503164166E-04 1.944323835E-03 
L400 39780 300.01 38.646 1.087251538E-10 2.617486107E+00 6.156429028E+03 8.846484053E-05 4.490153864E+00 2.438494110E+03 0.000000000E+00 2.491389404E-04 4.962813724E-01 2.224858571E-04 4.273361272E-05 3.870251843E-01 2.910202873E-01 1.468406657E-04 2.290172987E-03 
L401 39800 300.02 38.645 2.034565553E-10 2.710231988E+00 6.310321328E+03 8.691144973E-05 4.326469738E+00 2.410785605E+03 0.000000000E+00 2.480209671E-04 4.963035767E-01 2.224615211E-04 4.272504947E-05 3.869726458E-01 2.914353690E-01 1.466021424E-04 2.062128033E-03 
L402 39820 300.03 38.643 8.339038217E-11 2.581394306E+00 6.115996766E+03 9.053959267E-05 4.627381320E+00 2.465964794E+03 0.000000000E+00 2.499468586E-04 4.961182692E-01 2.226302549E-04 4.270506804E-05 3.866428779E-01 2.906372657E-01 1.469359682E-04 2.858139507E-03 
L403 39840 300.01 38.646 1.013780101E-10 2.601667264E+00 6.206343562E+03 8.873670336E-05 4.558923662E+00 2.447255592E+03 0.000000000E+00 2.492075468E-04 4.960750615E-01 2.225257342E-04 4.272417036E-05 3.870312215E-01 2.904637474E-01 1.470895103E-04 1.474327653E-03 
L404 39860 300.02 38.645 1.128163428E-10 2.629112381E+00 6.271570623E+03 9.218141693E-05 4.657435403E+00 2.476952723E+03 0.000000000E+00 2.493178026E-04 4.966003207E-01 2.224753426E-04 4.272059823E-05 3.866770936E-01 2.909454071E-01 1.468337261E-04 1.019074108E-03 
L405 39880 300.03 38.643 1.377573872E-10 2.655071220E+00 6.269649023E+03 9.026577257E-05 4.521816509E+00 2.457275728E+03 0.000000000E+00 2.488229574E-04 4.960936819E-01 2.224101258E-04 4.268020653E-05 3.868194121E-01 2.907555552E-01 1.467906830E-04 1.306852338E-03 
L406 39904 300.02 38.645 1.030187027E-10 2.616548938E+00 6.226568208E+03 9.192466067E-05 4.662191336E+00 2.476850934E+03 0.000000000E+00 2.493882601E-04 4.966394395E-01 2.223700649E-04 4.269167347E-05 3.865677781E-01 2.908860676E-01 1.467642428E-04 1.967547089E-03 
L407 39920 300.01 38.646 1.639648978E-10 2.673458129E+00 6.305545429E+03 8.723992686E-05 4.403457855E+00 2.422136899E+03 0.000000000E+00 2.481477625E-04 4.962353656E-01 2.223461705E-04 4.271717384E-05 3.871552439E-01 2.910910970E-01 1.467484725E-04 2.341768871E-03 
L408 39942 300.01 38.646 1.098023783E-10 2.620069776E+00 6.214809370E+03 8.990955972E-05 4.569580441E+00 2.455367229E+03 0.000000000E+00 2.491850749E-04 4.963780496E-01 2.224636059E-04 4.271840511E-05 3.868507911E-01 2.909458200E-01 1.468259799E-04 1.795667557E-03 
L409 39960 300.02 38.645 1.254399242E-10 2.622217498E+00 6.260063472E+03 8.474500008E-05 4.455057900E+00 2.419324641E+03 0.000000000E+00 2.485643090E-04 4.964203504E-01 2.224600738E-04 4.269814535E-05 3.866405123E-01 2.903724941E-01 1.470461088E-04 6.871828201E-04 
0L41 32582 300.02 38.645 1.161074710E-10 2.624700386E+00 6.279215237E+03 9.419081768E-05 4.677890820E+00 2.481345367E+03 0.000000000E+00 2.544533906E-04 4.959301248E-01 2.272395284E-04 4.360536279E-05 3.869327900E-01 2.898665058E-01 1.504325678E-04 1.447218019E-03 
L410 39986 300.02 38.645 1.111281061E-10 2.617962233E+00 6.192647088E+03 8.846938601E-05 4.521456344E+00 2.444388029E+03 0.000000000E+00 2.492116416E-04 4.962548627E-01 2.225707446E-04 4.272126678E-05 3.867864647E-01 2.908252484E-01 1.468966915E-04 1.768472416E-03 
L411 40004 300.02 38.645 9.283744210E-11 2.600573960E+00 6.147548041E+03 9.087302725E-05 4.609029348E+00 2.467652096E+03 0.000000000E+00 2.496613079E-04 4.964547152E-01 2.225159121E-04 4.272301943E-05 3.867418995E-01 2.909088479E-01 1.468605020E-04 2.214918303E-03 
L412 40020 300.01 38.646 1.789285677E-10 2.685758021E+00 6.299863031E+03 8.641949888E-05 4.356320197E+00 2.409513171E+03 0.000000000E+00 2.479705254E-04 4.961743703E-01 2.223231032E-04 4.269834014E-05 3.870722791E-01 2.909929459E-01 1.467332481E-04 1.352865099E-03 
L413 40040 300 38.647 2.267804062E-10 2.720109541E+00 6.382015084E+03 8.572647560E-05 4.304512715E+00 2.399518751E+03 0.000000000E+00 2.474342184E-04 4.961409025E-01 2.222462495E-04 4.268132724E-05 3.870779593E-01 2.909775880E-01 1.466825247E-04 1.937129096E-03 
L414 40062 300 38.647 1.740826406E-10 2.692188006E+00 6.279564225E+03 8.882150842E-05 4.410551914E+00 2.434269854E+03 0.000000000E+00 2.483915001E-04 4.963893347E-01 2.224018253E-04 4.270516194E-05 3.868294979E-01 2.913779015E-01 1.465628029E-04 1.900591626E-03 
L415 40082 300.02 38.645 1.992774336E-10 2.700893769E+00 6.341276221E+03 8.607893042E-05 4.321166222E+00 2.403708493E+03 0.000000000E+00 2.477447653E-04 4.961526755E-01 2.223607414E-04 4.272849784E-05 3.872970367E-01 2.911491832E-01 1.467580893E-04 2.107577105E-03 
L416 40100 300.02 38.645 1.751308653E-10 2.689310474E+00 6.303361454E+03 8.847795508E-05 4.392856266E+00 2.434308545E+03 0.000000000E+00 2.482874613E-04 4.960871259E-01 2.224365363E-04 4.272123384E-05 3.871503949E-01 2.910004950E-01 1.468081140E-04 1.114365461E-03 
L417 40122 300.01 38.646 8.647365439E-11 2.584714023E+00 6.115368784E+03 8.908926745E-05 4.568845239E+00 2.453717537E+03 0.000000000E+00 2.496625059E-04 4.963389093E-01 2.225665039E-04 4.273547532E-05 3.868569582E-01 2.909275162E-01 1.468938926E-04 1.869603356E-03 
L418 40144 300.01 38.646 1.451605306E-10 2.659652092E+00 6.339549673E+03 9.061913531E-05 4.557460533E+00 2.454788255E+03 0.000000000E+00 2.485221911E-04 4.960675765E-01 2.223012674E-04 4.267149751E-05 3.869502250E-01 2.903985784E-01 1.469411377E-04 1.141145194E-03 
L419 40184 300 38.647 8.845273689E-11 2.585714501E+00 6.068727168E+03 8.789142486E-05 4.532765224E+00 2.441029974E+03 0.000000000E+00 2.499486002E-04 4.962238086E-01 2.227917521E-04 4.271790078E-05 3.863965109E-01 2.909547014E-01 1.468197646E-04 6.950412342E-04 
0L42 32602 300.02 38.645 1.303777455E-10 2.646596417E+00 6.282780791E+03 9.464139422E-05 4.667818484E+00 2.484848610E+03 0.000000000E+00 2.544439758E-04 4.961518904E-01 2.272306353E-04 4.357919229E-05 3.865428493E-01 2.897038752E-01 1.504266806E-04 1.644498988E-03 
L420 40452 299.99 38.649 1.416187615E-09 3.020836096E+00 7.076417932E+03 8.393742449E-05 4.087948908E+00 2.399910081E+03 0.000000000E+00 2.467398359E-04 4.947008066E-01 2.237450440E-04 4.245079832E-05 3.835215916E-01 2.879035519E-01 1.474479840E-04 4.959637086E-03 
L421 40754 300.01 38.646 9.857140641E-10 2.947616895E+00 6.990993787E+03 8.471109016E-05 4.197941370E+00 2.422934910E+03 0.000000000E+00 2.474406502E-04 4.943109507E-01 2.239062310E-04 4.246633452E-05 3.836881313E-01 2.873655227E-01 1.477781124E-04 4.082636452E-03 
L422 41050 300.01 38.646 1.634065936E-09 3.034256515E+00 7.179348730E+03 8.226782683E-05 4.056972331E+00 2.379530967E+03 0.000000000E+00 2.466532789E-04 4.942961607E-01 2.240393883E-04 4.245846998E-05 3.834005437E-01 2.871415406E-01 1.478659963E-04 5.425383096E-03 
