fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
0L41 32582 300.02 38.645 5.014236897E-10 2.841684498E+00 6.677670133E+03 8.815307019E-05 4.195545192E+00 2.392503916E+03 0.000000000E+00 2.513392067E-04 4.955565786E-01 2.270686941E-04 4.360692719E-05 3.875296862E-01 2.900949930E-01 1.503194755E-04 2.748301558E-03 
0L42 32602 300.02 38.645 7.402822381E-10 2.911390049E+00 6.671562771E+03 8.531072170E-05 4.019209499E+00 2.350246464E+03 0.000000000E+00 2.508700805E-04 4.958414492E-01 2.271448980E-04 4.357994533E-05 3.869375403E-01 2.906964708E-01 1.499156327E-04 2.027866334E-03 
L404 39860 300.02 38.645 7.845200177E-10 2.944730720E+00 6.716034521E+03 8.624802637E-05 4.057840190E+00 2.372226869E+03 0.000000000E+00 2.457856589E-04 4.967866238E-01 2.222719933E-04 4.265916584E-05 3.863293658E-01 2.916766889E-01 1.462549716E-04 1.367218196E-03 
L405 39880 300.03 38.643 6.634568901E-10 2.905891314E+00 6.702963017E+03 8.591735361E-05 4.087405182E+00 2.379637961E+03 0.000000000E+00 2.458332995E-04 4.960724825E-01 2.222100449E-04 4.262541010E-05 3.866871553E-01 2.910847603E-01 1.464364196E-04 1.191596696E-03 
L406 39904 300.02 38.645 4.899547971E-10 2.854934801E+00 6.573283469E+03 8.585985695E-05 4.146627079E+00 2.380874000E+03 0.000000000E+00 2.464038044E-04 4.964547028E-01 2.222538695E-04 4.265621621E-05 3.865924509E-01 2.912376940E-01 1.464653000E-04 1.992216242E-03 
L407 39920 300.01 38.646 6.064804751E-10 2.890963094E+00 6.689959691E+03 8.613994416E-05 4.106189924E+00 2.385710803E+03 0.000000000E+00 2.458861706E-04 4.962080222E-01 2.221727136E-04 4.265564241E-05 3.869207191E-01 2.913401590E-01 1.464118182E-04 9.750459073E-04 
L408 39942 300.01 38.646 7.624903639E-10 2.918338589E+00 6.630824652E+03 8.000768816E-05 3.824809882E+00 2.314201651E+03 0.000000000E+00 2.451957822E-04 4.956915482E-01 2.223236084E-04 4.270625710E-05 3.875202607E-01 2.914878876E-01 1.465112580E-04 2.311361667E-03 
L409 39960 300.02 38.645 4.631626106E-10 2.832242470E+00 6.535427700E+03 8.160235306E-05 4.048227989E+00 2.361500441E+03 0.000000000E+00 2.463493470E-04 4.963208407E-01 2.224079700E-04 4.267906807E-05 3.866358048E-01 2.911918175E-01 1.465668522E-04 5.642196715E-04 
L410 39986 300.02 38.645 5.893545064E-10 2.882529138E+00 6.617308550E+03 8.421062709E-05 4.022302406E+00 2.367807097E+03 0.000000000E+00 2.460077147E-04 4.960071170E-01 2.223634768E-04 4.269730258E-05 3.871230897E-01 2.913745185E-01 1.465375312E-04 1.261791381E-03 
L411 40004 300.02 38.645 4.292600610E-10 2.835213983E+00 6.478233458E+03 8.570431895E-05 4.122019537E+00 2.380366391E+03 0.000000000E+00 2.467721019E-04 4.963661371E-01 2.223952094E-04 4.269760254E-05 3.867906051E-01 2.917777485E-01 1.463360478E-04 2.591686263E-03 
L412 40020 300.01 38.646 4.322925794E-10 2.821595162E+00 6.518700055E+03 8.277808162E-05 4.082505522E+00 2.355699971E+03 0.000000000E+00 2.462745878E-04 4.961077940E-01 2.222516969E-04 4.266756165E-05 3.869694580E-01 2.913180032E-01 1.464638683E-04 1.895327184E-03 
