fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 27792 300.01 38.646 1.540817508E-09 2.993622576E+00 7.266449451E+03 8.638647964E-05 4.185957922E+00 2.418471063E+03 0.000000000E+00 2.555572751E-04 4.922949811E-01 2.322218467E-04 4.381072299E-05 3.832233276E-01 2.845534250E-01 1.539630844E-04 3.014545954E-03 
0L10 31942 300.03 38.643 7.832181143E-11 2.560366441E+00 6.100660000E+03 9.430099486E-05 4.720585294E+00 2.498105771E+03 0.000000000E+00 2.577415699E-04 4.944623150E-01 2.294580498E-04 4.383646892E-05 3.863661479E-01 2.885853473E-01 1.519012290E-04 1.390207962E-03 
0L11 31964 300.03 38.643 1.843547130E-10 2.678665180E+00 6.348795567E+03 9.176671242E-05 4.535237884E+00 2.451653007E+03 0.000000000E+00 2.559048010E-04 4.948159217E-01 2.292693239E-04 4.381609072E-05 3.862282277E-01 2.886886352E-01 1.517762924E-04 1.235303050E-03 
0L12 31982 300.03 38.643 1.782058203E-10 2.680484691E+00 6.348549934E+03 9.354500446E-05 4.567066702E+00 2.469866938E+03 0.000000000E+00 2.560250079E-04 4.949027264E-01 2.292283231E-04 4.383613148E-05 3.864062098E-01 2.888723364E-01 1.517491499E-04 1.694135698E-03 
L100 33764 300.03 38.643 1.627410742E-10 2.679256469E+00 6.271726633E+03 9.065429690E-05 4.444187567E+00 2.462435283E+03 0.000000000E+00 2.521828868E-04 4.961114181E-01 2.257205139E-04 4.333789235E-05 3.870058533E-01 2.904659950E-01 1.492012597E-04 1.815172911E-03 
L101 33784 300.02 38.645 1.964998001E-10 2.700464615E+00 6.331289229E+03 8.923566970E-05 4.397081352E+00 2.427811996E+03 0.000000000E+00 2.515724437E-04 4.960128599E-01 2.256191748E-04 4.332150862E-05 3.871102128E-01 2.904866017E-01 1.491342746E-04 7.140052263E-04 
L102 33804 300.02 38.645 1.021390093E-10 2.602142159E+00 6.205379724E+03 9.083971106E-05 4.612574834E+00 2.455311176E+03 0.000000000E+00 2.527344987E-04 4.962119343E-01 2.256512057E-04 4.332712842E-05 3.869501710E-01 2.900442490E-01 1.493810981E-04 8.656158662E-04 
L103 33824 300.02 38.645 1.207382186E-10 2.628754906E+00 6.251182079E+03 9.115595178E-05 4.608384954E+00 2.452127565E+03 0.000000000E+00 2.525663187E-04 4.965267492E-01 2.256686907E-04 4.332967483E-05 3.866975945E-01 2.904776090E-01 1.491670046E-04 7.472138107E-04 
L104 33842 300 38.647 2.259350137E-10 2.720916690E+00 6.423388332E+03 8.950428595E-05 4.418108104E+00 2.425404329E+03 0.000000000E+00 2.513141475E-04 4.963204061E-01 2.256353462E-04 4.334640811E-05 3.870649537E-01 2.906327307E-01 1.491449638E-04 8.626752009E-04 
L105 33864 300.02 38.645 2.397530068E-10 2.729424654E+00 6.431600000E+03 8.891527967E-05 4.400397576E+00 2.420245550E+03 0.000000000E+00 2.512597655E-04 4.964706131E-01 2.256648766E-04 4.334408559E-05 3.868764814E-01 2.905791284E-01 1.491644834E-04 2.055454472E-03 
L106 33882 300.03 38.643 1.720842258E-10 2.684745445E+00 6.282101441E+03 9.036420351E-05 4.445251584E+00 2.438560702E+03 0.000000000E+00 2.519345611E-04 4.961481458E-01 2.256296700E-04 4.332394889E-05 3.870084556E-01 2.904894519E-01 1.491412119E-04 1.704409400E-03 
L107 33904 300.02 38.645 1.350542761E-10 2.645410456E+00 6.281043312E+03 9.086930405E-05 4.567284227E+00 2.447906011E+03 0.000000000E+00 2.521406941E-04 4.964760843E-01 2.254930256E-04 4.330982272E-05 3.868610081E-01 2.905707088E-01 1.490508899E-04 1.209056704E-03 
L108 33922 300.01 38.646 1.403661970E-10 2.649142500E+00 6.282458058E+03 9.004667013E-05 4.527444714E+00 2.439816640E+03 0.000000000E+00 2.520019032E-04 4.964084987E-01 2.255027655E-04 4.332122245E-05 3.869988038E-01 2.906346373E-01 1.490573280E-04 1.923233496E-03 
L109 33942 300.01 38.646 1.170246279E-10 2.627352202E+00 6.188917711E+03 9.103765299E-05 4.567118882E+00 2.449444966E+03 0.000000000E+00 2.526604134E-04 4.963885641E-01 2.256474670E-04 4.332095808E-05 3.867638035E-01 2.904464887E-01 1.491529757E-04 1.901415077E-03 
L110 33962 300.01 38.646 1.815537498E-10 2.689613726E+00 6.363987844E+03 9.022730934E-05 4.515137399E+00 2.434916577E+03 0.000000000E+00 2.517568692E-04 4.967751932E-01 2.255790537E-04 4.332497935E-05 3.866158841E-01 2.905615439E-01 1.491077545E-04 2.745416689E-03 
L111 33982 300.01 38.646 2.033685801E-10 2.699398866E+00 6.278135182E+03 8.626921625E-05 4.313827303E+00 2.386558496E+03 0.000000000E+00 2.514256151E-04 4.962571950E-01 2.256845913E-04 4.334223879E-05 3.869925600E-01 2.909815792E-01 1.489518302E-04 8.344109776E-04 
L112 34002 300.02 38.645 1.303216511E-10 2.638545532E+00 6.239202808E+03 8.974657970E-05 4.494345431E+00 2.434335050E+03 0.000000000E+00 2.519779708E-04 4.962985522E-01 2.254503503E-04 4.334710749E-05 3.874058728E-01 2.908759059E-01 1.490226816E-04 1.484655360E-03 
L113 34022 300.02 38.645 1.859148779E-10 2.680001837E+00 6.350888073E+03 8.674545810E-05 4.400545482E+00 2.396602443E+03 0.000000000E+00 2.510934654E-04 4.962350895E-01 2.253732768E-04 4.329691893E-05 3.871391593E-01 2.906384802E-01 1.489717360E-04 1.287423009E-03 
L114 34042 300.03 38.643 1.860740724E-10 2.689445957E+00 6.284730139E+03 8.779212446E-05 4.321349209E+00 2.414628568E+03 0.000000000E+00 2.512319414E-04 4.957572163E-01 2.254070020E-04 4.331877350E-05 3.876499252E-01 2.907416760E-01 1.489940283E-04 1.203878221E-03 
L115 34062 300.02 38.645 1.199542396E-10 2.632302830E+00 6.264232377E+03 9.227696832E-05 4.585195443E+00 2.470015219E+03 0.000000000E+00 2.522254007E-04 4.961887141E-01 2.253874121E-04 4.331778839E-05 3.873376706E-01 2.903211189E-01 1.492064668E-04 1.606487093E-03 
L116 34084 300.03 38.643 1.762904036E-10 2.703970060E+00 6.325085096E+03 9.493487509E-05 4.610025345E+00 2.483814971E+03 0.000000000E+00 2.524240471E-04 4.966995914E-01 2.255988646E-04 4.326498035E-05 3.861053314E-01 2.905732733E-01 1.488952506E-04 1.202548873E-03 
L117 34104 300.03 38.643 1.770421958E-10 2.687996036E+00 6.305931741E+03 9.010936146E-05 4.466970190E+00 2.434616688E+03 0.000000000E+00 2.517586383E-04 4.964292600E-01 2.255030879E-04 4.329655185E-05 3.867616869E-01 2.904687111E-01 1.490575411E-04 1.355687192E-03 
