N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.105756000E-03 9.218270000E-04 7.903520000E-04 6.898070000E-04
1.600000000E+01 1.406376000E-03 1.228375000E-03 1.069943000E-03 9.554900000E-04
1.700000000E+01 1.918150800E-02 1.962666800E-02 2.004096100E-02 2.046275600E-02
1.549996187E+01 3.456150000E-04 2.763120000E-04 2.297950000E-04 1.963600000E-04
1.649996187E+01 6.951811000E-03 6.920008000E-03 6.905262000E-03 6.909696000E-03
1.674996808E+01 1.177560300E-02 1.188768900E-02 1.206946700E-02 1.222569100E-02
1.624993176E+01 3.793190000E-03 3.658766000E-03 3.550358000E-03 3.448278000E-03
1.574996808E+01 3.687820000E-04 3.060350000E-04 2.489120000E-04 2.089350000E-04
1.524993176E+01 5.173250000E-04 4.255690000E-04 3.617520000E-04 3.131700000E-04
