N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+15 290 3.000E-4 1.180117568E+00 1.180781722E+00
1.468000E+10 1.000E+15 290 3.000E-4 1.180755011E+00 1.181143854E+00
2.154000E+10 1.000E+15 290 3.000E-4 1.181008861E+00 1.181273320E+00
3.162000E+10 1.000E+15 290 3.000E-4 1.181277455E+00 1.181457106E+00
4.642000E+10 1.000E+15 290 3.000E-4 1.181592328E+00 1.181714185E+00
6.813000E+10 1.000E+15 290 3.000E-4 1.019452477E+00 1.182066655E+00
1.000000E+11 1.000E+15 290 3.000E-4 1.182481264E+00 1.182536974E+00
1.468000E+11 1.000E+15 290 3.000E-4 1.186480541E+00 1.186521583E+00
2.154000E+11 1.000E+15 290 3.000E-4 1.197532155E+00 1.197561063E+00
3.162000E+11 1.000E+15 290 3.000E-4 1.198666207E+00 1.198685592E+00
4.642000E+11 1.000E+15 290 3.000E-4 1.199893899E+00 1.199906847E+00
6.813000E+11 1.000E+15 290 3.000E-4 1.201147533E+00 1.201156183E+00
1.000000E+12 1.000E+15 290 3.000E-4 1.202270048E+00 1.202275894E+00
1.468000E+12 1.000E+15 290 3.000E-4 1.209173688E+00 1.209177724E+00
2.154000E+12 1.000E+15 290 3.000E-4 1.210018595E+00 1.210021345E+00
3.162000E+12 1.000E+15 290 3.000E-4 1.213950522E+00 1.213980540E+00
4.642000E+12 1.000E+15 290 3.000E-4 1.224942922E+00 1.224978303E+00
6.813000E+12 1.000E+15 290 3.000E-4 1.228031084E+00 1.228032092E+00
1.000000E+13 1.000E+15 290 3.000E-4 1.228528479E+00 1.228529156E+00
