X Y Yfit Y1 Y2
3.204E+0 1.441E-5 1.414E-5 1.414E-5 0.000E+0
3.396E+0 1.787E-5 1.774E-5 1.774E-5 0.000E+0
3.593E+0 2.200E-5 2.210E-5 2.210E-5 0.000E+0
3.789E+0 2.696E-5 2.719E-5 2.719E-5 0.000E+0
3.984E+0 3.277E-5 3.307E-5 3.307E-5 0.000E+0
4.179E+0 3.932E-5 3.984E-5 3.984E-5 0.000E+0
4.374E+0 4.716E-5 4.760E-5 4.760E-5 0.000E+0
4.565E+0 5.580E-5 5.623E-5 5.623E-5 0.000E+0
4.755E+0 6.603E-5 6.592E-5 6.592E-5 0.000E+0
4.992E+0 8.031E-5 7.969E-5 7.969E-5 0.000E+0
5.190E+0 9.449E-5 9.274E-5 9.274E-5 0.000E+0
