name time T kT_1 I
00 16:32:38 284.3 40.78 8.508E-005
00 16:39:40 286.8 40.43 5.376E-005
00 16:47:40 289.9 39.99 5.882E-005
00 16:53:38 295.7 39.21 6.834E-005
00 17:00:48 299.7 38.69 7.774E-005
00 17:07:42 305.2 37.99 8.467E-005
00 17:13:24 309.8 37.42 9.186E-005
00 17:20:00 313.6 36.97 9.752E-005
00 17:27:52 318.9 36.36 1.035E-004
001 17:34:24 323.4 35.85 1.063E-004
001 17:41:38 329.5 35.19 1.099E-004
001 17:47:52 334 34.71 1.142E-004
001 17:56:52 340.4 34.06 1.173E-004
001 18:03:28 344.5 33.66 1.181E-004
001 18:12:26 351.1 33.02 1.229E-004
