fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
00L2 30264 294 39.436 1.038843628E-11 2.234395892E+00 1.407014449E+04 6.676943498E-05 4.542854036E+00 3.592418784E+03 0.000000000E+00 1.270796563E-04 5.550000000E+02 1.171054005E-04 3.625572954E-04 2.356386660E-05 2.876922285E-01 8.190750647E-05 1.540373161E-01 
00L3 30790 295.04 39.297 8.702847848E-12 2.188746230E+00 1.374731424E+04 6.844904091E-05 4.507471641E+00 3.366413194E+03 0.000000000E+00 1.268917672E-04 4.574035534E-01 1.170356142E-04 4.379853985E-01 2.344645588E-05 2.853814995E-01 8.215918000E-05 1.617931936E-01 
00L4 31440 296.04 39.164 9.846703090E-12 2.170169515E+00 1.447477951E+04 7.064519040E-05 4.656766141E+00 3.202121280E+03 0.000000000E+00 1.262983063E-04 4.566849709E-01 1.171065114E-04 4.425224589E-01 2.366644793E-05 2.860526733E-01 8.273789460E-05 1.307741185E-01 
00L5 32068 297.03 39.034 1.811734344E-11 2.234462893E+00 1.482406669E+04 7.751627973E-05 4.721175435E+00 3.050138432E+03 0.000000000E+00 1.259592779E-04 4.556592030E-01 1.171752667E-04 4.429042660E-01 2.364753953E-05 2.869747187E-01 8.240273313E-05 1.355163094E-01 
00L6 32698 298.02 38.904 3.780345483E-11 2.295791988E+00 1.495559127E+04 7.628292360E-05 4.285944482E+00 2.820009273E+03 0.000000000E+00 1.250452110E-04 4.538747101E-01 1.170459962E-04 4.458938464E-01 2.368776172E-05 2.860136328E-01 8.281977056E-05 1.326391052E-01 
00L7 33328 299.03 38.773 5.563699270E-11 2.325494015E+00 1.536687156E+04 8.136134787E-05 4.347386288E+00 2.689493354E+03 0.000000000E+00 1.246918014E-04 4.516011826E-01 1.170745937E-04 4.492840918E-01 2.375411043E-05 2.877515932E-01 8.254992563E-05 1.498718610E-01 
00L8 33962 300.02 38.645 1.070873404E-10 2.397178893E+00 1.602514157E+04 8.894178322E-05 4.387009931E+00 2.573674285E+03 0.000000000E+00 1.242228594E-04 4.492454430E-01 1.169491367E-04 4.512348204E-01 2.370736610E-05 2.871900389E-01 8.255108523E-05 1.259388391E-01 
0L10 35230 302.02 38.389 2.649616156E-10 2.489925517E+00 1.684178154E+04 9.519292762E-05 4.062060074E+00 2.319723702E+03 0.000000000E+00 1.230287575E-04 4.470427666E-01 1.166815146E-04 4.554868278E-01 2.375893406E-05 2.878023804E-01 8.254787667E-05 2.056620609E-01 
0L11 35856 303.03 38.261 1.269219694E-10 2.376964426E+00 1.620687477E+04 1.039498275E-04 4.466215169E+00 2.274977540E+03 0.000000000E+00 1.235570686E-04 4.463728592E-01 1.167702122E-04 4.549602716E-01 2.371391858E-05 2.862300659E-01 8.285307193E-05 1.545590349E-01 
0L12 36486 304.01 38.138 2.552983461E-10 2.462305054E+00 1.654955354E+04 1.076791285E-04 4.229974655E+00 2.153102647E+03 0.000000000E+00 1.232667246E-04 4.443604454E-01 1.169224042E-04 4.561483500E-01 2.369950299E-05 2.864685841E-01 8.272863421E-05 1.937916020E-01 
0L13 37122 305.02 38.011 2.898024247E-10 2.470460299E+00 1.702598870E+04 1.184331536E-04 4.437665993E+00 2.101046274E+03 0.000000000E+00 1.229947000E-04 4.419163448E-01 1.166834011E-04 4.586703433E-01 2.365101615E-05 2.867213343E-01 8.248802826E-05 1.720952722E-01 
0L14 37752 306.02 37.887 3.087886484E-10 2.459245069E+00 1.682007987E+04 1.214383372E-04 4.345627467E+00 1.996020707E+03 0.000000000E+00 1.229612728E-04 5.550000000E+02 1.168856639E-04 3.647564976E-04 2.366231700E-05 2.835332808E-01 8.345434854E-05 1.386004483E-01 
0L15 38382 307.03 37.762 8.794015605E-10 2.585385211E+00 1.850890058E+04 1.249573565E-04 4.097026934E+00 1.873787728E+03 0.000000000E+00 1.221185818E-04 5.550000000E+02 1.167923415E-04 3.664204968E-04 2.375128484E-05 2.842822512E-01 8.354739758E-05 1.667602661E-01 
0L16 39010 308.01 37.642 6.555786151E-10 2.534373461E+00 1.820161803E+04 1.366452818E-04 4.367023125E+00 1.834107909E+03 0.000000000E+00 1.222596969E-04 5.550000000E+02 1.167174577E-04 3.646022666E-04 2.361827455E-05 2.848680971E-01 8.290963936E-05 1.712755261E-01 
0L17 39638 309.03 37.518 1.061795570E-09 2.600699549E+00 1.894646006E+04 1.484371514E-04 4.390954863E+00 1.776806401E+03 0.000000000E+00 1.220247500E-04 5.550000000E+02 1.166460458E-04 3.637123568E-04 2.354621256E-05 2.830848124E-01 8.317811448E-05 1.727013098E-01 
