fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
00L1 29574 297.98 38.909 2.053433159E-09 2.971702708E+00 7.237626911E+03 8.157684538E-05 4.408532108E+00 2.713768971E+03 0.000000000E+00 2.617403570E-04 4.753731178E-01 2.361652805E-04 3.678599686E-01 4.129839740E-05 2.669915304E-01 1.546821115E-04 4.557413812E-02 
00L2 30050 299.03 38.773 1.479536142E-09 2.890497230E+00 6.971035755E+03 8.507259777E-05 4.455728988E+00 2.575914474E+03 0.000000000E+00 2.619631078E-04 4.733800301E-01 2.360550316E-04 3.722617338E-01 4.159791764E-05 2.685410501E-01 1.549045782E-04 6.093066642E-02 
00L3 30518 300.05 38.641 1.000000000E-17 7.000000000E+00 1.650364093E+03 1.000000000E-06 1.650000000E+01 1.000000000E+02 0.000000000E+00 2.942798869E-04 4.724431931E-01 2.364131402E-04 3.744686026E-01 4.182506435E-05 2.684561172E-01 1.557952391E-04 1.923180076E+00 
00L4 30982 301.04 38.514 5.836932086E-09 3.123292081E+00 7.763656062E+03 9.667507267E-05 4.401103427E+00 2.338564911E+03 0.000000000E+00 2.592126284E-04 4.709197350E-01 2.364630397E-04 3.749508151E-01 4.175269000E-05 2.694169592E-01 1.549760328E-04 3.680314757E-02 
00L5 31558 302.03 38.388 6.842687944E-09 3.132648141E+00 7.611128307E+03 9.694206441E-05 4.244990316E+00 2.200268594E+03 0.000000000E+00 2.588556846E-04 4.694401840E-01 2.365194229E-04 3.768789136E-01 4.184551454E-05 2.716227829E-01 1.540592613E-04 3.807879437E-02 
00L6 32126 303.04 38.26 4.915950380E-09 3.056943563E+00 7.496885491E+03 1.081066689E-04 4.588351635E+00 2.154076336E+03 0.000000000E+00 2.596957413E-04 4.677677750E-01 2.368647641E-04 3.783986855E-01 4.192570543E-05 2.698261951E-01 1.553775687E-04 8.894842577E-03 
00L7 32684 304.02 38.136 1.072772110E-08 3.237746467E+00 7.548737057E+03 1.145390442E-04 4.383553605E+00 2.038757777E+03 0.000000000E+00 2.592681302E-04 4.668109535E-01 2.371001662E-04 3.795748324E-01 4.201170482E-05 2.710832174E-01 1.549768814E-04 6.155111023E-02 
00L8 33286 305.04 38.009 2.073953111E-08 3.342519805E+00 8.609068854E+03 1.233685360E-04 4.419253872E+00 1.974184992E+03 0.000000000E+00 2.567411277E-04 4.657602127E-01 2.367593706E-04 3.818976689E-01 4.211303786E-05 2.723993868E-01 1.546003408E-04 3.556850761E-02 
0L10 34432 307.03 37.762 2.672412026E-08 3.363424952E+00 8.814866444E+03 1.365150541E-04 4.484037504E+00 1.827743626E+03 0.000000000E+00 2.560128845E-04 5.550000000E+02 2.368863384E-04 3.208970040E-04 4.218894454E-05 2.700689974E-01 1.562151636E-04 4.378804515E-02 
0L11 34992 308.01 37.642 2.647226425E-08 3.351477684E+00 8.746465787E+03 1.464553832E-04 4.603679593E+00 1.767634171E+03 0.000000000E+00 2.562109701E-04 4.599654465E-01 2.370687311E-04 3.881366292E-01 4.232374732E-05 2.709884113E-01 1.561817320E-04 4.230844215E-02 
0L12 35552 309.03 37.518 1.639797655E-08 3.229928082E+00 8.157924749E+03 1.547014160E-04 4.799884876E+00 1.712359612E+03 0.000000000E+00 2.570997909E-04 4.588133308E-01 2.371725062E-04 3.881903987E-01 4.224206691E-05 2.684033890E-01 1.573799666E-04 4.338614975E-02 
0L13 36112 310.03 37.397 4.480655091E-08 3.436888301E+00 9.286504871E+03 1.616171752E-04 4.581844378E+00 1.625396456E+03 0.000000000E+00 2.549737732E-04 4.575567387E-01 2.370753089E-04 3.893395759E-01 4.223376823E-05 2.705901047E-01 1.560843287E-04 7.114769966E-02 
