fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
00L1 29450 294.03 39.432 2.803184528E-11 2.308884419E+00 4.074905890E+04 5.953952699E-05 3.812750950E+00 3.521679436E+03 0.000000000E+00 5.506585844E-05 4.429354641E-01 5.293067267E-05 5.038936173E-01 1.181372139E-05 3.045705383E-01 3.878848510E-05 3.109481588E-01 
00L2 30086 295.03 39.298 2.442461818E-11 2.284189371E+00 3.950138361E+04 6.061673088E-05 3.671972930E+00 3.308232381E+03 0.000000000E+00 5.517937039E-05 4.431765781E-01 5.307460809E-05 5.055646183E-01 1.189159934E-05 3.045995571E-01 3.904111396E-05 4.092754379E-01 
00L3 30618 296.03 39.166 4.372108613E-11 2.335433071E+00 4.067492669E+04 6.363464366E-05 3.525451952E+00 3.112301947E+03 0.000000000E+00 5.506304904E-05 5.550000000E+02 5.312589691E-05 4.017219451E-04 1.184472045E-05 3.049028996E-01 3.884795132E-05 3.590190764E-01 
00L4 31248 297.01 39.036 4.774073973E-11 2.326371515E+00 4.065807508E+04 6.600022273E-05 3.438858494E+00 2.941589056E+03 0.000000000E+00 5.505839513E-05 5.550000000E+02 5.314233325E-05 4.021354299E-04 1.186058034E-05 3.054539001E-01 3.883064850E-05 4.230214017E-01 
00L5 31878 298.03 38.903 4.494776049E-11 2.300930691E+00 4.061060010E+04 6.920706346E-05 3.413131894E+00 2.799276829E+03 0.000000000E+00 5.493474374E-05 5.550000000E+02 5.306370989E-05 4.020731985E-04 1.184120004E-05 3.045585327E-01 3.887989925E-05 6.588839897E-01 
00L6 32514 299.03 38.773 1.157394472E-10 2.408583648E+00 4.420683605E+04 7.305174197E-05 3.124552201E+00 2.627798652E+03 0.000000000E+00 5.453034381E-05 5.550000000E+02 5.290226081E-05 4.024955490E-04 1.181757310E-05 3.049903887E-01 3.874646653E-05 3.601397389E-01 
00L7 33132 300.02 38.645 4.552576589E-11 2.271126132E+00 4.056830986E+04 7.749664794E-05 3.322364590E+00 2.536446439E+03 0.000000000E+00 5.488974447E-05 4.341646027E-01 5.311429248E-05 5.123274853E-01 1.181444892E-05 3.026905281E-01 3.903130444E-05 4.227328986E-01 
00L8 33760 301.02 38.516 6.924400306E-11 2.306449221E+00 4.206836688E+04 8.060563907E-05 3.305634114E+00 2.410163815E+03 0.000000000E+00 5.463054200E-05 4.339136086E-01 5.294956585E-05 5.151391407E-01 1.183559848E-05 3.030078247E-01 3.906010275E-05 4.990809152E-01 
0L10 35028 303.02 38.262 9.807544637E-11 2.325507221E+00 4.367178691E+04 9.362408637E-05 3.386767061E+00 2.228867032E+03 0.000000000E+00 5.454815464E-05 4.305599350E-01 5.293865190E-05 5.173546077E-01 1.179219939E-05 3.007815577E-01 3.920556630E-05 5.419880610E-01 
0L11 35656 304.02 38.136 1.783719611E-10 2.389859404E+00 4.604468078E+04 9.797022508E-05 3.190567172E+00 2.097559487E+03 0.000000000E+00 5.421611953E-05 4.293187187E-01 5.271888924E-05 5.168051469E-01 1.169695734E-05 3.010743288E-01 3.885089873E-05 6.310041105E-01 
0L12 36288 305.01 38.013 1.162421362E-10 2.319202277E+00 4.470014749E+04 1.056767766E-04 3.454162291E+00 2.051143355E+03 0.000000000E+00 5.428964736E-05 4.275142143E-01 5.273325903E-05 5.187399056E-01 1.169458542E-05 2.982665663E-01 3.920916396E-05 6.967278942E-01 
0L13 36924 306.02 37.887 1.178030259E-10 2.305052462E+00 4.448689251E+04 1.094535752E-04 3.424144889E+00 1.950202763E+03 0.000000000E+00 5.428157535E-05 4.267367943E-01 5.276852222E-05 5.193343634E-01 1.169451142E-05 2.995375578E-01 3.904150282E-05 5.787665250E-01 
0L14 37556 307.02 37.764 1.217936165E-10 2.291641000E+00 4.550073510E+04 1.195297786E-04 3.560557450E+00 1.894415274E+03 0.000000000E+00 5.426484432E-05 4.228047871E-01 5.275400992E-05 5.222384572E-01 1.164834492E-05 2.984682066E-01 3.902831259E-05 6.523432431E-01 
0L15 38182 308.02 37.641 1.276261916E-10 2.287837443E+00 4.596141365E+04 1.264557269E-04 3.756645127E+00 1.828909651E+03 0.000000000E+00 5.406194800E-05 4.234182339E-01 5.254816791E-05 5.221784906E-01 1.161839437E-05 2.969896118E-01 3.912073120E-05 5.745382797E-01 
0L16 38808 309.02 37.519 3.439610481E-10 2.404419020E+00 4.952327081E+04 1.319448982E-04 3.370975582E+00 1.716114111E+03 0.000000000E+00 5.387268802E-05 5.550000000E+02 5.250767976E-05 3.967649518E-04 1.156242990E-05 2.959221889E-01 3.907255501E-05 5.735143265E-01 
0L17 39430 310.02 37.398 2.321852818E-10 2.325127378E+00 4.765058433E+04 1.330791295E-04 3.393093867E+00 1.636698604E+03 0.000000000E+00 5.389816988E-05 4.189354660E-01 5.256411616E-05 5.227544812E-01 1.151156205E-05 2.962350262E-01 3.885977639E-05 6.914759465E-01 
0L18 40054 311.02 37.278 1.609964508E-10 2.268109102E+00 4.780007369E+04 1.495912997E-04 3.968355651E+00 1.638105994E+03 0.000000000E+00 5.390044600E-05 4.171961151E-01 5.246353496E-05 5.240166140E-01 1.146945712E-05 2.946137285E-01 3.892884098E-05 8.105240768E-01 
0L19 40676 312.02 37.159 3.999198985E-10 2.360931803E+00 5.278299090E+04 1.531055112E-04 3.716231109E+00 1.534843757E+03 0.000000000E+00 5.347127768E-05 4.152147270E-01 5.219060925E-05 5.265711741E-01 1.141096035E-05 2.925546780E-01 3.900445656E-05 4.998779908E-01 
0L20 41292 313.02 37.04 2.050615711E-10 2.272735701E+00 4.870996667E+04 1.656167730E-04 4.083130153E+00 1.510900206E+03 0.000000000E+00 5.370410720E-05 4.152847122E-01 5.231715761E-05 5.240698085E-01 1.138621094E-05 2.926322962E-01 3.890959760E-05 5.859262123E-01 
