fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
00L1 29724 294.03 39.432 1.967091527E-11 2.332920619E+00 8.605968235E+03 7.031285895E-05 4.802229582E+00 3.625590897E+03 0.000000000E+00 1.987602738E-04 4.695494949E-01 1.778022491E-04 3.921785659E-01 3.274179477E-05 2.725595585E-01 1.201271311E-04 1.131554341E-01 
00L2 30338 295.01 39.301 5.893730321E-11 2.446297780E+00 8.966108484E+03 7.271216195E-05 4.652912780E+00 3.386013050E+03 0.000000000E+00 1.974790929E-04 4.681740814E-01 1.781461477E-04 3.940352768E-01 3.286388537E-05 2.726261276E-01 1.205454403E-04 9.984386815E-02 
00L3 30954 296.02 39.167 6.491311800E-11 2.435645773E+00 8.940148760E+03 7.529630922E-05 4.650592313E+00 3.185610497E+03 0.000000000E+00 1.969682165E-04 4.667326897E-01 1.781789304E-04 3.967778864E-01 3.299681538E-05 2.738498215E-01 1.204927684E-04 8.002398485E-02 
00L4 31580 297.03 39.034 2.029035453E-11 2.265165127E+00 8.094480174E+03 7.490560238E-05 4.941903422E+00 2.948044374E+03 0.000000000E+00 1.991086771E-04 4.658184464E-01 1.784252549E-04 3.984686205E-01 3.311823127E-05 2.746780533E-01 1.205717053E-04 1.353312555E-01 
00L5 32214 298.03 38.903 1.097211517E-10 2.472131005E+00 9.076425247E+03 8.432069973E-05 4.742838130E+00 2.865691970E+03 0.000000000E+00 1.962952134E-04 4.635297615E-01 1.785538755E-04 3.998796972E-01 3.309605726E-05 2.748493418E-01 1.204124874E-04 4.194952849E-02 
00L6 32852 299.03 38.773 2.183847747E-10 2.547542450E+00 9.361017828E+03 8.715859432E-05 4.639029717E+00 2.697471301E+03 0.000000000E+00 1.949461006E-04 5.550000000E+02 1.783358257E-04 3.345783113E-04 3.311535117E-05 2.751536091E-01 1.203532550E-04 3.944323937E-02 
00L7 33478 300.03 38.643 3.631042458E-10 2.609969235E+00 9.474486214E+03 9.172723230E-05 4.561230572E+00 2.554486789E+03 0.000000000E+00 1.945655005E-04 5.550000000E+02 1.786528098E-04 3.355659715E-04 3.327214104E-05 2.743947971E-01 1.212518642E-04 4.971461633E-02 
00L8 34114 301.02 38.516 5.918241916E-10 2.671370630E+00 9.743545144E+03 9.734581568E-05 4.580371172E+00 2.436169038E+03 0.000000000E+00 1.937114606E-04 4.597860733E-01 1.785148726E-04 4.055209126E-01 3.328460998E-05 2.743140669E-01 1.213367521E-04 4.825497001E-02 
0L10 35400 303.02 38.262 6.230617937E-10 2.652511948E+00 9.867416264E+03 1.111372759E-04 4.797228771E+00 2.281921765E+03 0.000000000E+00 1.930329776E-04 4.567389168E-01 1.782103004E-04 4.097858694E-01 3.335475833E-05 2.746086651E-01 1.214649599E-04 7.092080333E-02 
0L11 36046 304.06 38.131 2.786413111E-09 2.905345793E+00 1.065916341E+04 1.175573532E-04 4.455977274E+00 2.151288710E+03 0.000000000E+00 1.915987461E-04 4.542837601E-01 1.782155968E-04 4.101543571E-01 3.320628190E-05 2.750885336E-01 1.207099505E-04 9.988022697E-02 
