row_name	T	n1_mA50.dat	row_name	T	n1_mA100.dat	row_name	T	n1_mA150.dat	row_name	T	n1_mA200.dat	row_name	T	n1_mA250.dat	
00L1	294.03	2.308884419E+00	00L2	294	2.234395892E+00	00L1	294.03	2.332920619E+00	00L1	297.98	2.971702708E+00	00L1	294.02	7.000000000E+00
00L2	295.03	2.284189371E+00	00L3	295.04	2.188746230E+00	00L2	295.01	2.446297780E+00	00L2	299.03	2.890497230E+00	00L2	295.03	3.841271712E+00
00L3	296.03	2.335433071E+00	00L4	296.04	2.170169515E+00	00L3	296.02	2.435645773E+00	00L3	300.05	7.000000000E+00	00L3	296	3.554132443E+00
00L4	297.01	2.326371515E+00	00L5	297.03	2.234462893E+00	00L4	297.03	2.265165127E+00	00L4	301.04	3.123292081E+00	00L4	297.02	7.000000000E+00
00L5	298.03	2.300930691E+00	00L6	298.02	2.295791988E+00	00L5	298.03	2.472131005E+00	00L5	302.03	3.132648141E+00	00L5	298.02	7.000000000E+00
00L6	299.03	2.408583648E+00	00L7	299.03	2.325494015E+00	00L6	299.03	2.547542450E+00	00L6	303.04	3.056943563E+00	00L6	299.03	4.329930988E+00
00L7	300.02	2.271126132E+00	00L8	300.02	2.397178893E+00	00L7	300.03	2.609969235E+00	00L7	304.02	3.237746467E+00	00L7	300.05	4.406345615E+00
00L8	301.02	2.306449221E+00	0L10	302.02	2.489925517E+00	00L8	301.02	2.671370630E+00	00L8	305.04	3.342519805E+00	00L8	301.03	4.037795063E+00
0L10	303.02	2.325507221E+00	0L11	303.03	2.376964426E+00	0L10	303.02	2.652511948E+00	0L10	307.03	3.363424952E+00	0L10	303.03	4.627784469E+00
0L11	304.02	2.389859404E+00	0L12	304.01	2.462305054E+00	0L11	304.06	2.905345793E+00	0L11	308.01	3.351477684E+00	0L11	304.02	7.000000000E+00
0L12	305.01	2.319202277E+00	0L13	305.02	2.470460299E+00	0L12	305.01	2.755552639E+00	0L12	309.03	3.229928082E+00	0L12	305.05	4.608981060E+00
0L13	306.02	2.305052462E+00	0L14	306.02	2.459245069E+00	0L13	306.03	2.826135321E+00	0L13	310.03	3.436888301E+00	0L13	306.03	4.704705106E+00
0L14	307.02	2.291641000E+00	0L15	307.03	2.585385211E+00	0L14	307.02	3.026420964E+00	0L14	311.03	3.470136579E+00	0L14	307.02	4.937309373E+00
0L15	308.02	2.287837443E+00	0L16	308.01	2.534373461E+00	0L15	308.01	2.819008691E+00	0L15	312.02	3.500493404E+00	0L15	308.04	4.733843237E+00
0L16	309.02	2.404419020E+00	0L17	309.03	2.600699549E+00	0L16	309.02	2.750242956E+00	0L16	313.02	2.991416700E+00	0L16	309.03	5.247285735E+00
0L17	310.02	2.325127378E+00	0L18	310.02	2.621994523E+00	0L17	310.01	3.061880399E+00	0L17	314.02	3.557866842E+00	0L17	310	5.256543262E+00
0L18	311.02	2.268109102E+00	0L19	311.03	2.511273126E+00	0L18	311.03	2.814048469E+00	0L18	315.03	3.619686072E+00	0L18	311.01	5.333423776E+00
0L19	312.02	2.360931803E+00	0L20	312.02	2.626698973E+00	0L19	312.01	2.864843630E+00	0L19	316.04	3.565077110E+00	0L19	312.02	5.057214496E+00
