fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc FF Pm Vm Im dev 
00L1 29488 294.02 39.433 1.000000000E-17 7.000000000E+00 1.544345557E+03 1.161063168E-04 2.300000000E+00 4.661865407E+02 0.000000000E+00 3.500000000E-04 4.806383278E-01 2.920034788E-04 3.289968966E-01 4.617407743E-05 2.551341789E-01 1.809763184E-04 7.614893217E-01 
00L2 30136 295.03 39.298 5.086499995E-08 3.841271712E+00 6.553726200E+03 7.813365300E-05 4.177671586E+00 3.231907183E+03 0.000000000E+00 3.317083707E-04 4.793325176E-01 2.927937399E-04 3.315297392E-01 4.652872706E-05 2.552811514E-01 1.822560645E-04 2.971894037E-02 
00L3 30778 296 39.17 1.411962784E-07 3.554132443E+00 1.221110452E+04 4.376860903E-05 3.685757944E+00 2.513938073E+03 0.000000000E+00 3.137398220E-04 4.778751625E-01 2.929060247E-04 3.328638141E-01 4.659178493E-05 2.572581156E-01 1.811088087E-04 2.151975224E-01 
00L4 31416 297.02 39.035 1.000000000E-17 7.000000000E+00 1.493147409E+03 1.425691345E-04 2.300000000E+00 3.045970950E+02 0.000000000E+00 3.500000000E-04 4.763137383E-01 2.931837511E-04 3.363208484E-01 4.696634836E-05 2.573706764E-01 1.824805159E-04 8.577202742E-01 
00L5 32050 298.02 38.904 1.000000000E-17 7.000000000E+00 1.477599190E+03 1.543693911E-04 2.300000000E+00 2.717093859E+02 0.000000000E+00 3.500000000E-04 4.752178936E-01 2.930940864E-04 3.381154477E-01 4.709392134E-05 2.596230624E-01 1.813903200E-04 1.016575360E+00 
00L6 32690 299.03 38.773 3.762663938E-07 4.329930988E+00 8.575324068E+03 9.292222596E-05 3.989885626E+00 2.529229912E+03 0.000000000E+00 3.251480169E-04 4.741808117E-01 2.930375117E-04 3.384984302E-01 4.703529287E-05 2.617784616E-01 1.796735234E-04 2.506583327E-02 
00L7 33328 300.05 38.641 4.604419979E-07 4.406345615E+00 8.439626983E+03 9.710133382E-05 3.945340293E+00 2.393673164E+03 0.000000000E+00 3.254700127E-04 4.731932587E-01 2.930495335E-04 3.411337441E-01 4.730469690E-05 2.593565079E-01 1.823907475E-04 7.466307751E-03 
00L8 33956 301.03 38.515 1.457802479E-07 4.037795063E+00 6.735222609E+03 1.038257779E-04 4.159137532E+00 2.255911171E+03 0.000000000E+00 3.279950073E-04 4.713602951E-01 2.934687571E-04 3.448732980E-01 4.770615775E-05 2.589764966E-01 1.842099781E-04 5.405500323E-03 
0L10 35224 303.03 38.261 1.015274989E-06 4.627784469E+00 9.518814570E+03 1.121227371E-04 3.834682265E+00 2.060501269E+03 0.000000000E+00 3.220077344E-04 4.684930367E-01 2.922917523E-04 3.478472995E-01 4.763304412E-05 2.627874667E-01 1.812642594E-04 1.708518563E-02 
0L11 35844 304.02 38.136 1.000000000E-17 7.000000000E+00 1.348950871E+03 3.119843969E-06 1.650000000E+01 1.000000000E+02 0.000000000E+00 3.500000000E-04 4.671484230E-01 2.914762627E-04 3.485793276E-01 4.746349421E-05 2.604603116E-01 1.822307112E-04 1.470135583E+00 
0L12 36486 305.05 38.008 9.988539607E-07 4.608981060E+00 9.257732330E+03 1.287416826E-04 3.974745494E+00 1.917366731E+03 0.000000000E+00 3.218244731E-04 4.653260315E-01 2.924370524E-04 3.489947502E-01 4.749070761E-05 2.590494452E-01 1.833256509E-04 2.253804179E-02 
0L13 37122 306.03 37.886 1.453815719E-06 4.704705106E+00 1.023891871E+04 1.357981886E-04 3.994116903E+00 1.837355517E+03 0.000000000E+00 3.205948932E-04 4.654555473E-01 2.921971805E-04 3.506370256E-01 4.768831805E-05 2.613756472E-01 1.824512509E-04 6.038939542E-03 
0L14 37752 307.02 37.764 3.283539422E-06 4.937309373E+00 1.314849466E+04 1.448072317E-04 3.955601505E+00 1.762263651E+03 0.000000000E+00 3.177100602E-04 4.639291344E-01 2.920017915E-04 3.519590100E-01 4.767923186E-05 2.629197824E-01 1.813462013E-04 1.840558281E-02 
0L15 38360 308.04 37.639 1.801926551E-06 4.733843237E+00 1.082261808E+04 1.534728431E-04 4.079028834E+00 1.710355890E+03 0.000000000E+00 3.195765012E-04 4.617070724E-01 2.923387219E-04 3.540388929E-01 4.778634839E-05 2.628993624E-01 1.817620544E-04 7.124099331E-03 
0L16 38996 309.03 37.518 7.288645515E-06 5.247285735E+00 1.546733888E+04 1.582591782E-04 3.703244413E+00 1.594535229E+03 0.000000000E+00 3.142456940E-04 4.604687027E-01 2.921574698E-04 3.549869463E-01 4.775617063E-05 2.607202314E-01 1.831711047E-04 1.013242632E-02 
0L17 39626 310 37.401 8.427368339E-06 5.256543262E+00 1.705550680E+04 1.742929219E-04 3.893290652E+00 1.580535353E+03 0.000000000E+00 3.129336399E-04 4.592168343E-01 2.919749221E-04 3.569980618E-01 4.786622851E-05 2.608288074E-01 1.835135886E-04 1.367576074E-03 
0L18 40320 311.01 37.279 1.229229348E-05 5.333423776E+00 1.932490600E+04 1.775357573E-04 3.779238958E+00 1.488933889E+03 0.000000000E+00 3.089581513E-04 4.568329655E-01 2.923621801E-04 3.570306499E-01 4.768525700E-05 2.601404526E-01 1.833062485E-04 9.231050334E-03 
0L19 40944 312.02 37.159 5.499319081E-06 5.057214496E+00 1.454100856E+04 1.936369710E-04 4.104890420E+00 1.471821218E+03 0.000000000E+00 3.157690862E-04 4.555415981E-01 2.924055655E-04 3.578247395E-01 4.766329249E-05 2.609504599E-01 1.826538297E-04 9.554884828E-03 
0L20 41564 313.01 37.041 1.200390221E-05 5.286316739E+00 1.888716953E+04 1.986607347E-04 3.900368340E+00 1.386460857E+03 0.000000000E+00 3.093280479E-04 4.537869579E-01 2.924550796E-04 3.630300439E-01 4.817855243E-05 2.608156660E-01 1.847204287E-04 1.069746086E-02 
0L21 42168 314.03 36.921 6.573774668E-06 5.091536256E+00 1.481629086E+04 2.116745252E-04 4.053782879E+00 1.357520478E+03 0.000000000E+00 3.148982649E-04 4.518430153E-01 2.927156748E-04 3.612761785E-01 4.778294125E-05 2.586161974E-01 1.847609432E-04 4.076069011E-03 
0L22 42784 315.05 36.801 5.499589612E-05 5.700500551E+00 3.646477632E+04 2.202368680E-04 3.680892601E+00 1.265904974E+03 0.000000000E+00 2.686919661E-04 4.497842781E-01 2.933133093E-04 3.608009222E-01 4.759964126E-05 2.586608395E-01 1.840325635E-04 5.596297900E-03 
0L23 43400 316.01 36.689 6.863828583E-05 5.681149093E+00 4.235031256E+04 2.310208504E-04 3.716497645E+00 1.221147543E+03 0.000000000E+00 2.544765846E-04 4.489339569E-01 2.928917920E-04 3.631335237E-01 4.774808974E-05 2.597558691E-01 1.838191430E-04 1.104692038E-02 
0L24 44014 317.02 36.572 5.996875303E-05 5.679311760E+00 3.835281578E+04 2.493706760E-04 3.806219461E+00 1.194747884E+03 0.000000000E+00 2.636380276E-04 4.472885551E-01 2.930103419E-04 3.634995817E-01 4.764031787E-05 2.585874601E-01 1.842334376E-04 9.961622513E-03 
0L25 44608 318.05 36.454 1.419435413E-04 5.734728721E+00 6.593177984E+04 2.576135489E-04 3.826648235E+00 1.138424635E+03 0.000000000E+00 1.817246262E-04 4.465323494E-01 2.929562293E-04 3.649977795E-01 4.774697770E-05 2.574278307E-01 1.854869660E-04 1.299582418E-02 
0L26 45224 319.03 36.342 9.260664885E-05 5.663183972E+00 5.111698968E+04 2.786870054E-04 3.989848064E+00 1.127149664E+03 0.000000000E+00 2.309428647E-04 4.446468895E-01 2.930430719E-04 3.638811290E-01 4.741396234E-05 2.574046058E-01 1.842135986E-04 1.778260406E-02 
0L27 45842 320.05 36.226 7.235311084E-05 5.620835341E+00 4.299796111E+04 2.922122221E-04 4.033780465E+00 1.093342228E+03 0.000000000E+00 2.516063883E-04 4.441489098E-01 2.933095441E-04 3.634573222E-01 4.734871724E-05 2.557077568E-01 1.851661276E-04 2.683674906E-02 
0L28 46448 321.01 36.118 5.138452942E-07 4.067453119E+00 7.802072276E+03 3.184089940E-04 6.006611817E+00 1.146110251E+03 0.000000000E+00 3.234995288E-04 5.550000000E+02 2.934437273E-04 2.923785496E-04 4.761714150E-05 2.562686064E-01 1.857968083E-04 1.029904078E-01 
0L29 47130 322.01 36.006 1.923099126E-04 5.758970227E+00 7.129013755E+04 3.022580097E-04 3.726502239E+00 9.817184638E+02 0.000000000E+00 1.326409969E-04 5.550000000E+02 2.934409999E-04 2.904583825E-04 4.730398101E-05 2.575407682E-01 1.836682943E-04 3.106411117E-02 
0L30 47810 323.02 35.893 1.854471927E-04 5.649557036E+00 7.666377162E+04 3.317217365E-04 4.093322761E+00 9.819925650E+02 0.000000000E+00 1.389219308E-04 4.375379417E-01 2.934614549E-04 3.673700132E-01 4.717050107E-05 2.554017953E-01 1.847002389E-04 4.106854879E-02 
0L31 48584 324.03 35.781 1.975612098E-04 5.738494258E+00 7.257629220E+04 3.459887711E-04 3.970500932E+00 9.420302247E+02 0.000000000E+00 1.281998370E-04 4.355807198E-01 2.937458664E-04 3.680656876E-01 4.709401795E-05 2.554576422E-01 1.843524052E-04 2.930028094E-02 
0L32 49262 325.01 35.673 1.955430872E-04 5.727148285E+00 6.949979908E+04 3.548438269E-04 3.931939225E+00 9.034894304E+02 0.000000000E+00 1.303974497E-04 4.337980827E-01 2.937853961E-04 3.683143395E-01 4.693928383E-05 2.575696976E-01 1.822452161E-04 2.698242500E-02 
0L33 49942 326.01 35.564 2.130345848E-04 5.666166636E+00 7.771952604E+04 3.810138997E-04 4.137279853E+00 8.960312596E+02 0.000000000E+00 1.126051225E-04 4.324094536E-01 2.937567156E-04 3.678279120E-01 4.672267141E-05 2.535983641E-01 1.842388636E-04 5.660297467E-02 
0L34 50628 327.01 35.455 2.414645327E-04 5.788288945E+00 6.971659371E+04 3.628785396E-04 3.602094122E+00 8.121114021E+02 0.000000000E+00 8.518853646E-05 4.306208794E-01 2.936928789E-04 3.681930431E-01 4.656547938E-05 2.535054148E-01 1.836867160E-04 3.379163790E-02 
0L35 51314 328.03 35.345 2.640444531E-04 5.715866402E+00 8.474580524E+04 4.208067412E-04 4.113672457E+00 8.452657513E+02 0.000000000E+00 6.212687888E-05 4.299685654E-01 2.934431353E-04 3.677368836E-01 4.639784945E-05 2.492580824E-01 1.861431876E-04 4.319626932E-02 
0L36 52000 329.01 35.24 2.445761920E-04 5.739293116E+00 7.441417255E+04 4.270908306E-04 4.005359222E+00 8.040379920E+02 0.000000000E+00 8.233414336E-05 4.270783066E-01 2.935557250E-04 3.709522307E-01 4.650675670E-05 2.505096640E-01 1.856478532E-04 5.749146154E-02 
0L37 53196 330.02 35.132 2.323332647E-04 5.686416160E+00 7.179675540E+04 4.405456969E-04 4.029013311E+00 7.799480935E+02 0.000000000E+00 9.409359139E-05 4.254054466E-01 2.930435464E-04 3.688944974E-01 4.598724415E-05 2.479190454E-01 1.854913736E-04 6.008179025E-02 
0L38 53868 331.02 35.026 2.965102459E-04 5.784741427E+00 7.858481954E+04 4.623993563E-04 3.966442831E+00 7.527070196E+02 0.000000000E+00 3.118942251E-05 4.234715645E-01 2.932579026E-04 3.697631752E-01 4.591955122E-05 2.520409986E-01 1.821903270E-04 4.821020914E-02 
0L39 54554 332.01 34.921 3.171707063E-04 5.728602602E+00 8.516478341E+04 4.874560622E-04 4.085472643E+00 7.416911944E+02 0.000000000E+00 1.000006990E-05 4.222183235E-01 2.928766660E-04 3.689105181E-01 4.561869808E-05 2.459820749E-01 1.854493540E-04 6.744755444E-02 
