fname V Rs Rt Qt nt Rr Qr nr rmsre
d53cm1V2n1 -1.2 3.0090532E+0 3.6782701E+3 1.9651086E-9 1.0000000E+0 3.1468032E+4 5.6314477E-10 9.6822404E-1 2.3338325E-2
d53cm1Vn1 -1 3.1266737E+0 3.4051785E+3 2.0593404E-9 1.0000000E+0 3.2835247E+4 6.0637531E-10 9.7023988E-1 2.6494513E-2
d53cm0V8n1 -0.8 3.1326287E+0 3.0873296E+3 2.1697044E-9 1.0000000E+0 3.4513381E+4 7.1240010E-10 9.6528256E-1 2.4839820E-2
d53cm0V6n1 -0.6 3.4829116E+0 2.9418894E+3 2.3117218E-9 1.0000000E+0 3.7231815E+4 7.5781570E-10 9.6933305E-1 2.9651179E-2
d53cm0V4n1 -0.4 3.4402014E+0 2.5424075E+3 2.4771430E-9 1.0000000E+0 3.8532784E+4 9.2795838E-10 9.6500653E-1 3.0716972E-2
d53cm0V2n1 -0.2 3.5289717E+0 2.1995035E+3 2.7015048E-9 1.0000000E+0 3.4865863E+4 1.0185280E-9 9.7375454E-1 3.3116577E-2
d53c0Vn1 0 3.4409480E+0 1.5641514E+3 3.0030702E-9 1.0000000E+0 1.2574714E+4 1.8780574E-9 9.5269273E-1 2.5737281E-2
d53c0Vn1 0 3.4409480E+0 1.5641514E+3 3.0030702E-9 1.0000000E+0 1.2574714E+4 1.8780574E-9 9.5269273E-1 2.5737281E-2
d53c0V2n1 0.2 2.4044290E+0 6.3244324E+2 3.3018700E-9 1.0000000E+0 4.5155025E+2 1.5793822E-8 8.6978624E-1 4.9132219E-3
d53c0V4n1 0.4 3.3130456E+0 3.8564933E+2 3.5450638E-9 1.0000000E+0 2.8839213E+2 7.5679761E-7 6.0847399E-1 8.5194255E-3
