N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.048859305E+00 1.048085166E+00 1.047482402E+00 1.046985636E+00
1.600000000E+01 1.217275732E+00 1.204366262E+00 1.190727815E+00 1.180777705E+00
1.700000000E+01 1.341749487E+00 1.337973367E+00 1.334228081E+00 1.331790577E+00
1.549996187E+01 1.012133729E+00 1.011100587E+00 1.010364126E+00 1.009798118E+00
1.649996187E+01 1.296540499E+00 1.292106408E+00 1.287157889E+00 1.282459141E+00
1.674996808E+01 1.320013539E+00 1.314759826E+00 1.311370551E+00 1.307680030E+00
1.624993176E+01 1.268957471E+00 1.261752061E+00 1.254748255E+00 1.247890474E+00
1.574996808E+01 1.094617879E+00 1.067248985E+00 1.045825269E+00 1.025917854E+00
1.524993176E+01 1.021021743E+00 1.020170953E+00 1.019532888E+00 1.019029252E+00
