N x
1.3381238E+0 8.9595958E+20
1.3177262E+0 1.4238605E+21
1.3124020E+0 1.7559060E+21
1.2965795E+0 1.7256192E+21
1.2907923E+0 1.6681410E+21
1.2739411E+0 1.3193821E+21
1.2619707E+0 1.9136080E+21
1.2538732E+0 1.8454991E+21
1.2409552E+0 1.5204236E+21
1.2281497E+0 1.1723008E+21
1.2071304E+0 1.2578507E+21
1.1963183E+0 1.9584598E+21
1.1864222E+0 1.6340715E+21
1.1712266E+0 1.2296553E+21
1.1526726E+0 1.2821943E+21
1.1384476E+0 1.6507374E+21
1.1268753E+0 1.5189554E+21
1.1100247E+0 1.5461559E+21
1.0986648E+0 1.9837384E+21
1.0877593E+0 1.6007185E+21
1.0707103E+0 1.3835459E+21
1.0550154E+0 1.4250681E+21
1.0384133E+0 1.5210225E+21
1.0243224E+0 1.5246629E+21
1.0072901E+0 1.6050485E+21
9.9436223E-1 1.6792285E+21
9.7817432E-1 1.5809279E+21
9.6299191E-1 1.3570185E+21
9.4089885E-1 1.3920345E+21
9.2607693E-1 1.5825143E+21
9.0771657E-1 1.5101331E+21
8.9069473E-1 1.6074938E+21
8.7381995E-1 1.5229402E+21
8.5416409E-1 1.4056694E+21
8.3336834E-1 1.5721740E+21
8.1722186E-1 1.5543549E+21
7.9501587E-1 1.3376328E+21
7.7154424E-1 1.4770127E+21
7.5254729E-1 1.5567955E+21
7.3001771E-1 1.5369356E+21
7.0934268E-1 1.6310026E+21
