V d43s d43b V1 d51a d51b d51c d51d d73a d73b d73c d82a d82b d53a d53b d53c
-1.200000e+00 9.999998e-01 1.000000e+00 -1.200000e+00 1.000000e+00 9.980343e-01 1.000000e+00 9.989556e-01 1.000000e+00 9.976829e-01 9.995998e-01 1.000000e+00 9.945451e-01 1.000000e+00 9.960044e-01 9.977729e-01
-1.100000e+00 9.968059e-01 1.000000e+00 -1.000000e+00 1.000000e+00 9.979074e-01 1.000000e+00 1.000000e+00 1.000000e+00 9.989954e-01 1.000000e+00 1.000000e+00 9.938989e-01 1.000000e+00 9.929785e-01 9.977360e-01
-1.000000e+00 9.982104e-01 1.000000e+00 -8.000000e-01 1.000000e+00 9.981179e-01 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 9.974398e-01 1.000000e+00 9.933501e-01 1.000000e+00 9.939072e-01 9.966006e-01
-9.000000e-01 9.994881e-01 1.000000e+00 -6.000000e-01 9.982748e-01 9.976567e-01 9.993476e-01 9.995357e-01 1.000000e+00 1.000000e+00 9.973394e-01 1.000000e+00 9.925275e-01 1.000000e+00 9.993462e-01 9.975312e-01
-8.000000e-01 9.956468e-01 1.000000e+00 -4.000000e-01 9.974618e-01 9.970137e-01 9.986723e-01 9.981623e-01 1.000000e+00 1.000000e+00 9.968103e-01 1.000000e+00 9.919253e-01 1.000000e+00 9.973039e-01 9.963676e-01
-7.000000e-01 9.970126e-01 1.000000e+00 -2.000000e-01 9.969840e-01 9.973804e-01 9.981646e-01 9.978527e-01 1.000000e+00 1.000000e+00 9.991410e-01 1.000000e+00 9.915385e-01 1.000000e+00 9.923009e-01 9.944887e-01
-6.000000e-01 9.961934e-01 1.000000e+00 0.000000e+00 9.958312e-01 9.965533e-01 9.984386e-01 9.970544e-01 1.000000e+00 1.000000e+00 9.949704e-01 1.000000e+00 9.902896e-01 1.000000e+00 9.916925e-01 9.766111e-01
-5.000000e-01 9.965442e-01 1.000000e+00 2.000000e-01 9.833342e-01 9.948637e-01 9.896645e-01 9.960117e-01 9.959874e-01 1.000000e+00 9.934782e-01 1.000000e+00 9.881330e-01 9.897678e-01 9.714342e-01 9.693177e-01
-4.000000e-01 9.965191e-01 1.000000e+00 4.000000e-01 9.686308e-01 9.693557e-01 9.718539e-01 9.816371e-01 8.873506e-01 9.369355e-01 9.521409e-01 9.158841e-01 9.402215e-01 9.272937e-01 9.503509e-01 9.640569e-01
-3.000000e-01 9.958252e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-2.000000e-01 9.959443e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
-1.000000e-01 9.955966e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.000000e+00 9.949638e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.000000e-01 9.939719e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2.000000e-01 9.905457e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3.000000e-01 9.858939e-01 1.000000e+00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
