V d42 V1 d61a d61c d64a d64b
-1.200000e+00 1.000000e+00 -1.200000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
-1.100000e+00 1.000000e+00 -1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
-1.000000e+00 1.000000e+00 -8.000000e-01 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
-9.000000e-01 1.000000e+00 -6.000000e-01 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
-8.000000e-01 1.000000e+00 -4.000000e-01 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
-7.000000e-01 1.000000e+00 -2.000000e-01 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00
-6.000000e-01 1.000000e+00 0.000000e+00 1.000000e+00 1.000000e+00 9.945728e-01 1.000000e+00
-5.000000e-01 1.000000e+00 2.000000e-01 1.000000e+00 1.000000e+00 9.979603e-01 9.883783e-01
-4.000000e-01 1.000000e+00 4.000000e-01 9.885177e-01 9.585552e-01 9.390522e-01 9.222751e-01
-3.000000e-01 1.000000e+00 NaN NaN NaN NaN NaN
-2.000000e-01 1.000000e+00 NaN NaN NaN NaN NaN
-1.000000e-01 1.000000e+00 NaN NaN NaN NaN NaN
0.000000e+00 9.961781e-01 NaN NaN NaN NaN NaN
1.000000e-01 9.810679e-01 NaN NaN NaN NaN NaN
2.000000e-01 9.441486e-01 NaN NaN NaN NaN NaN
3.000000e-01 9.212849e-01 NaN NaN NaN NaN NaN
