V d44s d44b V1 d52a d54b V2 d54c
-1.200000e+00 1.000000e+00 1.000000e+00 -1.200000e+00 1.000000e+00 1.000000e+00 -1.200000e+00 1.000000e+00
-1.100000e+00 1.000000e+00 1.000000e+00 -1.000000e+00 1.000000e+00 1.000000e+00 -1.000000e+00 1.000000e+00
-1.000000e+00 1.000000e+00 9.989910e-01 -8.000000e-01 1.000000e+00 1.000000e+00 -8.000000e-01 1.000000e+00
-9.000000e-01 1.000000e+00 9.972606e-01 -6.000000e-01 1.000000e+00 9.997682e-01 -6.000000e-01 1.000000e+00
-8.000000e-01 1.000000e+00 9.839480e-01 -4.000000e-01 1.000000e+00 9.913501e-01 -4.000000e-01 1.000000e+00
-7.000000e-01 1.000000e+00 9.857295e-01 -2.000000e-01 1.000000e+00 9.670706e-01 -2.000000e-01 1.000000e+00
-6.000000e-01 1.000000e+00 9.796053e-01 0.000000e+00 9.981572e-01 9.543337e-01 -2.000000e-01 1.000000e+00
-5.000000e-01 1.000000e+00 9.829381e-01 2.000000e-01 9.648495e-01 9.783176e-01 0.000000e+00 1.000000e+00
-4.000000e-01 1.000000e+00 9.758636e-01 4.000000e-01 9.388166e-01 9.492275e-01 2.000000e-01 9.776542e-01
-3.000000e-01 1.000000e+00 9.710932e-01 NaN NaN NaN 4.000000e-01 9.767375e-01
-2.000000e-01 1.000000e+00 9.682427e-01 NaN NaN NaN NaN NaN
-1.000000e-01 9.871724e-01 9.681199e-01 NaN NaN NaN NaN NaN
0.000000e+00 9.518260e-01 9.617313e-01 NaN NaN NaN NaN NaN
1.000000e-01 9.596222e-01 9.485448e-01 NaN NaN NaN NaN NaN
2.000000e-01 9.560788e-01 9.279994e-01 NaN NaN NaN NaN NaN
3.000000e-01 9.500870e-01 9.245213e-01 NaN NaN NaN NaN NaN
