fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
0US1 7:16 292.2 39.68 1.000E+000 1.979E+000 1.683E-005 2.138E+004 2.765E+000 1.324E-008 1.429E-005 7.355E-002 1.428E-005 3.132E-007 2.982E-001 4.010E-002 7.792E-006 3.839E-003 
0US2 7:30 295.7 39.21 1.000E+000 2.067E+000 1.532E-005 1.909E+004 2.741E+000 1.533E-008 1.417E-005 6.623E-002 1.417E-005 2.747E-007 2.928E-001 3.580E-002 7.653E-006 4.179E-003 
0US3 7:46 298.7 38.82 1.000E+000 2.185E+000 1.393E-005 1.721E+004 2.728E+000 1.718E-008 1.419E-005 6.057E-002 1.419E-005 2.480E-007 2.887E-001 3.250E-002 7.609E-006 2.600E-001 
0US4 8:4 301.1 38.51 1.000E+000 2.265E+000 1.376E-005 1.578E+004 2.719E+000 1.867E-008 1.426E-005 5.626E-002 1.426E-005 2.291E-007 2.855E-001 3.000E-002 7.610E-006 1.725E-003 
0US5 8:22 304.3 38.1 1.000E+000 2.353E+000 1.366E-005 1.397E+004 2.694E+000 2.106E-008 1.418E-005 5.052E-002 1.417E-005 2.015E-007 2.815E-001 2.680E-002 7.491E-006 6.563E-003 
0US6 8:39 306.8 37.79 1.000E+000 2.507E+000 1.236E-005 1.263E+004 2.697E+000 2.257E-008 1.439E-005 4.676E-002 1.438E-005 1.874E-007 2.787E-001 2.470E-002 7.556E-006 1.735E-003 
0US7 8:57 309.8 37.42 1.000E+000 2.558E+000 1.197E-005 1.112E+004 2.694E+000 2.452E-008 1.420E-005 4.140E-002 1.419E-005 1.616E-007 2.749E-001 2.170E-002 7.411E-006 3.130E-003 
0US8 9:16 312.5 37.1 1.000E+000 2.694E+000 1.078E-005 9.866E+003 2.691E+000 2.663E-008 1.386E-005 3.680E-002 1.385E-005 1.385E-007 2.717E-001 1.920E-002 7.174E-006 8.295E-003 
0US9 9:35 315.1 36.8 1.000E+000 2.680E+000 1.152E-005 8.744E+003 2.664E+000 2.953E-008 1.506E-005 3.619E-002 1.504E-005 1.476E-007 2.712E-001 1.880E-002 7.811E-006 1.021E-003 
US10 9:56 318.1 36.45 1.000E+000 2.675E+000 1.156E-005 7.564E+003 2.654E+000 3.227E-008 1.469E-005 3.165E-002 1.468E-005 1.245E-007 2.681E-001 1.640E-002 7.547E-006 1.296E-003 
US11 10:13 320.5 36.18 1.000E+000 2.741E+000 1.165E-005 6.712E+003 2.643E+000 3.490E-008 1.495E-005 2.942E-002 1.493E-005 1.171E-007 2.665E-001 1.520E-002 7.652E-006 8.072E-004 
US12 10:33 323.8 35.81 1.000E+000 2.737E+000 1.117E-005 5.681E+003 2.648E+000 3.715E-008 1.581E-005 2.678E-002 1.579E-005 1.119E-007 2.647E-001 1.380E-002 8.051E-006 3.819E-003 
US13 10:51 327.3 35.42 1.000E+000 2.688E+000 1.330E-005 4.772E+003 2.616E+000 4.270E-008 1.406E-005 2.144E-002 1.404E-005 7.865E-008 2.614E-001 1.100E-002 7.085E-006 7.184E-004 
US14 11:7 330.3 35.1 1.000E+000 2.767E+000 1.350E-005 4.150E+003 2.593E+000 4.702E-008 1.391E-005 1.901E-002 1.388E-005 6.859E-008 2.599E-001 9.700E-003 6.998E-006 9.118E-004 
US15 11:21 332.4 34.88 1.000E+000 2.833E+000 1.342E-005 3.805E+003 2.599E+000 4.928E-008 1.485E-005 1.864E-002 1.481E-005 7.167E-008 2.596E-001 9.500E-003 7.465E-006 9.996E-002 
