X Y Yfit
1.8000000E+1 1.1980000E-4 1.1843667E-4
3.8000000E+1 1.2010000E-4 1.1929089E-4
7.6000000E+1 1.2110000E-4 1.2088857E-4
9.5000000E+1 1.2180000E-4 1.2167456E-4
1.1400000E+2 1.2250000E-4 1.2245170E-4
1.3300000E+2 1.2330000E-4 1.2321982E-4
1.5200000E+2 1.2410000E-4 1.2397873E-4
1.7100000E+2 1.2490000E-4 1.2472827E-4
1.9000000E+2 1.2560000E-4 1.2546828E-4
2.0900000E+2 1.2630000E-4 1.2619861E-4
2.2800000E+2 1.2660000E-4 1.2691911E-4
2.4700000E+2 1.2740000E-4 1.2762965E-4
2.6600000E+2 1.2800000E-4 1.2833011E-4
2.8500000E+2 1.2870000E-4 1.2902038E-4
3.0400000E+2 1.2950000E-4 1.2970035E-4
3.2300000E+2 1.3020000E-4 1.3036993E-4
3.4200000E+2 1.3090000E-4 1.3102904E-4
3.6100000E+2 1.3160000E-4 1.3167761E-4
3.8000000E+2 1.3210000E-4 1.3231556E-4
3.9900000E+2 1.3250000E-4 1.3294286E-4
4.1800000E+2 1.3290000E-4 1.3355945E-4
4.3700000E+2 1.3360000E-4 1.3416530E-4
4.5600000E+2 1.3440000E-4 1.3476039E-4
4.7500000E+2 1.3500000E-4 1.3534471E-4
4.9400000E+2 1.3570000E-4 1.3591824E-4
5.1300000E+2 1.3630000E-4 1.3648099E-4
5.3200000E+2 1.3690000E-4 1.3703297E-4
5.5100000E+2 1.3730000E-4 1.3757422E-4
5.7000000E+2 1.3770000E-4 1.3810475E-4
5.8900000E+2 1.3830000E-4 1.3862460E-4
6.0800000E+2 1.3870000E-4 1.3913383E-4
6.2700000E+2 1.3920000E-4 1.3963248E-4
6.4600000E+2 1.3990000E-4 1.4012062E-4
6.6500000E+2 1.4060000E-4 1.4059832E-4
6.8400000E+2 1.4110000E-4 1.4106565E-4
7.0300000E+2 1.4130000E-4 1.4152271E-4
7.2200000E+2 1.4160000E-4 1.4196956E-4
7.4100000E+2 1.4210000E-4 1.4240633E-4
