X Y Xfit Y
0.0000000E+0 -5.7334000E-3 -2.1695440E-3 -5.7334000E-3
1.0000000E-2 -5.6913000E-3 8.5938353E-3 -5.6913000E-3
2.0000000E-2 -5.6491000E-3 1.9242453E-2 -5.6491000E-3
3.0000000E-2 -5.6066000E-3 2.9817877E-2 -5.6066000E-3
4.0000000E-2 -5.5639000E-3 4.0285970E-2 -5.5639000E-3
5.0000000E-2 -5.5209000E-3 5.0662216E-2 -5.5209000E-3
6.0000000E-2 -5.4776000E-3 6.0937330E-2 -5.4776000E-3
7.0000000E-2 -5.4338000E-3 7.1148641E-2 -5.4338000E-3
8.0000000E-2 -5.3896000E-3 8.1262504E-2 -5.3896000E-3
9.0000000E-2 -5.3449000E-3 9.1291978E-2 -5.3449000E-3
1.0000000E-1 -5.2996000E-3 1.0124894E-1 -5.2996000E-3
1.1000000E-1 -5.2536000E-3 1.1114409E-1 -5.2536000E-3
1.2000000E-1 -5.2068000E-3 1.2098697E-1 -5.2068000E-3
1.3000000E-1 -5.1592000E-3 1.3076569E-1 -5.1592000E-3
1.4000000E-1 -5.1105000E-3 1.4052869E-1 -5.1105000E-3
1.5000000E-1 -5.0606000E-3 1.5028079E-1 -5.0606000E-3
1.6000000E-1 -5.0095000E-3 1.6000710E-1 -5.0095000E-3
1.7000000E-1 -4.9570000E-3 1.6973046E-1 -4.9570000E-3
1.8000000E-1 -4.9028000E-3 1.7948870E-1 -4.9028000E-3
1.9000000E-1 -4.8469000E-3 1.8926324E-1 -4.8469000E-3
2.0000000E-1 -4.7891000E-3 1.9907061E-1 -4.7891000E-3
2.1000000E-1 -4.7292000E-3 2.0892505E-1 -4.7292000E-3
2.2000000E-1 -4.6671000E-3 2.1882305E-1 -4.6671000E-3
2.3000000E-1 -4.6026000E-3 2.2877655E-1 -4.6026000E-3
2.4000000E-1 -4.5355000E-3 2.3879590E-1 -4.5355000E-3
2.5000000E-1 -4.4659000E-3 2.4884766E-1 -4.4659000E-3
2.6000000E-1 -4.3935000E-3 2.5895801E-1 -4.3935000E-3
2.7000000E-1 -4.3184000E-3 2.6909743E-1 -4.3184000E-3
2.8000000E-1 -4.2404000E-3 2.7927972E-1 -4.2404000E-3
2.9000000E-1 -4.1596000E-3 2.8948104E-1 -4.1596000E-3
3.0000000E-1 -4.0760000E-3 2.9969425E-1 -4.0760000E-3
3.1000000E-1 -3.9897000E-3 3.0990343E-1 -3.9897000E-3
3.2000000E-1 -3.9006000E-3 3.2011937E-1 -3.9006000E-3
3.3000000E-1 -3.8089000E-3 3.3032107E-1 -3.8089000E-3
3.4000000E-1 -3.7147000E-3 3.4050307E-1 -3.7147000E-3
3.5000000E-1 -3.6181000E-3 3.5066302E-1 -3.6181000E-3
3.6000000E-1 -3.5194000E-3 3.6078109E-1 -3.5194000E-3
3.7000000E-1 -3.4186000E-3 3.7087139E-1 -3.4186000E-3
3.8000000E-1 -3.3160000E-3 3.8092002E-1 -3.3160000E-3
3.9000000E-1 -3.2117000E-3 3.9093532E-1 -3.2117000E-3
4.0000000E-1 -3.1059000E-3 4.0091757E-1 -3.1059000E-3
4.1000000E-1 -2.9989000E-3 4.1085948E-1 -2.9989000E-3
4.2000000E-1 -2.8907000E-3 4.2078293E-1 -2.8907000E-3
4.3000000E-1 -2.7817000E-3 4.3067387E-1 -2.7817000E-3
4.4000000E-1 -2.6719000E-3 4.4055557E-1 -2.6719000E-3
4.5000000E-1 -2.5617000E-3 4.5041570E-1 -2.5617000E-3
4.6000000E-1 -2.4513000E-3 4.6026038E-1 -2.4513000E-3
4.7000000E-1 -2.3407000E-3 4.7011363E-1 -2.3407000E-3
4.8000000E-1 -2.2303000E-3 4.7996377E-1 -2.2303000E-3
4.9000000E-1 -2.1202000E-3 4.8982569E-1 -2.1202000E-3
5.0000000E-1 -2.0107000E-3 4.9969598E-1 -2.0107000E-3
5.1000000E-1 -1.9020000E-3 5.0957952E-1 -1.9020000E-3
5.2000000E-1 -1.7942000E-3 5.1948963E-1 -1.7942000E-3
5.3000000E-1 -1.6875000E-3 5.2942974E-1 -1.6875000E-3
5.4000000E-1 -1.5822000E-3 5.3939265E-1 -1.5822000E-3
5.5000000E-1 -1.4785000E-3 5.4937878E-1 -1.4785000E-3
5.6000000E-1 -1.3764000E-3 5.5940660E-1 -1.3764000E-3
5.7000000E-1 -1.2763000E-3 5.6945368E-1 -1.2763000E-3
5.8000000E-1 -1.1783000E-3 5.7952458E-1 -1.1783000E-3
5.9000000E-1 -1.0826000E-3 5.8961139E-1 -1.0826000E-3
6.0000000E-1 -9.8925000E-4 5.9971946E-1 -9.8925000E-4
6.1000000E-1 -8.9843000E-4 6.0983771E-1 -8.9843000E-4
6.2000000E-1 -8.1025000E-4 6.1995946E-1 -8.1025000E-4
6.3000000E-1 -7.2480000E-4 6.3007728E-1 -7.2480000E-4
