X Y Xfit Y
0.0000000E+0 -5.7334000E-3 -1.4897968E-2 -5.7334000E-3
1.0000000E-2 -5.6913000E-3 5.1991896E-3 -5.6913000E-3
2.0000000E-2 -5.6491000E-3 2.1748617E-2 -5.6491000E-3
3.0000000E-2 -5.6066000E-3 3.6092278E-2 -5.6066000E-3
4.0000000E-2 -5.5639000E-3 4.8875490E-2 -5.5639000E-3
5.0000000E-2 -5.5209000E-3 6.0539838E-2 -5.5209000E-3
6.0000000E-2 -5.4776000E-3 7.1349965E-2 -5.4776000E-3
7.0000000E-2 -5.4338000E-3 8.1533211E-2 -5.4338000E-3
8.0000000E-2 -5.3896000E-3 9.1191702E-2 -5.3896000E-3
9.0000000E-2 -5.3449000E-3 1.0044093E-1 -5.3449000E-3
1.0000000E-1 -5.2996000E-3 1.0937031E-1 -5.2996000E-3
1.1000000E-1 -5.2536000E-3 1.1805098E-1 -5.2536000E-3
1.2000000E-1 -5.2068000E-3 1.2654089E-1 -5.2068000E-3
1.3000000E-1 -5.1592000E-3 1.3487101E-1 -5.1592000E-3
1.4000000E-1 -5.1105000E-3 1.4311704E-1 -5.1105000E-3
1.5000000E-1 -5.0606000E-3 1.5131245E-1 -5.0606000E-3
1.6000000E-1 -5.0095000E-3 1.5947077E-1 -5.0095000E-3
1.7000000E-1 -4.9570000E-3 1.6763451E-1 -4.9570000E-3
1.8000000E-1 -4.9028000E-3 1.7585682E-1 -4.9028000E-3
1.9000000E-1 -4.8469000E-3 1.8414205E-1 -4.8469000E-3
2.0000000E-1 -4.7891000E-3 1.9252296E-1 -4.7891000E-3
2.1000000E-1 -4.7292000E-3 2.0102982E-1 -4.7292000E-3
2.2000000E-1 -4.6671000E-3 2.0967696E-1 -4.6671000E-3
2.3000000E-1 -4.6026000E-3 2.1849152E-1 -4.6026000E-3
2.4000000E-1 -4.5355000E-3 2.2749904E-1 -4.5355000E-3
2.5000000E-1 -4.4659000E-3 2.3668442E-1 -4.4659000E-3
2.6000000E-1 -4.3935000E-3 2.4608547E-1 -4.3935000E-3
2.7000000E-1 -4.3184000E-3 2.5568724E-1 -4.3184000E-3
2.8000000E-1 -4.2404000E-3 2.6551354E-1 -4.2404000E-3
2.9000000E-1 -4.1596000E-3 2.7555016E-1 -4.1596000E-3
3.0000000E-1 -4.0760000E-3 2.8579617E-1 -4.0760000E-3
3.1000000E-1 -3.9897000E-3 2.9623890E-1 -3.9897000E-3
3.2000000E-1 -3.9006000E-3 3.0689029E-1 -3.9006000E-3
3.3000000E-1 -3.8089000E-3 3.1772664E-1 -3.8089000E-3
3.4000000E-1 -3.7147000E-3 3.2873710E-1 -3.7147000E-3
3.5000000E-1 -3.6181000E-3 3.3991133E-1 -3.6181000E-3
3.6000000E-1 -3.5194000E-3 3.5121664E-1 -3.5194000E-3
3.7000000E-1 -3.4186000E-3 3.6265543E-1 -3.4186000E-3
3.8000000E-1 -3.3160000E-3 3.7419636E-1 -3.3160000E-3
3.9000000E-1 -3.2117000E-3 3.8583124E-1 -3.2117000E-3
4.0000000E-1 -3.1059000E-3 3.9754097E-1 -3.1059000E-3
4.1000000E-1 -2.9989000E-3 4.0929591E-1 -2.9989000E-3
4.2000000E-1 -2.8907000E-3 4.2109966E-1 -2.8907000E-3
4.3000000E-1 -2.7817000E-3 4.3291230E-1 -2.7817000E-3
4.4000000E-1 -2.6719000E-3 4.4473764E-1 -2.6719000E-3
4.5000000E-1 -2.5617000E-3 4.5653641E-1 -2.5617000E-3
4.6000000E-1 -2.4513000E-3 4.6829123E-1 -2.4513000E-3
4.7000000E-1 -2.3407000E-3 4.8000592E-1 -2.3407000E-3
4.8000000E-1 -2.2303000E-3 4.9164190E-1 -2.2303000E-3
4.9000000E-1 -2.1202000E-3 5.0319244E-1 -2.1202000E-3
5.0000000E-1 -2.0107000E-3 5.1462982E-1 -2.0107000E-3
5.1000000E-1 -1.9020000E-3 5.2593689E-1 -1.9020000E-3
5.2000000E-1 -1.7942000E-3 5.3710682E-1 -1.7942000E-3
5.3000000E-1 -1.6875000E-3 5.4812233E-1 -1.6875000E-3
5.4000000E-1 -1.5822000E-3 5.5895584E-1 -1.5822000E-3
5.5000000E-1 -1.4785000E-3 5.6959015E-1 -1.4785000E-3
5.6000000E-1 -1.3764000E-3 5.8002839E-1 -1.3764000E-3
5.7000000E-1 -1.2763000E-3 5.9023275E-1 -1.2763000E-3
5.8000000E-1 -1.1783000E-3 6.0019604E-1 -1.1783000E-3
5.9000000E-1 -1.0826000E-3 6.0990078E-1 -1.0826000E-3
6.0000000E-1 -9.8925000E-4 6.1934461E-1 -9.8925000E-4
6.1000000E-1 -8.9843000E-4 6.2851190E-1 -8.9843000E-4
6.2000000E-1 -8.1025000E-4 6.3739397E-1 -8.1025000E-4
6.3000000E-1 -7.2480000E-4 6.4598405E-1 -7.2480000E-4
6.4000000E-1 -6.4215000E-4 6.5427727E-1 -6.4215000E-4
6.5000000E-1 -5.6232000E-4 6.6227359E-1 -5.6232000E-4
6.6000000E-1 -4.8532000E-4 6.6997387E-1 -4.8532000E-4
6.7000000E-1 -4.1114000E-4 6.7738080E-1 -4.1114000E-4
6.8000000E-1 -3.3972000E-4 6.8450190E-1 -3.3972000E-4
6.9000000E-1 -2.7098000E-4 6.9134655E-1 -2.7098000E-4
7.0000000E-1 -2.0484000E-4 6.9792396E-1 -2.0484000E-4
7.1000000E-1 -1.4116000E-4 7.0424918E-1 -1.4116000E-4
7.2000000E-1 -7.9816000E-5 7.1033552E-1 -7.9816000E-5
7.3000000E-1 -2.0648000E-5 7.1619972E-1 -2.0648000E-5
7.4000000E-1 3.6499000E-5 7.2185792E-1 3.6499000E-5
7.5000000E-1 9.1786000E-5 7.2732674E-1 9.1786000E-5
7.6000000E-1 1.4538000E-4 7.3262328E-1 1.4538000E-4
7.7000000E-1 1.9743000E-4 7.3776278E-1 1.9743000E-4
7.8000000E-1 2.4810000E-4 7.4276186E-1 2.4810000E-4
7.9000000E-1 2.9753000E-4 7.4763474E-1 2.9753000E-4
