X Y Xfit Y
0.0000000E+0 -5.7334000E-3 6.9437705E-2 -5.7334000E-3
1.0000000E-2 -5.6913000E-3 7.4340888E-2 -5.6913000E-3
2.0000000E-2 -5.6491000E-3 7.9255578E-2 -5.6491000E-3
3.0000000E-2 -5.6066000E-3 8.4205064E-2 -5.6066000E-3
4.0000000E-2 -5.5639000E-3 8.9177699E-2 -5.5639000E-3
5.0000000E-2 -5.5209000E-3 9.4185126E-2 -5.5209000E-3
6.0000000E-2 -5.4776000E-3 9.9227342E-2 -5.4776000E-3
7.0000000E-2 -5.4338000E-3 1.0432763E-1 -5.4338000E-3
8.0000000E-2 -5.3896000E-3 1.0947435E-1 -5.3896000E-3
9.0000000E-2 -5.3449000E-3 1.1467914E-1 -5.3449000E-3
1.0000000E-1 -5.2996000E-3 1.1995362E-1 -5.2996000E-3
1.1000000E-1 -5.2536000E-3 1.2530946E-1 -5.2536000E-3
1.2000000E-1 -5.2068000E-3 1.3075826E-1 -5.2068000E-3
1.3000000E-1 -5.1592000E-3 1.3630004E-1 -5.1592000E-3
1.4000000E-1 -5.1105000E-3 1.4196971E-1 -5.1105000E-3
1.5000000E-1 -5.0606000E-3 1.4777889E-1 -5.0606000E-3
1.6000000E-1 -5.0095000E-3 1.5372757E-1 -5.0095000E-3
1.7000000E-1 -4.9570000E-3 1.5983902E-1 -4.9570000E-3
1.8000000E-1 -4.9028000E-3 1.6614815E-1 -4.9028000E-3
1.9000000E-1 -4.8469000E-3 1.7265494E-1 -4.8469000E-3
2.0000000E-1 -4.7891000E-3 1.7938264E-1 -4.7891000E-3
2.1000000E-1 -4.7292000E-3 1.8635450E-1 -4.7292000E-3
2.2000000E-1 -4.6671000E-3 1.9358214E-1 -4.6671000E-3
2.3000000E-1 -4.6026000E-3 2.0108881E-1 -4.6026000E-3
2.4000000E-1 -4.5355000E-3 2.0889774E-1 -4.5355000E-3
2.5000000E-1 -4.4659000E-3 2.1699727E-1 -4.4659000E-3
2.6000000E-1 -4.3935000E-3 2.2542226E-1 -4.3935000E-3
