fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
00S1 8:36 299.5 38.71 1.000E+000 1.496E+000 6.310E-011 6.938E+002 2.909E+000 5.887E-006 1.475E-005 9.673E-003 1.472E-005 3.565E-008 2.504E-001 4.800E-003 7.276E-006 5.746E-004 
00S2 8:52 302.3 38.35 1.000E+000 1.433E+000 9.758E-011 7.073E+002 2.866E+000 6.254E-006 1.633E-005 1.086E-002 1.630E-005 4.435E-008 2.505E-001 5.400E-003 8.063E-006 2.854E-003 
00S3 9:18 304.9 38.03 1.000E+000 1.391E+000 1.448E-010 7.197E+002 2.782E+000 6.222E-006 1.400E-005 9.455E-003 1.397E-005 3.308E-008 2.505E-001 4.700E-003 6.890E-006 1.811E-003 
00S4 9:33 307.6 37.69 1.000E+000 1.440E+000 2.301E-010 7.323E+002 2.795E+000 7.323E-006 1.635E-005 1.111E-002 1.632E-005 4.543E-008 2.506E-001 5.600E-003 7.965E-006 2.913E-003 
00S5 9:55 309.9 37.41 1.000E+000 1.445E+000 3.314E-010 7.428E+002 2.784E+000 8.079E-006 1.473E-005 1.007E-002 1.470E-005 3.710E-008 2.506E-001 5.000E-003 7.274E-006 4.204E-004 
00S6 10:15 312.7 37.08 1.000E+000 1.481E+000 5.345E-010 7.552E+002 2.828E+000 9.985E-006 1.761E-005 1.201E-002 1.757E-005 5.296E-008 2.510E-001 6.000E-003 8.680E-006 1.653E-003 
00S7 10:41 315.2 36.78 1.000E+000 1.444E+000 7.443E-010 7.659E+002 2.741E+000 9.923E-006 1.707E-005 1.177E-002 1.703E-005 5.033E-008 2.510E-001 5.900E-003 8.385E-006 3.288E-002 
00S8 11:0 317.4 36.53 1.000E+000 1.450E+000 1.015E-009 7.748E+002 2.677E+000 1.002E-005 1.452E-005 1.010E-002 1.449E-005 3.673E-008 2.509E-001 5.100E-003 7.058E-006 1.338E-003 
00S9 11:28 320.2 36.21 1.000E+000 1.542E+000 1.592E-009 7.857E+002 2.705E+000 1.207E-005 1.525E-005 1.054E-002 1.522E-005 4.028E-008 2.511E-001 5.300E-003 7.457E-006 2.688E-003 
0S10 11:47 322.3 35.97 1.000E+000 1.545E+000 2.207E-009 7.933E+002 2.736E+000 1.408E-005 1.779E-005 1.217E-002 1.775E-005 5.433E-008 2.514E-001 6.100E-003 8.760E-006 1.112E-003 
0S11 12:13 325.3 35.64 1.000E+000 1.503E+000 3.193E-009 8.033E+002 2.657E+000 1.463E-005 1.558E-005 1.070E-002 1.555E-005 4.180E-008 2.513E-001 5.400E-003 7.596E-006 3.656E-004 
0S12 12:34 328.1 35.34 1.000E+000 1.521E+000 4.738E-009 8.117E+002 2.650E+000 1.655E-005 1.697E-005 1.154E-002 1.693E-005 4.916E-008 2.515E-001 5.800E-003 8.329E-006 7.865E-004 
0S13 12:55 330.6 35.07 1.000E+000 1.557E+000 6.661E-009 8.184E+002 2.633E+000 1.829E-005 1.613E-005 1.087E-002 1.609E-005 4.400E-008 2.516E-001 5.500E-003 7.851E-006 4.003E-004 
