f G/w
1.0000000E+6 1.7581395E-4
8.9779585E+5 1.9249199E-4
8.0603739E+5 2.1038234E-4
7.2365703E+5 2.2962266E-4
6.4969628E+5 2.5032706E-4
5.8329463E+5 2.7271669E-4
5.2367949E+5 2.9689033E-4
4.7015728E+5 3.2284492E-4
4.2210526E+5 3.5061932E-4
3.7896435E+5 3.8025770E-4
3.4023262E+5 4.1180240E-4
3.0545943E+5 4.4521243E-4
2.7424021E+5 4.8051716E-4
2.4621173E+5 5.1750823E-4
2.2104787E+5 5.5604584E-4
1.9845586E+5 5.9580921E-4
1.7817285E+5 6.3656213E-4
1.5996284E+5 6.7784274E-4
1.4361398E+5 7.1930771E-4
1.2893603E+5 7.6056928E-4
1.1575824E+5 8.0090469E-4
1.0392726E+5 8.3996536E-4
9.3305466E+4 8.7727694E-4
8.3769261E+4 9.1238534E-4
7.5207695E+4 9.4504792E-4
6.7521156E+4 9.7492508E-4
6.0620214E+4 1.0015636E-3
5.4424577E+4 1.0247491E-3
4.8862159E+4 1.0449495E-3
4.3868244E+4 1.0620465E-3
3.9384728E+4 1.0756765E-3
3.5359445E+4 1.0868019E-3
3.1745563E+4 1.0952453E-3
2.8501035E+4 1.1022979E-3
2.5588111E+4 1.1064452E-3
2.2972900E+4 1.1098634E-3
2.0624974E+4 1.1118449E-3
1.8517016E+4 1.1130822E-3
1.6624501E+4 1.1137096E-3
1.4925408E+4 1.1138592E-3
1.3399969E+4 1.1145422E-3
1.2030437E+4 1.1167025E-3
1.0800876E+4 1.1193166E-3
9.6969820E+3 1.1225071E-3
8.7059100E+3 1.1277714E-3
7.8161300E+3 1.1348831E-3
7.0172890E+3 1.1440966E-3
6.3000930E+3 1.1564900E-3
5.6561970E+3 1.1720395E-3
5.0781110E+3 1.1901346E-3
4.5591070E+3 1.2135979E-3
4.0931470E+3 1.2419278E-3
3.6748100E+3 1.2754622E-3
3.2992300E+3 1.3154095E-3
2.9620350E+3 1.3609097E-3
2.6593020E+3 1.4136011E-3
2.3875110E+3 1.4767833E-3
2.1434970E+3 1.5481670E-3
1.9244230E+3 1.6299341E-3
1.7277390E+3 1.7243382E-3
1.5511570E+3 1.8312776E-3
1.3926220E+3 1.9507889E-3
1.2502900E+3 2.0904087E-3
1.1225050E+3 2.2470887E-3
1.0077810E+3 2.4237495E-3
9.0478100E+2 2.6202139E-3
8.1230900E+2 2.8443247E-3
7.2928800E+2 3.0970674E-3
6.5475100E+2 3.3812018E-3
5.8783300E+2 3.6979136E-3
5.2775400E+2 4.0520249E-3
4.7381500E+2 4.4447058E-3
4.2539000E+2 4.8935878E-3
3.8191300E+2 5.3807836E-3
3.4288000E+2 5.9307194E-3
3.0783600E+2 6.5438558E-3
2.7637400E+2 7.2389473E-3
2.4812700E+2 7.9756932E-3
2.2276800E+2 8.8287685E-3
2.0000000E+2 9.7740139E-3
