X Y Yfit
7.895E-6 -2.328E-4 4.385E-3 -2.328E-4
8.693E-3 -2.321E-4 9.484E-3 -2.321E-4
1.865E-2 -2.308E-4 1.868E-2 -2.308E-4
2.820E-2 -2.293E-4 2.886E-2 -2.293E-4
3.849E-2 -2.278E-4 3.861E-2 -2.278E-4
4.818E-2 -2.263E-4 4.794E-2 -2.263E-4
5.912E-2 -2.245E-4 5.861E-2 -2.245E-4
6.913E-2 -2.228E-4 6.820E-2 -2.228E-4
7.893E-2 -2.211E-4 7.734E-2 -2.211E-4
8.862E-2 -2.191E-4 8.755E-2 -2.191E-4
9.840E-2 -2.172E-4 9.676E-2 -2.172E-4
1.094E-1 -2.147E-4 1.082E-1 -2.147E-4
1.195E-1 -2.125E-4 1.177E-1 -2.125E-4
1.291E-1 -2.098E-4 1.286E-1 -2.098E-4
1.393E-1 -2.074E-4 1.378E-1 -2.074E-4
1.490E-1 -2.046E-4 1.479E-1 -2.046E-4
1.601E-1 -2.014E-4 1.587E-1 -2.014E-4
1.698E-1 -1.982E-4 1.689E-1 -1.982E-4
1.796E-1 -1.951E-4 1.781E-1 -1.951E-4
1.898E-1 -1.914E-4 1.884E-1 -1.914E-4
1.992E-1 -1.871E-4 1.996E-1 -1.871E-4
2.091E-1 -1.832E-4 2.091E-1 -1.832E-4
2.201E-1 -1.782E-4 2.205E-1 -1.782E-4
2.305E-1 -1.731E-4 2.314E-1 -1.731E-4
2.400E-1 -1.683E-4 2.409E-1 -1.683E-4
2.501E-1 -1.629E-4 2.509E-1 -1.629E-4
2.597E-1 -1.568E-4 2.616E-1 -1.568E-4
2.707E-1 -1.497E-4 2.731E-1 -1.497E-4
2.805E-1 -1.437E-4 2.822E-1 -1.437E-4
2.905E-1 -1.364E-4 2.927E-1 -1.364E-4
3.005E-1 -1.295E-4 3.020E-1 -1.295E-4
3.103E-1 -1.211E-4 3.126E-1 -1.211E-4
3.214E-1 -1.115E-4 3.240E-1 -1.115E-4
3.313E-1 -1.034E-4 3.331E-1 -1.034E-4
3.411E-1 -9.397E-5 3.431E-1 -9.397E-5
3.510E-1 -8.482E-5 3.523E-1 -8.482E-5
3.605E-1 -7.430E-5 3.624E-1 -7.430E-5
3.715E-1 -6.283E-5 3.728E-1 -6.283E-5
3.816E-1 -5.252E-5 3.817E-1 -5.252E-5
3.915E-1 -4.105E-5 3.912E-1 -4.105E-5
4.011E-1 -2.923E-5 4.006E-1 -2.923E-5
4.210E-1 -3.069E-6 4.201E-1 -3.069E-6
4.420E-1 2.626E-5 4.403E-1 2.626E-5
4.617E-1 5.549E-5 4.591E-1 5.549E-5
4.829E-1 9.010E-5 4.800E-1 9.010E-5
5.025E-1 1.246E-4 4.997E-1 1.246E-4
5.528E-1 2.191E-4 5.500E-1 2.191E-4
6.031E-1 3.241E-4 6.023E-1 3.241E-4
6.541E-1 4.305E-4 6.541E-1 4.305E-4
7.044E-1 5.336E-4 7.046E-1 5.336E-4
7.548E-1 6.327E-4 7.545E-1 6.327E-4
8.054E-1 7.299E-4 8.053E-1 7.299E-4
8.554E-1 8.227E-4 8.560E-1 8.227E-4
9.062E-1 9.103E-4 9.059E-1 9.103E-4
9.564E-1 9.963E-4 9.569E-1 9.963E-4
1.006E+0 1.077E-3 1.007E+0 1.077E-3
