Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+10 1.144246025E+00 1.119812113E+0 2.443391200E-02 1.144246025E+00 1.119812113E+0 2.443391200E-02
1.468000015E+10 1.144305302E+00 1.122466529E+0 2.183877300E-02 1.144305302E+00 1.122466529E+0 2.183877300E-02
2.154000005E+10 1.144392211E+00 1.125131828E+0 1.926038300E-02 1.144392211E+00 1.125131828E+0 1.926038300E-02
3.162000032E+10 1.144519553E+00 1.127814304E+0 1.670524900E-02 1.144519553E+00 1.127814304E+0 1.670524900E-02
4.642000041E+10 1.144705994E+00 1.130511108E+0 1.419488600E-02 1.144705994E+00 1.130511108E+0 1.419488600E-02
6.813000017E+10 1.144978653E+00 1.133219865E+0 1.175878800E-02 1.144978653E+00 1.133219865E+0 1.175878800E-02
1.000000000E+11 1.145376734E+00 1.135942672E+0 9.434062000E-03 1.145376734E+00 1.135942672E+0 9.434062000E-03
1.468000015E+11 1.145956445E+00 1.138679991E+0 7.276454000E-03 1.145956445E+00 1.138679991E+0 7.276454000E-03
2.154000005E+11 1.146366827E+00 1.141427220E+0 4.939607000E-03 1.146366827E+00 1.141427220E+0 4.939607000E-03
3.162000032E+11 1.146643026E+00 1.144190876E+0 2.452150000E-03 1.146643026E+00 1.144190876E+0 2.452150000E-03
4.642000041E+11 1.147004570E+00 1.146968045E+0 3.652500000E-05 1.147004570E+00 1.146968045E+0 3.652500000E-05
6.813000017E+11 1.147458769E+00 1.149756309E+0 -2.297540000E-03 1.147458769E+00 1.149756309E+0 -2.297540000E-03
1.000000000E+12 1.148006629E+00 1.152557850E+0 -4.551221000E-03 1.148006629E+00 1.152557850E+0 -4.551221000E-03
1.468000015E+12 1.148621372E+00 1.155373166E+0 -6.751794000E-03 1.148621372E+00 1.155373166E+0 -6.751794000E-03
2.154000005E+12 1.149209631E+00 1.158197549E+0 -8.987918000E-03 1.149209631E+00 1.158197549E+0 -8.987918000E-03
3.162000032E+12 1.149731668E+00 1.161037717E+0 -1.130604900E-02 1.149731668E+00 1.161037717E+0 -1.130604900E-02
4.642000041E+12 1.150173627E+00 1.163890696E+0 -1.371706900E-02 1.150173627E+00 1.163890696E+0 -1.371706900E-02
6.813000017E+12 1.150485949E+00 1.166754023E+0 -1.626807400E-02 1.150485949E+00 1.166754023E+0 -1.626807400E-02
1.000000000E+13 1.150535618E+00 1.169629957E+0 -1.909433900E-02 1.150535618E+00 1.169629957E+0 -1.909433900E-02
