fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B316FE100_T 1317912115 0 555 4.926185799E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.503022194E-04 
B316FE101_T 1317912115 0 555 5.028003232E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.219727614E-04 
B316FE102_T 1317912115 0 555 5.439495006E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 5.325215108E-04 
B316FE103_T 1317912115 0 555 5.945681325E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 8.043178651E-04 
B316FE140_T 1317912115 0 555 4.931831015E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.501591774E-04 
B316FE141_T 1317912115 0 555 5.072845811E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.944470238E-04 
B316FE142_T 1317912115 0 555 5.524787236E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 5.774335648E-04 
B316FE210_T 1317912115 0 555 4.940398146E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.407803340E-04 
B316FE211_T 1317912115 0 555 5.125172561E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 3.380345565E-04 
B316FE212_T 1317912115 0 555 5.613302790E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 5.220408545E-04 
B316FE310_T 1317912115 0 555 4.952672081E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.281116345E-04 
B316FE311_T 1317912115 0 555 5.168728481E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 2.915420376E-04 
B316FE312_T 1317912115 0 555 5.692620939E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 5.917994794E-04 
B316FE460_T 1317912115 0 555 4.970106979E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.131062913E-04 
B316FE461_T 1317912115 0 555 5.250495007E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 5.742717230E-04 
B316FE462_T 1317912115 0 555 5.806037109E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 5.932815208E-04 
B316FE680_T 1317912115 0 555 4.994508366E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 1.032509311E-04 
B316FE681_T 1317912115 0 555 5.353884816E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 6.031021032E-04 
B316FE682_T 1317912115 0 555 5.892811141E-07 7.320000000E-01 1.610000000E-16 0.000000000E+00 2.200000000E+00 6.592602181E-04 
