fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
00T1 7:48 305 38.01 5.32E+00 2.24E-10 6.35E-06 1 2.706 7.49E+02 
00T2 8:35 305.7 37.93 5.06E+00 2.48E-10 8.03E-06 1 2.824 7.81E+02 
00T3 8:51 309.7 37.44 4.73E+00 4.95E-10 1.03E-05 1 2.842 8.13E+02 
00T4 9:30 315 36.81 4.40E+00 1.05E-09 9.61E-06 1 2.626 7.80E+02 
00T6 9:49 317.3 36.54 4.44E+00 1.49E-09 1.12E-05 1 2.645 7.95E+02 
00T7 10:7 320.1 36.22 4.53E+00 2.17E-09 1.21E-05 1 2.594 8.02E+02 
00T8 10:25 322.5 35.95 4.53E+00 3.00E-09 1.33E-05 1 2.575 8.09E+02 
00T9 10:50 325.5 35.62 5.43E+00 4.81E-09 2.04E-05 1 2.744 8.91E+02 
0T10 11:11 328.1 35.34 4.60E+00 7.89E-09 2.99E-05 1 2.922 9.83E+02 
0T11 11:30 331.1 35.02 4.77E+00 1.16E-08 2.87E-05 1 2.798 9.38E+02 
0T12 11:48 335 34.61 4.80E+00 1.76E-08 2.56E-05 1 2.578 8.43E+02 
0T13 12:13 338.6 34.24 4.84E+00 2.81E-08 3.29E-05 1 2.631 8.88E+02 
0T14 12:34 342 33.9 4.76E+00 4.34E-08 3.80E-05 1 2.625 8.82E+02 
