fname time Tem kT_1 Io Et Ud Iph dev 
0001 9:41:16 340 34.1 6.157E-003 2.313E-003 5.000E-001 0.000E+000 1.622E-001 
0002 9:48:32 340 34.1 3.971E-001 1.228E-003 5.000E-001 0.000E+000 1.377E-001 
0003 9:55:28 340 34.1 2.576E-002 1.517E-003 5.000E-001 0.000E+000 1.622E-001 
0004 10:00:40 340 34.1 3.910E-003 9.657E-001 5.000E-001 0.000E+000 1.644E-001 
0005 10:05:12 340 34.1 5.439E-001 1.926E-003 5.000E-001 0.000E+000 1.622E-001 
0006 10:15:00 340 34.1 1.622E-004 7.883E-004 5.000E-001 0.000E+000 1.516E-001 
0007 10:18:54 340 34.1 7.694E-003 8.219E-001 5.000E-001 0.000E+000 1.622E-001 
0008 10:24:18 340 34.1 5.031E-001 1.614E-003 5.000E-001 0.000E+000 1.621E-001 
0009 10:29:40 340 34.1 4.751E-006 5.412E-004 5.000E-001 0.000E+000 1.553E-001 
0010 10:35:30 340 34.1 2.584E-002 1.098E-003 5.000E-001 0.000E+000 1.474E-001 
0011 10:40:02 340 34.1 5.325E-003 9.811E-004 5.000E-001 0.000E+000 1.475E-001 
0012 10:44:50 340 34.1 8.427E-006 8.304E-001 5.000E-001 0.000E+000 1.622E-001 
0013 10:49:14 340 34.1 8.869E-001 1.293E-003 5.000E-001 0.000E+000 1.337E-001 
0014 11:10:38 340 34.1 3.522E-004 1.791E-001 5.000E-001 0.000E+000 1.601E-001 
0015 11:15:38 340 34.1 3.881E-006 4.757E-001 5.000E-001 0.000E+000 1.601E-001 
0016 11:20:42 340 34.1 2.390E-001 1.277E-003 5.000E-001 0.000E+000 1.490E-001 
0017 11:24:38 340 34.1 2.913E-004 7.979E-004 5.000E-001 0.000E+000 1.457E-001 
0018 11:30:18 340.1 34.09 7.463E-001 1.915E-003 5.000E-001 0.000E+000 1.601E-001 
0019 11:34:42 340 34.1 9.795E-001 1.574E-003 5.000E-001 0.000E+000 1.598E-001 
0020 11:40:36 340 34.1 1.506E-002 1.675E-003 5.000E-001 0.000E+000 1.601E-001 
0021 11:44:44 340 34.1 2.264E-002 1.417E-003 5.000E-001 0.000E+000 1.600E-001 
0022 11:49:08 340 34.1 9.924E-001 1.253E-003 5.000E-001 0.000E+000 1.332E-001 
0023 11:54:12 340 34.1 1.533E-004 5.409E-001 5.000E-001 0.000E+000 1.601E-001 
0024 11:58:46 340 34.1 6.180E-004 9.998E-004 5.000E-001 0.000E+000 1.574E-001 
