fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0001 15:29:20 297 39.04 1.000E+000 7.200E-001 2.280E-006 4.250E+003 3.063E+000 6.968E-009 2.036E-003 
0002 15:31:22 297 39.04 1.000E+000 7.200E-001 2.239E-006 4.250E+003 3.072E+000 6.931E-009 2.118E-003 
0003 15:33:36 297 39.04 1.000E+000 7.200E-001 2.251E-006 4.250E+003 3.065E+000 6.958E-009 2.043E-003 
0004 15:36:48 297 39.04 1.000E+000 7.200E-001 2.304E-006 4.250E+003 3.054E+000 7.029E-009 2.139E-003 
0005 15:39:32 297 39.04 1.000E+000 7.200E-001 2.252E-006 4.250E+003 3.060E+000 7.003E-009 2.128E-003 
0006 15:43:16 296.9 39.05 1.000E+000 7.200E-001 2.252E-006 4.250E+003 3.064E+000 6.927E-009 2.146E-003 
0007 15:45:56 296.9 39.05 1.000E+000 7.200E-001 2.251E-006 4.250E+003 3.063E+000 6.946E-009 2.102E-003 
0008 15:48:50 297 39.04 1.000E+000 7.200E-001 2.349E-006 4.250E+003 3.063E+000 6.979E-009 2.070E-003 
0009 15:51:50 297 39.04 1.000E+000 7.200E-001 2.264E-006 4.250E+003 3.069E+000 6.919E-009 2.019E-003 
0010 15:54:08 297 39.04 1.000E+000 7.200E-001 2.341E-006 4.250E+003 3.057E+000 6.996E-009 2.117E-003 
0011 15:56:58 297 39.04 1.000E+000 7.200E-001 2.326E-006 4.250E+003 3.060E+000 6.979E-009 2.050E-003 
0012 15:59:10 297 39.04 1.000E+000 7.200E-001 2.311E-006 4.250E+003 3.064E+000 6.946E-009 2.056E-003 
0013 16:02:08 297 39.04 1.000E+000 7.200E-001 2.276E-006 4.250E+003 3.068E+000 6.930E-009 2.023E-003 
