N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 3.468000000E-06 3.616000000E-06 3.764000000E-06 3.910000000E-06
1.600000000E+01 6.601200000E-05 6.473800000E-05 6.396900000E-05 6.371300000E-05
1.700000000E+01 9.975160000E-04 9.903940000E-04 9.994340000E-04 9.981400000E-04
1.549996187E+01 1.646000000E-05 1.610400000E-05 1.591500000E-05 1.584500000E-05
1.649996187E+01 2.625330000E-04 2.599070000E-04 2.581560000E-04 2.571530000E-04
1.674996808E+01 5.171740000E-04 5.133400000E-04 5.117250000E-04 5.101900000E-04
1.624993176E+01 1.317900000E-04 1.299370000E-04 1.288330000E-04 1.281330000E-04
1.574996808E+01 3.296400000E-05 3.225100000E-05 3.186900000E-05 3.169800000E-05
1.524993176E+01 8.039000000E-06 7.955000000E-06 7.920000000E-06 7.953000000E-06
