T d154 d184 d214 d244
d 150 180 210 240
290 1.250516736E+00 1.247067847E+00 1.244031095E+00 1.240316060E+00
295 1.251555613E+00 1.248321329E+00 1.245698268E+00 1.242223233E+00
300 1.253167210E+00 1.250191931E+00 1.247671479E+00 1.244322046E+00
305 1.255098691E+00 1.251953919E+00 1.249054357E+00 1.246284689E+00
310 1.257019886E+00 1.253502259E+00 1.250288835E+00 1.247325616E+00
315 1.257801468E+00 1.253800822E+00 1.250107390E+00 1.246612434E+00
320 1.256566365E+00 1.251736781E+00 1.247039118E+00 1.242788056E+00
325 1.251686256E+00 1.245290657E+00 1.239088703E+00 1.233318003E+00
330 1.240125481E+00 1.231232540E+00 1.221223790E+00 1.214599080E+00
335 1.217275732E+00 1.204366262E+00 1.190727815E+00 1.180777705E+00
340 1.176419688E+00 1.157744223E+00 1.139078952E+00 1.124701602E+00
