fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B106FE100_T 1317817142 0 555 5.903686854E-04 1.273023320E+00 5.834605606E-01 3.352867441E-02 1.000000000E+16 6.474729139E-04 
B106FE101_T 1317817142 0 555 5.911959685E-04 1.355417550E+00 2.252884044E-01 1.090357922E-02 1.000000000E+16 5.459016483E-04 
B106FE102_T 1317817142 0 555 6.033061579E-04 2.172985346E+00 8.913578444E-01 5.017857678E-02 1.000000000E+16 5.799254160E-04 
B106FE103_T 1317817142 0 555 6.538613781E-04 8.000000000E+00 7.254523451E-01 2.275186544E-02 1.000000000E+16 5.591921047E-04 
B106FE140_T 1317817142 0 555 5.904095374E-04 1.277232729E+00 6.458424329E-01 3.741533170E-02 1.000000000E+16 6.410060801E-04 
B106FE141_T 1317817142 0 555 5.920003145E-04 1.348254938E+00 9.955471644E-01 5.906831899E-02 1.000000000E+16 5.575440770E-04 
B106FE142_T 1317817142 0 555 6.070483427E-04 2.190786727E+00 4.999085863E-01 2.567983885E-02 1.000000000E+16 6.315815776E-04 
B106FE210_T 1317817142 0 555 5.904696858E-04 1.283435465E+00 2.840226902E-01 1.478360243E-02 1.000000000E+16 6.317163637E-04 
B106FE211_T 1317817142 0 555 5.936449397E-04 1.312416031E+00 7.584199596E-01 4.435785926E-02 1.000000000E+16 5.687479796E-04 
B106FE212_T 1317817142 0 555 6.181551860E-04 2.774105924E+00 5.754912216E-01 2.868609676E-02 1.000000000E+16 4.312064848E-04 
B106FE310_T 1317817142 0 555 5.905589597E-04 1.292602899E+00 4.461638376E-01 2.489081716E-02 1.000000000E+16 6.186582157E-04 
B106FE311_T 1317817142 0 555 5.958295180E-04 1.406642799E+00 9.812294191E-01 5.801458985E-02 1.000000000E+16 6.975008042E-04 
B106FE312_T 1317817142 0 555 6.225670625E-04 6.476021775E+00 4.784025939E-01 1.177028438E-02 1.000000000E+16 5.221113236E-04 
B106FE460_T 1317817142 0 555 5.906923656E-04 1.306058053E+00 7.258970828E-01 4.233508081E-02 1.000000000E+16 6.005575647E-04 
B106FE461_T 1317817142 0 555 5.982543097E-04 1.563960146E+00 8.790568826E-01 5.117402976E-02 1.000000000E+16 5.058411041E-04 
B106FE462_T 1317817142 0 555 6.336069271E-04 4.030750362E+00 6.783906706E-01 3.147786224E-02 1.000000000E+16 4.717313124E-04 
B106FE680_T 1317817142 0 555 5.908924827E-04 1.325993552E+00 5.836720598E-01 3.338810267E-02 1.000000000E+16 5.763253733E-04 
B106FE681_T 1317817142 0 555 6.013028966E-04 1.955428356E+00 5.091567616E-01 2.690790051E-02 1.000000000E+16 5.830697780E-04 
B106FE682_T 1317817142 0 555 6.394327458E-04 5.390949031E+00 9.715091455E-01 4.581720351E-02 1.000000000E+16 5.937291079E-04 
