N_Fe N_B d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 1.800E-4 6.0888694E-04 -5.7290789E-03 -4.8388953E-03 -1.6370114E-03 6.0664151E-04 -5.6945904E-03 -4.8325029E-03 -1.6033484E-03 -1.5948365E-03 9.3421780E-03 -3.8858849E-03 7.1810507E-03
1.000000E+10 1.000E+15 3.800E-4 8.6782687E-05 -6.2773138E-03 -4.8904260E-03 -1.7162265E-03 7.3508902E-05 -6.2150193E-03 -4.8757491E-03 -1.6493477E-03 -3.7861635E-03 8.2274387E-03 -4.6261280E-03 7.5902073E-03
1.000000E+10 1.778E+15 1.800E-4 6.1893418E-04 -5.6896429E-03 -4.8418782E-03 -1.5977974E-03 6.2487697E-04 -5.6506515E-03 -4.8274343E-03 -1.5749720E-03 5.1732872E-03 1.5724295E-02 -2.7365125E-02 9.7583772E-03
1.000000E+10 1.778E+15 3.800E-4 1.0309481E-04 -6.2001685E-03 -4.8947427E-03 -1.6367796E-03 1.0669002E-04 -6.1314556E-03 -4.8639840E-03 -1.5952895E-03 1.2232662E-03 1.2979871E-02 -3.2506534E-02 9.5064024E-03
1.000000E+10 3.162E+15 1.800E-4 6.3708005E-04 -5.6473123E-03 -4.8351303E-03 -1.5736552E-03 6.5438712E-04 -5.6081386E-03 -4.8190279E-03 -1.5630889E-03 2.4445798E-02 3.3380320E-02 -1.5672630E-01 1.3321647E-02
1.000000E+10 3.162E+15 3.800E-4 1.2961715E-04 -6.1237868E-03 -4.8781393E-03 -1.5914680E-03 1.5602059E-04 -6.0545384E-03 -4.8460622E-03 -1.5722713E-03 1.4164023E-02 2.5779822E-02 -2.5740277E-01 1.2974260E-02
1.000000E+10 5.623E+15 1.800E-4 6.7003530E-04 -5.6007751E-03 -4.8243537E-03 -1.5632583E-03 7.0547273E-04 -5.5551285E-03 -4.8115987E-03 -1.5588243E-03 -3.2929771E-01 -2.8799180E-01 -5.8871631E-02 2.7818322E-02
1.000000E+10 5.623E+15 3.800E-4 1.7367559E-04 -6.0480567E-03 -4.8547497E-03 -1.5715004E-03 2.3524562E-04 -5.9664664E-03 -4.8304807E-03 -1.5633957E-03 -8.7179255E-01 -5.5679106E-01 -6.7358352E-02 2.7028667E-02
1.000000E+10 1.000E+16 1.800E-4 7.2940526E-04 -5.5387400E-03 -4.8147398E-03 -1.5587952E-03 7.9557766E-04 -5.4727318E-03 -4.8054443E-03 -1.5569186E-03 -4.2185035E-02 -3.5972825E-02 -1.9093446E-02 -3.2604090E-02
1.000000E+10 1.000E+16 3.800E-4 2.4543371E-04 -5.9610655E-03 -4.8340535E-03 -1.5621530E-03 3.6342560E-04 -5.8430336E-03 -4.8173849E-03 -1.5588976E-03 -3.5340098E-02 -3.1564240E-02 -1.8975289E-02 -3.2602471E-02
1.000000E+10 1.778E+16 1.800E-4 8.3253320E-04 -5.4443207E-03 -4.8068414E-03 -1.5566135E-03 9.5062773E-04 -5.3379359E-03 -4.7995890E-03 -1.5558315E-03 -2.7481492E-02 -2.3724015E-02 -9.2791696E-03 -5.1654310E-03
1.000000E+10 1.778E+16 3.800E-4 3.5492342E-04 -5.8496766E-03 -4.8169669E-03 -1.5567523E-03 5.6092268E-04 -5.6645745E-03 -4.8051304E-03 -1.5557265E-03 -2.3027215E-02 -2.0341035E-02 -8.3541825E-03 -3.9180755E-03
1.000000E+10 3.162E+16 1.800E-4 9.9825217E-04 -5.3002152E-03 -4.7996902E-03 -1.5554967E-03 1.1970790E-03 -5.1295008E-03 -4.7930674E-03 -1.5551500E-03 -2.1526719E-02 -1.9255884E-02 -6.1773287E-03 -1.6532067E-03
1.000000E+10 3.162E+16 3.800E-4 5.0507909E-04 -5.7084407E-03 -4.8021657E-03 -1.5529167E-03 8.3540852E-04 -5.4262257E-03 -4.7923367E-03 -1.5530023E-03 -1.8218488E-02 -1.6475404E-02 -5.1801100E-03 5.9337731E-05
1.000000E+10 5.623E+16 1.800E-4 1.2331940E-03 -5.1004646E-03 -4.7927836E-03 -1.5551407E-03 1.5469616E-03 -4.8345301E-03 -4.7853626E-03 -1.5548653E-03 -1.8555957E-02 -1.7087011E-02 -5.3043492E-03 -1.0263220E-03
1.000000E+10 5.623E+16 3.800E-4 6.9065457E-04 -5.5405885E-03 -4.7889665E-03 -1.5501683E-03 1.1913881E-03 -5.1175872E-03 -4.7782083E-03 -1.5507092E-03 -1.6030765E-02 -1.4839120E-02 -4.4293045E-03 9.2443727E-04
1.000000E+10 1.000E+17 1.800E-4 1.5216643E-03 -4.8588802E-03 -4.7868698E-03 -1.5555811E-03 1.9764545E-03 -4.4712848E-03 -4.7777986E-03 -1.5551877E-03 -1.6600221E-02 -1.5569393E-02 -4.9471847E-03 -1.0845251E-03
1.000000E+10 1.000E+17 3.800E-4 9.2754268E-04 -5.3337403E-03 -4.7778249E-03 -1.5488916E-03 1.6429645E-03 -4.7245334E-03 -4.7644514E-03 -1.5493867E-03 -1.4793353E-02 -1.3912852E-02 -4.2620235E-03 6.6654395E-04
1.468000E+10 1.000E+15 1.800E-4 6.1254547E-04 -5.7695873E-03 -4.8542118E-03 -1.6701044E-03 6.0804503E-04 -5.7216156E-03 -4.8449799E-03 -1.6222900E-03 -2.1915034E-03 8.9968231E-03 -3.9815323E-03 7.1454522E-03
