r0 AplusA epsL
5.000E-9 3.000E-10 -2.885E-4
5.000E-9 3.500E-10 -3.928E-4
5.000E-9 4.000E-10 -5.130E-4
5.000E-9 4.500E-10 -6.493E-4
5.000E-9 5.000E-10 -8.016E-4
5.000E-9 5.500E-10 -9.700E-4
5.000E-9 6.000E-10 -1.154E-3
5.000E-9 6.500E-10 -1.355E-3
5.000E-9 7.000E-10 -1.571E-3
5.000E-9 7.500E-10 -1.804E-3
5.000E-9 8.000E-10 -2.053E-3
5.000E-9 8.500E-10 -2.318E-3
5.000E-9 9.000E-10 -2.598E-3
5.000E-9 9.500E-10 -2.895E-3
5.000E-9 1.000E-9 -3.208E-3
5.000E-9 1.050E-9 -3.537E-3
5.000E-9 1.100E-9 -3.883E-3
5.000E-9 1.150E-9 -4.244E-3
5.000E-9 1.200E-9 -4.621E-3
5.000E-9 1.250E-9 -5.015E-3
5.000E-9 1.300E-9 -5.425E-3
5.000E-9 1.350E-9 -5.851E-3
5.000E-9 1.400E-9 -6.293E-3
5.000E-9 1.450E-9 -6.751E-3
5.000E-9 1.500E-9 -7.225E-3
5.000E-9 1.550E-9 -7.715E-3
5.000E-9 1.600E-9 -8.222E-3
5.000E-9 1.650E-9 -8.745E-3
5.000E-9 1.700E-9 -9.284E-3
5.000E-9 1.750E-9 -9.839E-3
5.000E-9 1.800E-9 -1.041E-2
5.000E-9 1.850E-9 -1.100E-2
5.000E-9 1.900E-9 -1.160E-2
5.000E-9 1.950E-9 -1.222E-2
5.000E-9 2.000E-9 -1.286E-2
5.000E-9 2.050E-9 -1.351E-2
5.000E-9 2.100E-9 -1.418E-2
5.000E-9 2.150E-9 -1.486E-2
5.000E-9 2.200E-9 -1.557E-2
5.000E-9 2.250E-9 -1.628E-2
5.000E-9 2.300E-9 -1.702E-2
5.000E-9 2.350E-9 -1.777E-2
5.000E-9 2.400E-9 -1.853E-2
5.000E-9 2.450E-9 -1.932E-2
5.000E-9 2.500E-9 -2.011E-2
5.000E-9 2.550E-9 -2.093E-2
5.000E-9 2.600E-9 -2.176E-2
5.000E-9 2.650E-9 -2.261E-2
5.000E-9 2.700E-9 -2.347E-2
5.000E-9 2.750E-9 -2.435E-2
5.000E-9 2.800E-9 -2.525E-2
5.000E-9 2.850E-9 -2.616E-2
5.000E-9 2.900E-9 -2.709E-2
5.000E-9 2.950E-9 -2.803E-2
5.000E-9 3.000E-9 -2.900E-2
5.000E-9 3.050E-9 -2.997E-2
5.000E-9 3.100E-9 -3.097E-2
5.000E-9 3.150E-9 -3.198E-2
5.000E-9 3.200E-9 -3.300E-2
5.000E-9 3.250E-9 -3.404E-2
5.000E-9 3.300E-9 -3.510E-2
5.000E-9 3.350E-9 -3.618E-2
5.000E-9 3.400E-9 -3.727E-2
5.000E-9 3.450E-9 -3.837E-2
5.000E-9 3.500E-9 -3.950E-2
5.000E-9 3.550E-9 -4.063E-2
5.000E-9 3.600E-9 -4.179E-2
5.000E-9 3.650E-9 -4.296E-2
5.000E-9 3.700E-9 -4.414E-2
5.000E-9 3.750E-9 -4.535E-2
5.000E-9 3.800E-9 -4.656E-2
5.000E-9 3.850E-9 -4.780E-2
