N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.191760365E+00 1.197072844E+00 1.200088079E+00 1.205618121E+00 1.210054477E+00 1.209522022E+00 1.206837337E+00 1.208239231E+00 1.215031122E+00
1.016672606E+01 1.192574224E+00 1.198190160E+00 1.201553172E+00 1.207471037E+00 1.212355998E+00 1.212372655E+00 1.210462059E+00 1.213093914E+00 1.221807403E+00
1.033324570E+01 1.193168405E+00 1.199014391E+00 1.202650736E+00 1.208876651E+00 1.214113818E+00 1.214557238E+00 1.213261631E+00 1.216899706E+00 1.227196584E+00
1.049996187E+01 1.193606190E+00 1.199623063E+00 1.203471969E+00 1.209943614E+00 1.215465871E+00 1.216262118E+00 1.215494003E+00 1.220009950E+00 1.231661409E+00
1.066670514E+01 1.193939520E+00 1.200082238E+00 1.204097973E+00 1.210770434E+00 1.216535324E+00 1.217649115E+00 1.217378761E+00 1.222718699E+00 1.235574871E+00
1.083333839E+01 1.194211129E+00 1.200447332E+00 1.204614229E+00 1.211450774E+00 1.217433893E+00 1.218863134E+00 1.219106545E+00 1.225265509E+00 1.239215097E+00
1.100000000E+01 1.194457513E+00 1.200765736E+00 1.205058461E+00 1.212066767E+00 1.218264536E+00 1.220036545E+00 1.220842434E+00 1.227834461E+00 1.242767901E+00
1.116672606E+01 1.194712264E+00 1.201080405E+00 1.205494348E+00 1.212686384E+00 1.219124893E+00 1.221291566E+00 1.222724188E+00 1.230551596E+00 1.246339763E+00
1.133324570E+01 1.195021903E+00 1.201433851E+00 1.205978746E+00 1.213377720E+00 1.220110441E+00 1.222739993E+00 1.224857317E+00 1.233486876E+00 1.249982219E+00
1.149996187E+01 1.195414930E+00 1.201872134E+00 1.206572404E+00 1.214219276E+00 1.221315790E+00 1.224479225E+00 1.227310115E+00 1.236665397E+00 1.253720473E+00
1.166670514E+01 1.195906280E+00 1.202448397E+00 1.207343492E+00 1.215292415E+00 1.222842791E+00 1.226585304E+00 1.230113410E+00 1.240085992E+00 1.257576364E+00
1.183333839E+01 1.196580976E+00 1.203225227E+00 1.208368833E+00 1.216697173E+00 1.224745828E+00 1.229105897E+00 1.233267620E+00 1.243740672E+00 1.261579819E+00
1.200000000E+01 1.197471574E+00 1.204274819E+00 1.209744847E+00 1.218494932E+00 1.227099839E+00 1.232057189E+00 1.236755358E+00 1.247628524E+00 1.265771958E+00
1.216672606E+01 1.198655983E+00 1.205675331E+00 1.211541004E+00 1.220793478E+00 1.229927793E+00 1.235427351E+00 1.240555530E+00 1.251761053E+00 1.270167019E+00
1.233324570E+01 1.200202935E+00 1.207502336E+00 1.213823743E+00 1.223588730E+00 1.233240542E+00 1.239189409E+00 1.244654526E+00 1.256159052E+00 1.274846526E+00
1.249996187E+01 1.202161615E+00 1.209815693E+00 1.216631116E+00 1.226917177E+00 1.237006969E+00 1.243302616E+00 1.249050276E+00 1.260844711E+00 1.279808451E+00
1.266670514E+01 1.204588352E+00 1.212645082E+00 1.219962869E+00 1.230728345E+00 1.241177344E+00 1.247743999E+00 1.253748204E+00 1.265833965E+00 1.285097824E+00
1.283333839E+01 1.207484614E+00 1.215978247E+00 1.223781170E+00 1.234966934E+00 1.245695067E+00 1.252497906E+00 1.258752971E+00 1.271133628E+00 1.290644658E+00
1.300000000E+01 1.210827941E+00 1.219766756E+00 1.228024074E+00 1.239574079E+00 1.250546910E+00 1.257557130E+00 1.264058815E+00 1.276746692E+00 1.296573890E+00
