fname time Tem kT_1 An Adisl Ai Aph dev 
M13Y84 1265020687 0 555 5.612E+029 3.527E+001 1.000E+030 5.820E+006 6.466E-002 
M13Y84US 1265020697 0 555 6.161E+029 1.456E+001 1.000E+030 5.820E+006 5.854E-002 
M23Y93 1265020663 0 555 3.551E+003 8.755E+000 1.000E+030 5.820E+006 1.442E-003 
M23Y93US 1265020675 0 555 1.578E+003 1.960E+001 1.000E+030 5.820E+006 6.477E-003 
M2Y94 1265020621 0 555 4.947E+029 2.047E+001 1.000E+030 5.820E+006 3.298E-002 
M2Y94US 1265020634 0 555 3.128E+029 1.204E+001 1.000E+030 5.820E+006 2.011E-002 
M3Y14 1265020593 0 555 8.266E+029 1.026E+001 1.000E+030 5.820E+006 1.405E-002 
M3Y14US 1265020604 0 555 2.236E+029 1.054E+001 1.000E+030 5.820E+006 1.564E-002 
M6Y2000 1265020646 0 555 1.563E+004 9.237E+000 1.000E+030 5.820E+006 4.763E-003 
M6Y2000US 1265020654 0 555 6.497E+003 1.092E+001 1.000E+030 5.820E+006 6.139E-003 
