Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 1.095764298E-06 3.161434541E-07 6.838526864E+02 2.681787468E+00 1.468616159E-01 3.967643064E-01 2.366922641E+02 1.613218590E+01 2.457487582E-01 9.232815236E-04 2.716651350E-04 4.770509523E+00 1.506350687E+01 2.331086844E+00 6.845576495E+00 4.603638541E+02 2.495237151E+02 1.422967653E+00 2.227619863E+01 3.869332002E+00 5.049733637E-01 7.966883671E-03 1.907333380E-04 4.139541170E-03 2.031266878E-01 2.124816925E-02
EBLSHADE 300 3.691360515E-09 2.143731509E-09 1.307100322E+00 3.036831586E+00 1.099609367E+00 5.816831175E-01 1.878155466E+02 3.022115389E+00 1.149712291E-02 1.749255688E-04 1.945795248E-05 9.328480528E-02 3.188524029E+00 1.181860954E+00 6.606895982E-01 2.249215947E+02 3.899281062E+01 1.837978670E-01 4.319575658E+01 1.304742510E+00 4.009429824E-02 8.034215399E-03 4.975804547E-05 4.276924864E-03 1.346492245E-01 2.283963374E-02
ADELI 300 1.606388344E-09 1.345016438E-11 3.992715285E-03 1.920383365E+00 9.817630473E-04 1.996692038E-04 1.900265113E+02 4.008652598E-02 1.395329594E-04 1.603623164E-04 2.976008097E-07 2.264477193E-03 1.922210504E+00 1.967708501E-03 1.151304339E-03 1.901818296E+02 1.557232291E-01 9.569980668E-04 4.497695765E+01 2.827207539E-02 5.120522002E-04 7.999443403E-03 8.499635045E-07 6.957460074E-05 1.118034416E-01 6.740931118E-09
NDE 300 2.585437435E-07 1.761208679E-07 1.605898397E+02 2.811792322E+00 8.153512381E-01 4.644751678E-01 1.770086595E+02 7.146977761E+00 6.837547649E-02 3.809821084E-04 7.935719628E-05 1.381138177E+00 2.768582730E+00 3.391885184E-01 4.419701719E-01 1.153436722E+03 4.362079856E+02 5.070719591E+00 4.235882372E+01 3.266552895E+00 5.869280621E-02 8.721410620E-03 4.000966560E-04 9.017632754E-02 2.328636661E-01 5.997583706E-02
MABC 300 2.164212532E-06 6.117790771E-07 1.351632832E+03 9.257841858E+00 2.038384047E+00 3.821792634E+00 1.256639807E+02 1.202241352E+01 3.386106281E-01 9.256321232E-04 3.787930187E-04 4.785200770E+00 1.744607660E+01 3.048328672E+00 8.086498228E+00 2.298669782E+02 9.619055176E+01 2.098262009E-01 2.472814585E+01 3.457937995E+00 4.504856478E-01 1.179544274E-02 1.009325587E-03 4.744303419E-01 5.647755038E-01 6.482251633E-02
TLBO 300 3.982944599E-07 2.497371341E-07 2.479340375E+02 5.881097755E+00 1.635513200E+00 2.063071747E+00 1.738127656E+02 1.120164367E+01 8.519597050E-02 3.798206385E-04 6.636340613E-05 1.373878990E+00 9.747668205E+00 2.436595908E+00 4.076910523E+00 1.526786346E+03 4.830453419E+02 7.035717608E+00 3.460675850E+01 3.295155908E+00 2.309609221E-01 1.201617085E-02 1.881294048E-03 5.020213567E-01 2.719524219E-01 5.554260258E-02
GOTLBO 300 1.358532593E-06 4.340057560E-07 8.480828704E+02 1.103282795E+01 1.973439378E+00 4.746264555E+00 3.423563453E+03 2.434397031E+03 1.701875502E+01 1.130740650E-03 4.190830455E-04 6.067129066E+00 2.128377324E+01 2.328824073E+00 1.008529856E+01 1.177910116E+02 3.502778587E+01 3.800473073E-01 2.821732200E+01 4.606152562E+00 3.729483999E-01 1.869038299E-02 2.654263093E-03 1.336297874E+00 7.193325115E-01 5.781321609E-02
STLBO 300 1.588733557E-09 6.409131151E-17 7.041526722E-03 1.919080740E+00 5.235426242E-09 4.787813164E-04 1.899727750E+02 2.150302346E-07 1.432892716E-04 1.599850198E-04 5.463119357E-13 9.362619284E-05 1.919689814E+00 4.670603523E-09 1.615551887E-04 1.899847371E+02 2.804841363E-07 8.033095159E-05 4.501380391E+01 1.009391583E-07 3.067536628E-04 8.000574953E-03 4.186203202E-12 7.186910928E-05 1.118034326E-01 3.277083684E-15
PSO 300 3.334390946E-06 7.064357662E-07 2.082994341E+03 1.798953809E+01 3.564478609E+00 8.369551087E+00 1.251091347E+05 5.295080936E+04 6.574691302E+02 2.574249549E-03 6.873893942E-04 1.508905968E+01 3.449034717E+01 3.484397457E+00 1.696372248E+01 1.573485710E+03 5.674240062E+02 7.281503738E+00 3.131531216E+01 6.404797922E+00 3.041041741E-01 2.886038554E-02 4.878697188E-03 2.607548192E+00 6.337044363E-01 7.147269448E-02
IJAYA 300 1.311670577E-07 5.154633894E-08 8.097941104E+01 2.047534191E+00 1.022243634E-01 6.642405775E-02 6.005796842E+02 3.918546055E+02 2.160945706E+00 6.592238855E-04 1.750782322E-04 3.120149285E+00 8.904981529E+00 1.049655960E+00 3.638011213E+00 1.807476221E+02 2.720782902E+01 4.869672553E-02 1.270495240E+01 3.049469927E+00 7.176677245E-01 7.759272596E-03 9.223661240E-05 3.009092552E-02 1.373687701E-01 5.995256679E-03
ISCA 300 1.545633443E-06 4.643589756E-07 9.650209022E+02 1.101696855E+01 2.097634853E+00 4.738004456E+00 8.492936630E+03 3.462878853E+03 4.369966647E+01 6.175019596E-04 2.659706684E-04 2.859387247E+00 2.018462696E+01 2.071451502E+00 9.512826543E+00 1.782163607E+02 6.944489018E+01 6.201915411E-02 1.116247020E+01 3.296066841E+00 7.519451066E-01 1.527463990E-02 2.060657976E-03 9.093299870E-01 8.079477250E-01 5.535479999E-02
NNA 300 7.061497690E-07 2.639170197E-07 4.403436056E+02 2.045198144E+01 2.510641228E+00 9.652073667E+00 4.452505738E+03 3.403102788E+03 2.243424073E+01 7.925512233E-04 3.342912646E-04 3.953445146E+00 2.783465935E+01 2.460531925E+00 1.349721841E+01 2.974454288E+02 1.565942581E+02 5.655022570E-01 6.151590861E+00 1.813155081E+00 8.632979809E-01 2.114632941E-02 2.664230118E-03 1.643291177E+00 1.015951711E+00 3.659158589E-02
CWOA 300 1.202352181E-06 4.727338963E-07 7.504701129E+02 2.003581888E+01 2.681451292E+00 9.435322334E+00 1.003540207E+05 4.802006415E+04 5.271790561E+02 2.275708957E-03 5.987160523E-04 1.322318098E+01 2.245128950E+01 2.179107819E+00 1.069337995E+01 6.340741203E+02 3.453817091E+02 2.337232212E+00 2.042414121E+01 4.287188724E+00 5.461301954E-01 2.887279375E-02 4.179298677E-03 2.609099218E+00 1.022025170E+00 5.548531938E-02
