Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 4.037215800E-07 1.441244979E-07 2.513259875E+02 2.412300832E+00 1.134926996E-01 2.564066831E-01 2.310897499E+03 1.970032139E+03 1.116261841E+01 1.154915080E-03 3.952670460E-04 6.218219249E+00 7.596255526E+00 1.531493436E+00 2.956383087E+00 1.984719587E+02 8.313915437E+01 4.458925614E-02 2.854092109E+01 3.288380444E+00 3.657573092E-01 7.807569015E-03 1.648112430E-04 2.405387309E-02 1.980958179E-01 1.374719134E-02
EBLSHADE 300 1.518649608E-09 5.451002877E-11 5.084399513E-02 1.897956211E+00 1.553237985E-02 1.148114027E-02 1.899635030E+02 5.084469890E-01 1.920895407E-04 1.784814303E-04 2.067306294E-05 1.155089396E-01 2.135494694E+00 2.318398080E-01 1.122368199E-01 1.880976237E+02 1.296813002E+00 1.001250674E-02 4.440891916E+01 8.963532330E-01 1.313512985E-02 8.009807883E-03 8.724432998E-06 1.225985353E-03 1.120464197E-01 2.389758320E-04
ADELI 300 1.596734073E-09 3.125094880E-18 2.041204481E-03 1.919732278E+00 2.541898151E-10 1.394383399E-04 1.899984965E+02 1.050512785E-08 7.913345279E-06 1.599035243E-04 1.225998389E-13 6.029728765E-04 1.919363420E+00 7.568559653E-10 3.315521996E-04 1.899513534E+02 6.201595798E-08 2.560348773E-04 4.500918837E+01 9.086076615E-09 2.041859163E-04 8.000114642E-03 2.297696309E-13 1.433026960E-05 1.118034352E-01 3.382235186E-15
NDE 300 2.165213948E-07 7.351073848E-08 1.343258717E+02 2.975857049E+00 6.007757217E-01 5.499255463E-01 3.202224818E+02 1.240928876E+02 6.853814832E-01 4.132913821E-04 5.735719075E-05 1.583071138E+00 4.966942180E+00 1.157410160E+00 1.586949052E+00 7.371921285E+02 2.204398830E+02 2.879958571E+00 2.853596026E+01 2.844992346E+00 3.658675498E-01 7.907230119E-03 1.882475646E-04 1.159623515E-02 1.667770395E-01 3.287368252E-02
MABC 300 1.934840787E-06 5.223451492E-07 1.208275492E+03 3.491523280E+00 7.406184125E-01 8.185017084E-01 2.445486371E+03 2.057837380E+03 1.187098090E+01 1.326247685E-03 4.015396218E-04 7.289048029E+00 1.550811204E+01 2.911090490E+00 7.077141685E+00 4.974681772E+02 2.192617496E+02 1.618253564E+00 3.078728410E+01 4.340445749E+00 3.158381311E-01 1.067985567E-02 8.210031533E-04 3.349819586E-01 4.192964304E-01 4.723315250E-02
TLBO 300 2.261639195E-09 4.182042072E-10 4.135244970E-01 2.442888258E+00 5.039210431E-01 2.723376343E-01 1.866425143E+02 4.180909567E+00 1.767097736E-02 1.705584709E-04 9.081757951E-06 6.599044317E-02 3.203028631E+00 1.200758955E+00 6.682440788E-01 1.941265309E+02 6.298522579E+00 2.171858388E-02 4.470832041E+01 7.216813044E-01 6.481768773E-03 8.522622422E-03 5.393770127E-04 6.532780271E-02 1.303694252E-01 1.856433009E-02
GOTLBO 300 2.973331693E-06 6.647458767E-07 1.857332308E+03 1.161010681E+01 1.945280978E+00 5.046930628E+00 2.160019651E+03 1.651989161E+03 1.036852448E+01 9.391899709E-04 3.798769024E-04 4.869937318E+00 2.116836277E+01 2.036588309E+00 1.002518894E+01 5.761258077E+01 6.859745251E+00 6.967758907E-01 1.268720876E+01 3.190350690E+00 7.180620275E-01 1.646290098E-02 2.749588276E-03 1.057862622E+00 6.505540625E-01 4.410554760E-02
STLBO 300 1.596734068E-09 3.871858443E-18 2.041207424E-03 1.919732278E+00 3.155130849E-10 1.394385396E-04 1.899984964E+02 1.299381174E-08 7.913429151E-06 1.599035243E-04 9.337274510E-14 6.029731578E-04 1.919363419E+00 5.876233229E-10 3.315523997E-04 1.899513534E+02 4.892055698E-08 2.560349647E-04 4.500918837E+01 8.394897415E-09 2.041860846E-04 8.000114642E-03 2.669126445E-13 1.433030743E-05 1.118034352E-01 5.464780713E-15
PSO 300 3.765589730E-06 7.436978198E-07 2.352493581E+03 1.951671040E+01 3.584073264E+00 9.164953332E+00 3.006588506E+05 7.331308969E+04 1.581415003E+03 2.532596170E-03 6.907533135E-04 1.482872606E+01 3.541014887E+01 3.455631329E+00 1.744278587E+01 2.305226073E+03 6.641158813E+02 1.113276880E+01 3.808324975E+01 6.966898373E+00 1.537055611E-01 3.853470881E-02 5.801665164E-03 3.816838601E+00 5.429539029E-01 5.611078891E-02
IJAYA 300 1.186684517E-07 4.775363347E-08 7.316778229E+01 1.978899153E+00 1.078769035E-01 3.067664204E-02 2.870379876E+02 8.619557465E+01 5.107262504E-01 5.478139312E-04 1.254255689E-04 2.423837070E+00 6.941502634E+00 1.247387576E+00 2.615365955E+00 3.357890826E+02 9.557535486E+01 7.673109608E-01 1.877231229E+01 3.260221986E+00 5.828375047E-01 7.878039916E-03 1.026458667E-04 1.524501049E-02 1.364992489E-01 5.811081005E-03
ISCA 300 5.817611178E-07 1.927563246E-07 3.626006986E+02 1.237682653E+01 2.178993894E+00 5.446263817E+00 1.005088398E+04 5.549483079E+03 5.189938937E+01 5.643402230E-04 2.382707326E-04 2.527126394E+00 1.776164560E+01 1.926024021E+00 8.250857085E+00 7.381046661E+01 7.746354764E+00 6.115238599E-01 8.969974165E+00 2.762993815E+00 8.006672408E-01 1.467597300E-02 2.308277185E-03 8.344966253E-01 6.565798582E-01 4.006273105E-02
NNA 300 3.221041279E-07 1.356831229E-07 2.003150799E+02 2.132141024E+01 2.919878341E+00 1.010490117E+01 9.138417915E+03 6.116109070E+03 4.709693639E+01 1.300145252E-04 5.501401741E-05 1.874092176E-01 2.586089494E+01 2.337611672E+00 1.246921612E+01 7.408698740E+01 9.359355720E+00 6.100684873E-01 7.836912259E+00 2.399751968E+00 8.258463942E-01 1.798374563E-02 2.366288459E-03 1.247968204E+00 7.854576737E-01 2.958872111E-02
CWOA 300 2.300059645E-06 6.646265218E-07 1.436537278E+03 1.962765308E+01 2.664149158E+00 9.222735977E+00 4.637871481E+04 3.075855591E+04 2.430984990E+02 2.904208154E-03 6.980483632E-04 1.715130096E+01 3.021950926E+01 2.613438057E+00 1.473932774E+01 3.622656429E+02 2.477743766E+02 9.066612782E-01 3.133753345E+01 5.465326708E+00 3.036103679E-01 2.779578520E-02 4.169911533E-03 2.474473150E+00 7.893384620E-01 3.504080204E-02
