Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 4.816168089E-07 2.082449769E-07 3.000105055E+02 2.486775617E+00 1.364302822E-01 2.951956339E-01 2.085058808E+02 9.986628146E+00 9.739937257E-02 4.471549409E-04 1.533205798E-04 1.794718381E+00 9.341830338E+00 1.990652791E+00 3.865536634E+00 1.342158838E+02 1.178528052E+01 2.936006117E-01 1.858435046E+01 3.986646960E+00 5.870144343E-01 8.023459426E-03 1.499039110E-04 2.932428213E-03 2.094984025E-01 1.339322409E-02
EBLSHADE 300 2.468428166E-09 7.515753531E-10 5.427676035E-01 1.935506021E+00 1.298709450E-02 8.076052604E-03 2.266130749E+02 3.380281590E+01 1.927003941E-01 4.830072166E-04 3.280820833E-04 2.018795104E+00 1.996009248E+00 5.458126307E-02 3.958815025E-02 1.811849864E+02 6.401232360E+00 4.639480827E-02 4.488902334E+01 2.069295156E+00 2.466148004E-03 7.914571726E-03 6.346301788E-05 1.067853428E-02 1.134222104E-01 1.124929729E-03
ADELI 300 1.596734068E-09 2.740696665E-18 2.041207313E-03 1.919732278E+00 2.231402229E-10 1.394385309E-04 1.899984964E+02 9.729135031E-09 7.913429536E-06 1.599035243E-04 8.133418174E-14 6.029730541E-04 1.919363420E+00 4.717327711E-10 3.315523008E-04 1.899513534E+02 4.226203459E-08 2.560348908E-04 4.500918837E+01 5.820809597E-09 2.041860171E-04 8.000114642E-03 1.920096095E-13 1.433030441E-05 1.118034352E-01 5.370683932E-15
NDE 300 8.629031922E-08 2.718235491E-08 5.293144951E+01 2.363229007E+00 7.706882956E-02 2.308484412E-01 2.047599787E+02 5.002822274E+00 7.768409838E-02 5.091637942E-04 8.073672699E-05 2.182273714E+00 3.859487331E+00 4.585996042E-01 1.010149652E+00 9.387206891E+02 3.477792566E+02 3.940635206E+00 2.860215255E+01 2.610062472E+00 3.643966099E-01 7.790572105E-03 1.412332416E-04 2.617848683E-02 1.346094580E-01 2.269368158E-02
MABC 300 1.838754344E-06 4.928929579E-07 1.148221465E+03 7.334798615E+00 2.435977197E+00 2.820207612E+00 2.151636501E+02 4.275331211E+01 1.324402634E-01 5.971782294E-04 1.718291121E-04 2.732363934E+00 1.115100380E+01 2.974423805E+00 4.807814478E+00 6.155142019E+02 3.109519233E+02 2.239548431E+00 2.639701740E+01 4.294672210E+00 4.133996133E-01 9.685288888E-03 6.891752964E-04 2.106611110E-01 3.830851135E-01 5.494887683E-02
TLBO 300 2.420764151E-08 2.063927245E-08 1.412977594E+01 1.982428944E+00 5.056658306E-02 3.251507491E-02 1.925094894E+02 2.013274952E+00 1.320783914E-02 2.267113203E-04 3.693992328E-05 4.169457521E-01 2.260585199E+00 1.966493027E-01 1.773881245E-01 2.785894642E+02 6.366719105E+01 4.662603377E-01 4.227191047E+01 1.714805220E+00 6.062421182E-02 7.956138574E-03 3.620231364E-05 5.482678259E-03 1.118297876E-01 1.271378067E-05
GOTLBO 300 2.144854551E-06 6.706412647E-07 1.339534095E+03 8.531162383E+00 2.002682635E+00 3.443313741E+00 9.945924214E+02 8.048180505E+02 4.234696955E+00 1.444582627E-03 4.684338907E-04 8.028641418E+00 2.207361245E+01 3.267963080E+00 1.049667315E+01 7.013261662E+02 4.561221927E+02 2.691190349E+00 2.884221965E+01 5.754178340E+00 3.590617857E-01 2.043095808E-02 3.836516116E-03 1.553869760E+00 6.692244621E-01 4.557385306E-02
STLBO 300 1.596734076E-09 4.671744320E-18 2.041202776E-03 1.919732279E+00 3.794637329E-10 1.394382223E-04 1.899984965E+02 1.671362099E-08 7.913294153E-06 1.599035243E-04 1.399585708E-13 6.029732004E-04 1.919363420E+00 8.692873160E-10 3.315522106E-04 1.899513534E+02 7.020327672E-08 2.560349600E-04 4.500918836E+01 1.141857173E-08 2.041857892E-04 8.000114642E-03 3.460085956E-13 1.433024086E-05 1.118034352E-01 6.405759045E-15
PSO 300 3.930154241E-06 8.799635853E-07 2.455346401E+03 1.522716657E+01 3.864929595E+00 6.930815924E+00 2.663604826E+05 8.197922858E+04 1.400897277E+03 3.019350147E-03 8.026902969E-04 1.787093842E+01 2.678308620E+01 4.381250229E+00 1.294952406E+01 1.714333565E+03 6.881442204E+02 8.022808236E+00 3.901959005E+01 8.604419789E+00 1.328979989E-01 3.371709162E-02 6.283431535E-03 3.214636452E+00 4.904202590E-01 6.467051073E-02
IJAYA 300 2.902940640E-07 1.398207078E-07 1.804337900E+02 2.343880996E+00 1.270605012E-01 2.207713518E-01 5.388484152E+02 3.146358464E+02 1.836044290E+00 6.918317618E-04 1.260102400E-04 3.323948511E+00 8.103389128E+00 1.131853420E+00 3.220515171E+00 5.968413298E+02 2.902034801E+02 2.141270157E+00 8.726001710E+00 2.216503571E+00 8.060888509E-01 7.546186277E-03 9.514909284E-05 5.672671541E-02 1.319256547E-01 5.372636444E-03
ISCA 300 1.415029947E-06 4.391749171E-07 8.833937166E+02 1.333607310E+01 2.296947480E+00 5.945871408E+00 3.478404880E+04 3.156669013E+04 1.820739411E+02 3.449996188E-04 2.510989227E-04 1.156247618E+00 2.190476103E+01 2.204007084E+00 1.040872970E+01 5.435303800E+01 6.501718748E+00 7.139313790E-01 1.262817962E+01 3.968965555E+00 7.193737863E-01 1.316279070E-02 1.750792907E-03 6.453488373E-01 7.810620375E-01 3.289236570E-02
NNA 300 6.290648757E-07 2.957601037E-07 3.921655473E+02 2.115206274E+01 2.664249616E+00 1.001669935E+01 6.278751005E+03 4.083976948E+03 3.204605792E+01 7.986037624E-05 4.048546126E-05 5.008726485E-01 2.411997651E+01 2.400198413E+00 1.156248776E+01 6.102522563E+01 5.603511229E+00 6.788146019E-01 6.854961357E+00 2.338586053E+00 8.476675254E-01 1.957826549E-02 3.038016581E-03 1.447283186E+00 8.284931292E-01 2.344455909E-02
