Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 1.233582953E-06 3.500869176E-07 7.699893454E+02 2.743559193E+00 1.750927159E-01 4.289370798E-01 2.792181531E+02 2.736858974E+01 4.695692266E-01 5.798641635E-04 1.558647399E-04 2.624151022E+00 1.352677804E+01 2.618465692E+00 6.045196895E+00 4.937818069E+02 3.018208093E+02 1.598851615E+00 1.902289423E+01 3.642485355E+00 5.772690170E-01 7.679745558E-03 1.768764491E-04 4.003180530E-02 2.162532132E-01 1.693239365E-02
EBLSHADE 300 1.890879198E-07 1.343603762E-07 1.171799499E+02 2.048058486E+00 1.027642313E-01 6.669712789E-02 2.162129893E+02 1.963783328E+01 1.379631015E-01 2.801431130E-04 6.736079646E-05 7.508944562E-01 2.598881454E+00 3.758251245E-01 3.535840909E-01 2.855808309E+02 1.111759047E+02 5.030570049E-01 4.285924899E+01 2.338639544E+00 4.757224476E-02 7.904220004E-03 8.467572789E-05 1.197249956E-02 1.159025466E-01 2.759820105E-03
ADELI 300 1.693002840E-09 9.598213812E-11 5.812677470E-02 1.924505867E+00 4.787694846E-03 2.346805978E-03 1.902081517E+02 2.101314240E-01 1.095535272E-03 1.662339511E-04 6.130744658E-06 3.896219440E-02 1.950958853E+00 3.034527054E-02 1.612440245E-02 1.937932822E+02 3.747961928E+00 1.996464338E-02 4.473747737E+01 2.599004535E-01 5.833836278E-03 7.995305122E-03 4.731950234E-06 5.868598116E-04 1.118035720E-01 1.336568561E-07
NDE 300 2.641306646E-08 1.006264868E-08 1.550816654E+01 1.781719943E+00 1.121429588E-01 7.202086299E-02 1.834342939E+02 4.835506110E+00 3.455634804E-02 3.559316361E-04 6.103161870E-05 1.224572726E+00 2.767594893E+00 3.434699034E-01 4.414556735E-01 5.625728478E+02 1.549899188E+02 1.960909725E+00 4.301199858E+01 3.334441703E+00 4.417780926E-02 8.208224882E-03 1.094051980E-04 2.602811023E-02 1.141344994E-01 5.429324638E-04
MABC 300 1.260747281E-06 5.523942592E-07 7.869670507E+02 6.443334129E+00 2.045277464E+00 2.355903192E+00 1.409470928E+04 1.390667985E+04 7.318268045E+01 1.502924628E-03 5.504841404E-04 8.393278922E+00 1.921681563E+01 3.574904777E+00 9.008758142E+00 2.041273588E+02 6.200903385E+01 7.435451995E-02 2.446956915E+01 4.162348142E+00 4.562317966E-01 9.655395065E-03 7.531229184E-04 2.069243831E-01 4.400608734E-01 7.326040102E-02
TLBO 300 8.678870039E-08 4.975899575E-08 5.324293774E+01 5.005758477E+00 1.438634573E+00 1.607165873E+00 1.756216800E+02 1.159203190E+01 7.567536842E-02 3.974759486E-04 6.580191101E-05 1.484224679E+00 7.654288235E+00 2.219205680E+00 2.986608456E+00 1.527939528E+03 4.817666793E+02 7.041786989E+00 3.425076474E+01 3.398806429E+00 2.388718946E-01 1.342240852E-02 3.073992452E-03 6.778010646E-01 2.338040117E-01 5.765612198E-02
GOTLBO 300 8.163111125E-07 3.984633061E-07 5.091944453E+02 1.646279250E+01 2.254994419E+00 7.574371095E+00 1.513903154E+02 4.966076793E+01 2.032088663E-01 8.637687972E-04 4.506766069E-04 4.398554982E+00 2.160760198E+01 2.292350412E+00 1.025395936E+01 3.366681192E+02 2.005002175E+02 7.719374697E-01 5.806477792E+00 1.316996937E+00 8.709671602E-01 1.969932072E-02 3.498576739E-03 1.462415090E+00 8.879511340E-01 5.524613676E-02
STLBO 300 1.588733493E-09 2.262928868E-20 7.041566818E-03 1.919080735E+00 1.849722407E-12 4.787840459E-04 1.899727748E+02 7.528722677E-11 1.432904044E-04 1.599850193E-04 3.202594976E-16 9.362960528E-05 1.919689809E+00 2.382593831E-12 1.615576214E-04 1.899847368E+02 1.656916984E-10 8.033242718E-05 4.501380402E+01 4.211976587E-11 3.067559075E-04 8.000574957E-03 1.509501410E-15 7.186963305E-05 1.118034326E-01 1.006916263E-17
PSO 300 3.814051025E-06 8.414550496E-07 2.382781890E+03 1.501065299E+01 3.876881405E+00 6.818048434E+00 1.669865860E+05 6.917807833E+04 8.778767682E+02 2.720925890E-03 8.155198012E-04 1.600578681E+01 3.381681885E+01 4.098976125E+00 1.661292649E+01 7.416485504E+02 4.598283109E+02 2.903413423E+00 3.209208935E+01 7.446735410E+00 2.868424588E-01 2.907423799E-02 6.235520830E-03 2.634279748E+00 4.867916774E-01 8.139559497E-02
IJAYA 300 4.146708283E-07 2.506608109E-07 2.581692677E+02 1.962725130E+00 1.527945397E-01 2.225267197E-02 1.841195892E+04 1.819819448E+04 9.590504697E+01 7.523601590E-04 1.961997874E-04 3.702250994E+00 8.650088168E+00 1.433393470E+00 3.505254254E+00 3.260255632E+02 1.260061459E+02 7.159240168E-01 1.428811408E+01 3.990136861E+00 6.824863537E-01 7.830565039E-03 1.270391963E-04 2.117937013E-02 1.301573602E-01 3.579335058E-03
