Name T I01 I01tr n1 n1tr Rsh1 Rsh1tr I02 I02tr n2 n2tr Rsh2 Rsh2tr Rs Rstr Iph Iphtr rmsre
DE 300 3.981970091E-11 1.600000000E-09 1.494544786E+00 1.920000000E+00 1.123039585E+02 1.900000000E+02 6.847268112E-03 1.600000000E-04 3.614041934E+01 1.920000000E+00 7.511834742E+01 1.900000000E+02 3.534658523E+01 4.500000000E+01 1.006803389E-02 8.000000000E-03 2.506981624E-01
DE 300 8.671610000E-12 1.600000000E-09 1.392544531E+00 1.920000000E+00 1.202431542E+02 1.900000000E+02 2.213032119E-03 1.600000000E-04 2.918052696E+01 1.920000000E+00 1.141748807E+02 1.900000000E+02 7.227941966E+00 4.500000000E+01 1.002666454E-02 8.000000000E-03 3.093071906E-01
DE 300 1.498599481E-06 1.600000000E-09 3.538291845E+00 1.920000000E+00 2.630103873E+02 1.900000000E+02 3.416011157E-05 1.600000000E-04 2.282878111E+00 1.920000000E+00 8.837001839E+01 1.900000000E+02 1.397018797E+01 4.500000000E+01 7.088581732E-03 8.000000000E-03 1.134976661E-01
DE 300 1.443170540E-06 1.600000000E-09 3.575052492E+00 1.920000000E+00 2.228577353E+02 1.900000000E+02 8.272152946E-04 1.600000000E-04 4.044636470E+00 1.920000000E+00 1.266516485E+03 1.900000000E+02 2.126751344E+01 4.500000000E+01 7.269311379E-03 8.000000000E-03 1.358297581E-01
DE 300 2.668706591E-09 1.600000000E-09 1.954113562E+00 1.920000000E+00 2.378228306E+02 1.900000000E+02 9.741365430E-04 1.600000000E-04 1.343278811E+01 1.920000000E+00 1.367312464E+02 1.900000000E+02 2.551568832E+00 4.500000000E+01 7.635099046E-03 8.000000000E-03 1.433771693E-01
DE 300 1.233561107E-12 1.600000000E-09 1.275369582E+00 1.920000000E+00 1.820302527E+02 1.900000000E+02 4.117791555E-04 1.600000000E-04 3.031767750E+00 1.920000000E+00 1.071738693E+02 1.900000000E+02 5.067823882E+01 4.500000000E+01 8.297459649E-03 8.000000000E-03 1.727580437E-01
DE 300 4.210992103E-08 1.600000000E-09 2.437922133E+00 1.920000000E+00 1.859868857E+02 1.900000000E+02 6.774070629E-05 1.600000000E-04 6.157870703E-01 1.920000000E+00 2.062067876E+02 1.900000000E+02 6.561958230E+01 4.500000000E+01 8.212553687E-03 8.000000000E-03 1.284002756E-01
DE 300 1.522521529E-07 1.600000000E-09 2.838507455E+00 1.920000000E+00 1.720950199E+02 1.900000000E+02 3.585669044E-06 1.600000000E-04 7.130963275E-01 1.920000000E+00 1.111672314E+02 1.900000000E+02 4.304715936E+01 4.500000000E+01 8.046743066E-03 8.000000000E-03 1.983159050E-01
DE 300 5.887438497E-06 1.600000000E-09 4.428155690E+00 1.920000000E+00 1.579833851E+02 1.900000000E+02 1.986231122E-06 1.600000000E-04 6.067154512E-01 1.920000000E+00 6.024017392E+01 1.900000000E+02 2.602540767E+01 4.500000000E+01 7.760110181E-03 8.000000000E-03 4.977995750E-01
DE 300 6.184595461E-09 1.600000000E-09 2.082429644E+00 1.920000000E+00 1.071422355E+02 1.900000000E+02 1.243386027E-04 1.600000000E-04 2.667121163E+01 1.920000000E+00 8.963595312E+01 1.900000000E+02 5.136158398E-01 4.500000000E+01 1.090564761E-02 8.000000000E-03 4.280961022E-01
DE 300 5.331515512E-06 1.600000000E-09 4.131485122E+00 1.920000000E+00 4.153756490E+02 1.900000000E+02 7.903234304E-04 1.600000000E-04 5.769044937E+00 1.920000000E+00 2.366893554E+02 1.900000000E+02 1.295030006E+01 4.500000000E+01 6.708687046E-03 8.000000000E-03 1.398489203E-01
DE 300 3.355455471E-08 1.600000000E-09 2.439720961E+00 1.920000000E+00 1.756316779E+02 1.900000000E+02 1.066701794E-06 1.600000000E-04 1.235012922E+00 1.920000000E+00 9.770109906E+01 1.900000000E+02 8.093031503E+00 4.500000000E+01 7.568706184E-03 8.000000000E-03 2.561386755E-01
DE 300 2.977512417E-08 1.600000000E-09 2.454423650E+00 1.920000000E+00 1.702228171E+02 1.900000000E+02 4.786682653E-06 1.600000000E-04 1.047540843E+00 1.920000000E+00 1.037064154E+02 1.900000000E+02 3.111862206E+01 4.500000000E+01 7.920606699E-03 8.000000000E-03 1.551362893E-01
DE 300 1.604074453E-07 1.600000000E-09 2.738096407E+00 1.920000000E+00 2.702318160E+02 1.900000000E+02 1.683200784E-03 1.600000000E-04 1.243456839E+01 1.920000000E+00 2.150044058E+02 1.900000000E+02 4.355231727E-01 4.500000000E+01 7.140583272E-03 8.000000000E-03 2.338351117E-01
DE 300 2.691229361E-07 1.600000000E-09 2.845673366E+00 1.920000000E+00 4.734590690E+02 1.900000000E+02 9.263280231E-05 1.600000000E-04 5.655722084E-01 1.920000000E+00 2.507015555E+02 1.900000000E+02 7.194678868E+01 4.500000000E+01 6.900547928E-03 8.000000000E-03 1.325370421E-01
DE 300 8.261822474E-13 1.600000000E-09 1.226314080E+00 1.920000000E+00 2.373740991E+02 1.900000000E+02 1.603965863E-03 1.600000000E-04 4.933815901E+01 1.920000000E+00 3.891710637E+01 1.900000000E+02 5.716215199E+01 4.500000000E+01 8.040598389E-03 8.000000000E-03 1.497609933E-01
DE 300 4.357525369E-09 1.600000000E-09 2.028089635E+00 1.920000000E+00 2.369152139E+02 1.900000000E+02 7.644217768E-04 1.600000000E-04 9.606172499E+00 1.920000000E+00 1.659497075E+02 1.900000000E+02 1.727742108E+00 4.500000000E+01 7.493314750E-03 8.000000000E-03 1.384442380E-01
DE 300 1.398150634E-07 1.600000000E-09 2.658822600E+00 1.920000000E+00 2.372657647E+02 1.900000000E+02 6.852103064E-04 1.600000000E-04 9.203881119E+00 1.920000000E+00 9.337201268E+01 1.900000000E+02 1.286598713E+01 4.500000000E+01 7.518527087E-03 8.000000000E-03 1.158941330E-01
DE 300 8.663967354E-07 1.600000000E-09 3.337667123E+00 1.920000000E+00 2.114426177E+02 1.900000000E+02 2.684403782E-04 1.600000000E-04 6.085448458E+00 1.920000000E+00 1.387666273E+02 1.900000000E+02 7.604669827E-01 4.500000000E+01 7.794852706E-03 8.000000000E-03 2.671328744E-01
DE 300 4.386742026E-09 1.600000000E-09 1.994350916E+00 1.920000000E+00 1.991624465E+02 1.900000000E+02 1.795311638E-05 1.600000000E-04 1.396575319E+01 1.920000000E+00 8.789588366E+01 1.900000000E+02 1.097674953E-01 4.500000000E+01 8.390472543E-03 8.000000000E-03 1.926367144E-01
