Method Finner Holm Hochberg Holland
WW 1.300018036E-14 1.300000000E-14 1.300000000E-14 1.300018036E-14
DE 8.371081606E-14 2.100541963E-13 2.100541963E-13 2.100541963E-13
NDE 8.371081606E-14 1.545430450E-13 1.545430450E-13 1.545430450E-13
IJAYA 9.886536034E-14 3.042011087E-13 3.042011087E-13 3.042011087E-13
CWOA 1.096900348E-13 3.796962744E-13 3.796962744E-13 3.796962744E-13
GOTLBO 1.289339187E-13 4.760636330E-13 4.760636330E-13 4.760636330E-13
NNA 6.623876035E-12 2.496691742E-11 2.496691742E-11 2.496691742E-11
ISCA 6.846606615E-12 2.527977827E-11 2.527977827E-11 2.527977827E-11
MABC 9.263676246E-11 3.206657162E-10 3.206657162E-10 3.206657162E-10
PSO 2.143399280E-09 6.595074709E-09 6.595074709E-09 6.595074692E-09
TLBO 3.932590934E-02 1.001339597E-01 1.001339597E-01 9.682887585E-02
EBLSHADE 6.200412420E-01 1.000000000E+00 8.018156493E-01 8.324560122E-01
STLBO 8.018156493E-01 1.000000000E+00 8.018156493E-01 8.324560122E-01
