Method Finner Holm Hochberg Holland
PSO 3.138314082E-03 3.341013241E-03 3.341013241E-03 3.335901901E-03
WW 3.138314082E-03 3.142868947E-03 3.142868947E-03 3.138314082E-03
MABC 9.041669340E-03 2.303217498E-02 2.225599438E-02 2.279255554E-02
GOTLBO 9.041669340E-03 2.303217498E-02 2.225599438E-02 2.279255554E-02
ISCA 9.041669340E-03 3.049660395E-02 3.049660395E-02 3.009279769E-02
CWOA 9.041669340E-03 2.855263452E-02 2.855263452E-02 2.819296935E-02
IJAYA 1.725054233E-02 6.528231648E-02 5.335661575E-02 6.348396538E-02
DE 1.764120502E-02 6.535955439E-02 5.335661575E-02 6.360525026E-02
NDE 1.764120502E-02 6.535955439E-02 5.335661575E-02 6.360525026E-02
NNA 1.764120502E-02 6.535955439E-02 5.335661575E-02 6.360525026E-02
TLBO 4.093295734E-01 1.000000000E+00 8.457359576E-01 7.372343122E-01
EBLSHADE 7.628202050E-01 1.000000000E+00 8.457359576E-01 9.298064394E-01
STLBO 8.457359576E-01 1.000000000E+00 8.457359576E-01 9.298064394E-01
