Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 6.856460419E-07 2.716641212E-07 4.275287762E+02 2.534814282E+00 1.581597884E-01 3.202157721E-01 2.186667326E+02 1.595868506E+01 1.508775398E-01 6.435172962E-04 2.370880645E-04 3.021983101E+00 9.802795033E+00 2.262291946E+00 4.105622413E+00 1.615865216E+02 3.933907569E+01 1.495446229E-01 2.059995917E+01 3.869123450E+00 5.422231295E-01 7.951409892E-03 1.785610758E-04 6.073763487E-03 2.037102015E-01 1.755228697E-02
EBLSHADE 300 3.138448566E-07 2.542888466E-07 1.951530354E+02 2.060441635E+00 9.949451602E-02 7.314668486E-02 1.983781794E+02 5.885540056E+00 4.409568102E-02 1.596204552E-04 4.790747692E-07 2.372154818E-03 1.946337816E+00 3.008593728E-02 1.371761260E-02 1.906013081E+02 9.538328826E-01 3.164779710E-03 4.352066459E+01 1.169602695E+00 3.287412028E-02 7.925167296E-03 5.254819473E-05 9.354088049E-03 1.124980783E-01 5.068389304E-04
ADELI 300 1.596734069E-09 2.616160828E-18 2.041207128E-03 1.919732278E+00 2.132957109E-10 1.394385202E-04 1.899984965E+02 9.082831668E-09 7.913392412E-06 1.599035243E-04 9.870520519E-14 6.029733333E-04 1.919363419E+00 6.212600599E-10 3.315524657E-04 1.899513533E+02 4.884455217E-08 2.560350579E-04 4.500918837E+01 7.593736502E-09 2.041861066E-04 8.000114642E-03 1.957154519E-13 1.433029796E-05 1.118034352E-01 4.010619243E-15
NDE 300 1.091968187E-07 2.817525576E-08 6.724801166E+01 3.877410961E+00 1.420949446E+00 1.019484875E+00 2.056925146E+02 5.564876490E+00 8.259218236E-02 5.382250189E-04 8.498702753E-05 2.363906368E+00 3.830270868E+00 3.203962814E-01 9.949327438E-01 8.635592223E+02 3.263331712E+02 3.545048538E+00 2.600480968E+01 2.508496581E+00 4.221153404E-01 7.658745897E-03 8.661743725E-05 4.265676286E-02 1.421047736E-01 2.028089510E-02
MABC 300 4.962772576E-07 3.581138252E-07 3.091732860E+02 4.519574050E+00 1.703139790E+00 1.353944818E+00 1.876375652E+02 6.910374720E+01 1.243386752E-02 7.238783279E-04 2.474789152E-04 3.524239549E+00 1.855302030E+01 3.404145528E+00 8.663031404E+00 5.040560815E+02 3.326381423E+02 1.652926745E+00 2.651218909E+01 5.134952946E+00 4.108402424E-01 1.274019864E-02 1.401577895E-03 5.925248298E-01 4.797798658E-01 5.976982881E-02
TLBO 300 2.969225091E-09 1.141139518E-09 8.557656816E-01 1.945739910E+00 1.872533030E-02 1.340620309E-02 1.910910797E+02 7.838597194E-01 5.742524759E-03 1.880489802E-04 2.770984829E-05 1.753061265E-01 2.046147803E+00 1.207395939E-01 6.570198071E-02 3.070686475E+02 1.168840782E+02 6.161507761E-01 4.398818276E+01 8.627916910E-01 2.248482761E-02 7.978552620E-03 1.573913171E-05 2.680922479E-03 1.118078157E-01 3.140323109E-06
GOTLBO 300 2.058089076E-06 6.951535622E-07 1.285305673E+03 8.745308880E+00 2.066643379E+00 3.554848375E+00 3.680898316E+02 1.920586455E+02 9.373149032E-01 3.939843094E-04 2.058733888E-04 1.462401934E+00 2.385585820E+01 2.893019686E+00 1.142492614E+01 4.751859790E+01 5.526074042E+00 7.499021163E-01 3.802696707E+01 5.894063341E+00 1.549562873E-01 2.603006131E-02 4.074206324E-03 2.253757664E+00 6.592161564E-01 5.139925872E-02
STLBO 300 1.596734071E-09 5.606228496E-18 2.041205361E-03 1.919732278E+00 4.568567464E-10 1.394384014E-04 1.899984965E+02 1.867967214E-08 7.913355076E-06 1.599035245E-04 1.210311358E-13 6.029721495E-04 1.919363420E+00 8.028749932E-10 3.315519698E-04 1.899513535E+02 6.129887418E-08 2.560344351E-04 4.500918837E+01 1.203813313E-08 2.041859017E-04 8.000114642E-03 3.894966465E-13 1.433027351E-05 1.118034352E-01 6.651781790E-15
PSO 300 4.012673007E-06 9.078731586E-07 2.506920629E+03 1.528922878E+01 3.895679010E+00 6.963139989E+00 2.340028167E+05 7.847386597E+04 1.230593772E+03 2.497461086E-03 7.750254183E-04 1.460913178E+01 3.075001614E+01 4.327736957E+00 1.501563340E+01 1.411940663E+03 6.262450232E+02 6.431266650E+00 3.839017048E+01 8.043354672E+00 1.468851005E-01 3.214369232E-02 6.110687277E-03 3.017961541E+00 4.658414645E-01 6.664496305E-02
IJAYA 300 4.310305543E-07 2.306934637E-07 2.683940964E+02 2.311519722E+00 1.455329993E-01 2.039165217E-01 1.080858551E+04 1.047158677E+04 5.588729215E+01 5.457386252E-04 8.314429087E-05 2.410866407E+00 6.470547502E+00 9.585968912E-01 2.370076824E+00 5.562273283E+02 2.693968809E+02 1.927512254E+00 1.353773356E+01 3.160236417E+00 6.991614765E-01 7.445273552E-03 1.110947374E-04 6.934080605E-02 1.320025796E-01 4.124012673E-03
ISCA 300 1.171537326E-06 3.421044816E-07 7.312108286E+02 1.205709368E+01 2.597222164E+00 5.279736294E+00 2.140556091E+04 1.260580273E+04 1.116608469E+02 1.261806172E-03 4.700608486E-04 6.886288574E+00 2.014976602E+01 2.256644041E+00 9.494669800E+00 1.643605668E+02 6.698733973E+01 1.349443853E-01 1.415585841E+01 3.975119511E+00 6.854253688E-01 1.427779627E-02 2.439133042E-03 7.847245338E-01 7.602911102E-01 4.136540620E-02
NNA 300 4.973597660E-07 2.847967039E-07 3.098498537E+02 1.823320013E+01 2.615075357E+00 8.496458403E+00 5.333981958E+03 4.548749944E+03 2.707358925E+01 1.929832564E-04 1.023167620E-04 2.061453522E-01 2.747886025E+01 2.545097549E+00 1.331190638E+01 7.077164468E+01 1.049698910E+01 6.275176596E-01 8.560026728E+00 2.920363210E+00 8.097771838E-01 1.999628390E-02 2.978429576E-03 1.499535488E+00 8.202844900E-01 2.720683420E-02
CWOA 300 2.265320918E-06 7.331922334E-07 1.414825574E+03 1.819142116E+01 3.367196062E+00 8.474698523E+00 4.911194267E+04 3.483927054E+04 2.574839088E+02 2.007252891E-03 7.330752693E-04 1.154533057E+01 2.472636677E+01 3.506397412E+00 1.187831603E+01 1.019139584E+03 4.773037496E+02 4.363892546E+00 2.457312459E+01 6.715212048E+00 4.539305647E-01 3.029225197E-02 5.174948155E-03 2.786531497E+00 6.501418869E-01 6.103642783E-02
WaterWave 300 3.601530340E-06 6.960190083E-07 2.249956463E+03 6.265274569E+00 1.212126454E+00 2.263163838E+00 3.442608873E+04 3.330219672E+04 1.801899407E+02 3.782346703E-04 2.617262851E-04 1.363966689E+00 4.452955133E+01 2.615246415E+00 2.219247465E+01 4.129064101E+02 3.322017062E+02 1.173191632E+00 2.177228501E+01 6.166362257E+00 5.161714443E-01 2.976080304E-02 5.046213226E-03 2.720100380E+00 7.880577298E-01 2.760201728E-02
