Method Holm Hochberg Finner Holland Li
DE 1.095745716E-10 1.095745716E-10 3.561173578E-11 1.095745716E-10 1.000000000E+00
EBLSHADE 8.235705472E-01 8.235705472E-01 3.156439220E-01 6.181700250E-01 1.000000000E+00
NDE 6.685050355E-05 6.685050355E-05 2.172635919E-05 6.684882769E-05 1.000000000E+00
MABC 1.300000000E-14 1.100000000E-14 1.300018036E-14 1.300018036E-14 1.000040338E+00
TLBO 1.000000000E+00 1.000000000E+00 8.394304738E-01 9.658388939E-01 1.000000000E+00
GOTLBO 1.300000000E-14 1.100000000E-14 1.300018036E-14 1.300018036E-14 1.000040338E+00
STLBO 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00 1.000000000E+00
PSO 1.300000000E-14 1.100000000E-14 1.300018036E-14 1.300018036E-14 1.000040338E+00
IJAYA 8.019676034E-10 8.019676034E-10 2.127669152E-10 8.019676032E-10 1.000000000E+00
ISCA 4.798251796E-09 4.798251796E-09 1.386161630E-09 4.798251787E-09 1.000000000E+00
NNA 1.998259336E-10 1.998259336E-10 5.411952370E-11 1.998259336E-10 1.000000000E+00
CWOA 4.088672068E-09 4.088672068E-09 1.107348685E-09 4.088672061E-09 1.000000000E+00
WW 1.667606053E-10 1.667606053E-10 4.817528597E-11 1.667606053E-10 1.000000000E+00
