Name T I01mean I01sd erI01 n1mean n1sd ern1 Rsh1mean Rsh1sd erRsh1 I02mean I02sd erI02 n2mean n2sd ern2 Rsh2mean Rsh2sd erRsh2 Rsmean Rssd erRs Iphmean Iphsd erIph rmsremean rmsresd 
DE 300 6.31239E-09 2.47897E-07 2.68133E+02 2.09479E+00 1.18701E+00 1.94490E-01 2.00493E+02 7.39815E+01 4.41399E-01 3.84300E-04 1.18424E-03 4.10867E+00 4.91355E+00 6.42196E+00 3.21019E+00 1.06342E+02 7.31935E+01 1.44077E-01 1.41994E+01 3.66225E+01 4.73970E-01 7.76123E-03 1.05832E-03 8.34104E-03 1.77838E-01 1.27220E-01
EBLSHADE 300 1.59673E-09 2.45000E-17 2.95635E+01 1.91973E+00 2.00000E-09 3.72035E-02 1.89998E+02 1.00000E-07 9.78481E-03 1.59904E-04 4.00000E-13 1.92744E-01 1.91936E+00 2.50000E-09 9.08369E-02 1.89951E+02 2.50000E-07 3.52801E-01 4.50092E+01 5.00000E-08 4.70351E-02 8.00011E-03 2.00000E-12 5.66435E-03 1.11803E-01 0.00000E+00
ADELI 300 1.59673E-09 2.50000E-17 2.04121E-03 1.91973E+00 2.00000E-09 1.39438E-04 1.89998E+02 1.00000E-07 7.91342E-06 1.59904E-04 8.00000E-13 6.02971E-04 1.91936E+00 6.00000E-09 3.31552E-04 1.89951E+02 3.50000E-07 2.56034E-04 4.50092E+01 6.50000E-08 2.04186E-04 8.00011E-03 2.00000E-12 1.43303E-05 1.11803E-01 0.00000E+00
NDE 300 1.97951E-08 1.28566E-07 1.84122E+02 2.31401E+00 7.82389E-01 2.60872E-01 2.05507E+02 3.22484E+01 1.42355E-01 2.70740E-04 5.10535E-04 1.70583E+00 2.82514E+00 2.85309E+00 1.18479E+00 2.47163E+02 3.41063E+02 2.01099E+00 3.39332E+01 3.00524E+01 3.07996E-01 7.65711E-03 6.38940E-04 3.87712E-02 1.11897E-01 2.59792E-04
MABC 300 3.78613E-08 1.56208E-06 1.16779E+03 3.00104E+00 2.81682E+00 6.84366E-01 1.41578E+02 1.58743E+02 1.72243E+00 2.22821E-04 7.57854E-04 6.30992E+00 6.65565E+00 2.38231E+01 6.80948E+00 8.20348E+01 1.51829E+02 3.63847E+00 1.24381E+01 4.72398E+01 4.32959E-01 8.55776E-03 3.57495E-03 2.72009E-01 1.69928E-01 6.08581E-01
TLBO 300 1.59673E-09 3.78381E-11 1.97691E+00 1.91973E+00 3.12336E-03 2.12687E-03 1.89998E+02 1.31118E-01 1.10516E-03 1.59904E-04 2.10985E-08 3.62033E-01 1.91936E+00 2.10025E-03 1.15115E-01 1.89951E+02 3.25284E-02 1.60219E+00 4.50092E+01 3.13024E-02 1.58237E-02 8.00011E-03 1.92458E-06 2.01579E-03 1.11803E-01 2.08010E-06
GOTLBO 300 1.03447E-08 1.36228E-06 1.07254E+03 3.41832E+00 1.58671E+01 3.98501E+00 6.90940E+01 2.16793E+02 6.02015E+01 7.71914E-07 2.41920E-04 3.95248E+00 1.42566E+01 2.35098E+01 9.55747E+00 7.43327E+01 6.44833E+01 3.24673E-01 8.80183E+00 4.36466E+01 4.52021E-01 1.42995E-02 2.37021E-02 1.85457E+00 8.15210E-01 4.93468E-01
STLBO 300 1.59673E-09 3.60000E-17 2.04121E-03 1.91973E+00 2.50000E-09 1.39439E-04 1.89998E+02 1.00000E-07 7.91351E-06 1.59904E-04 1.15000E-12 6.02974E-04 1.91936E+00 7.50000E-09 3.31553E-04 1.89951E+02 6.00000E-07 2.56035E-04 4.50092E+01 1.00000E-07 2.04186E-04 8.00011E-03 3.00000E-12 1.43304E-05 1.11803E-01 0.00000E+00
PSO 300 1.00000E-16 1.00000E-05 1.96292E+03 3.52665E+00 4.90830E+01 7.67642E+00 1.06144E+02 1.63924E+02 9.46991E+02 1.00000E-10 6.43173E-03 1.59711E+01 5.00000E+01 4.02401E+01 1.78660E+01 2.20427E+01 1.00011E+02 5.69024E+00 4.09733E-01 9.23135E+01 8.50789E-02 8.99564E-03 6.67872E-02 3.83023E+00 8.36124E-01 7.24107E-01
IJAYA 300 9.73093E-09 1.12926E-07 2.62993E+02 2.19089E+00 1.11574E+00 1.67520E-01 2.10625E+02 6.11361E+01 6.38484E-01 4.10043E-04 5.19021E-04 2.75604E+00 5.67480E+00 3.36356E+00 2.64046E+00 1.59549E+02 1.69582E+02 5.58586E-01 3.75794E+00 1.86422E+01 6.93102E-01 7.61625E-03 8.92576E-04 5.29939E-02 1.23026E-01 3.20204E-02
