Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 4,186485882E-07 1,455309164E-07 2,606553676E+02 2,333356054E+00 1,259863332E-01 2,152896112E-01 2,926663893E+02 5,743274472E+01 5,403494175E-01 7,433091850E-04 1,600717398E-04 3,645682407E+00 7,051721993E+00 9,347242849E-01 2,672771871E+00 2,382741877E+02 7,894437322E+01 2,540746719E-01 2,324165130E+01 3,517691020E+00 4,835188600E-01 7,854894899E-03 1,345978044E-04 1,813813764E-02 2,036460590E-01 1,359148162E-02
EBLSHADE 300 6.072785893E-08 5.199547424E-08 3.695491183E+01 2.009355358E+00 5.329095846E-02 4.653924896E-02 1.923242679E+02 1.240637006E+00 1.223298891E-02 1.985729884E-04 2.515239150E-05 2.410811776E-01 2.138167720E+00 1.319642725E-01 1.136290210E-01 2.738024715E+02 7.214364807E+01 4.410656396E-01 4.235197861E+01 1.480113011E+00 5.884491980E-02 7.943327838E-03 3.092842944E-05 7.084020251E-03 1.124796150E-01 6.692844356E-04
ADELI 300 1.596734071E-09 3.584767450E-18 2.041205731E-03 1.919732278E+00 2.905884160E-10 1.394384288E-04 1.899984965E+02 1.204253425E-08 7.913385242E-06 1.599035247E-04 3.957745660E-13 6.029707154E-04 1.919363421E+00 1.892848175E-09 3.315515005E-04 1.899513536E+02 2.280041326E-07 2.560337008E-04 4.500918836E+01 1.402009013E-08 2.041858501E-04 8.000114642E-03 2.582250219E-13 1.433028574E-05 1.118034352E-01 8.610014352E-15
NDE 300 3.250732337E-07 1.874842123E-07 2.021707710E+02 2.396651563E+00 9.475863090E-02 2.482560224E-01 2.178577688E+02 1.440577007E+01 1.466198359E-01 4.083946574E-04 6.376226257E-05 1.552466609E+00 4.253273055E+00 1.137226268E+00 1.215246383E+00 5.027640176E+02 1.292414065E+02 1.646126408E+00 3.256698588E+01 2.663323164E+00 2.762892027E-01 7.715565855E-03 6.232771577E-05 3.555426811E-02 1.595111150E-01 2.626915438E-02
MABC 300 1.653729113E-06 5.198821402E-07 1.032580695E+03 2.735554050E+00 2.335575262E-01 4.247677346E-01 5.972592073E+02 4.406251498E+02 2.143469512E+00 1.349307330E-03 4.470789094E-04 7.433170812E+00 1.449310361E+01 2.604041595E+00 6.548491462E+00 1.022076067E+03 3.974947262E+02 4.379347721E+00 2.581257161E+01 4.541149287E+00 4.263872975E-01 1.014750588E-02 6.831443288E-04 2.684382353E-01 4.168907377E-01 4.911502783E-02
TLBO 300 3.732042519E-09 1.508732883E-09 1.332526574E+00 1.907672065E+00 3.257396299E-02 6.420799590E-03 1.894618871E+02 1.368195786E+00 2.832173214E-03 1.996850640E-04 3.104811439E-05 2.480316499E-01 2.064523775E+00 1.423275834E-01 7.527279955E-02 4.729646628E+02 2.052623957E+02 1.489287699E+00 4.472871630E+01 1.259978128E+00 6.028526677E-03 8.020191412E-03 3.262511402E-05 2.523926475E-03 1.118291205E-01 1.446455872E-05
GOTLBO 300 1.859467223E-06 5.443396370E-07 1.161167014E+03 1.051183971E+01 1.831450126E+00 4.474916517E+00 1.353380632E+04 7.759385475E+03 7.023055958E+01 9.572637931E-04 3.781406474E-04 4.982898707E+00 1.990249771E+01 2.225004527E+00 9.365884223E+00 6.869061539E+01 7.695035866E+00 6.384704453E-01 2.484645099E+01 4.999109883E+00 4.478566446E-01 2.211735597E-02 3.000033922E-03 1.764669496E+00 6.489766091E-01 4.444875389E-02
STLBO 300 1.596734064E-09 5.108620079E-18 2.041209905E-03 1.919732278E+00 4.157501521E-10 1.394387091E-04 1.899984964E+02 1.741929016E-08 7.913490845E-06 1.599035242E-04 1.213008650E-13 6.029740480E-04 1.919363418E+00 8.101842548E-10 3.315528821E-04 1.899513533E+02 6.296362052E-08 2.560353549E-04 4.500918839E+01 1.182828279E-08 2.041863498E-04 8.000114643E-03 3.643847150E-13 1.433034192E-05 1.118034352E-01 5.696648890E-15
PSO 300 3.132389299E-06 7.234551415E-07 1.956743312E+03 1.776806931E+01 3.584206686E+00 8.254202765E+00 1.751458085E+05 6.083272526E+04 9.208200449E+02 3.144220223E-03 7.234287196E-04 1.865137639E+01 3.403734331E+01 3.500474254E+00 1.672778297E+01 1.574867271E+03 5.672145276E+02 7.288775112E+00 3.922024207E+01 6.980251665E+00 1.284390652E-01 3.201866010E-02 5.195139564E-03 3.002332513E+00 5.171149118E-01 5.612811124E-02
IJAYA 300 4.850897052E-07 1.909443565E-07 3.021810658E+02 2.284355882E+00 1.345565778E-01 1.897686887E-01 3.281555048E+02 8.261496946E+01 7.271342356E-01 4.534856108E-04 6.879468733E-05 1.834285067E+00 6.258233517E+00 6.539585007E-01 2.259496624E+00 3.074909405E+02 9.261265662E+01 6.183733713E-01 1.399563365E+01 3.067698532E+00 6.889859189E-01 7.556009849E-03 9.687862993E-05 5.549876882E-02 1.403622945E-01 6.010076368E-03
ISCA 300 1.043235495E-06 3.347404482E-07 6.510221843E+02 1.082320614E+01 2.058390447E+00 4.637086533E+00 2.826763531E+04 1.741699519E+04 1.477770279E+02 6.124676055E-04 2.217445261E-04 2.827922534E+00 1.572274420E+01 1.901465051E+00 7.188929273E+00 1.742316288E+02 1.034267134E+02 8.299142719E-02 1.262202633E+01 4.081329268E+00 7.195105261E-01 1.920489468E-02 3.238808369E-03 1.400611835E+00 7.582608348E-01 3.727426447E-02
NNA 300 4.946995213E-07 2.255642845E-07 3.081872008E+02 1.637284448E+01 2.423070935E+00 7.527523167E+00 8.527649403E+03 4.139359370E+03 4.388236528E+01 6.620979291E-04 2.495235258E-04 3.138112057E+00 2.742212008E+01 2.083986224E+00 1.328235421E+01 2.010030074E+02 1.134282918E+02 5.791056504E-02 5.399444704E+00 2.028134490E+00 8.800123399E-01 1.944838043E-02 2.916809591E-03 1.431047553E+00 7.720018686E-01 3.866431381E-02
CWOA 300 2.384991981E-06 6.598214673E-07 1.489619988E+03 1.901125597E+01 2.765712078E+00 8.901695820E+00 3.415711528E+04 2.561156305E+04 1.787742910E+02 1.152249753E-03 4.816673644E-04 6.201560957E+00 3.141555952E+01 2.746027683E+00 1.536227058E+01 4.507479215E+02 2.587282807E+02 1.372357482E+00 2.608386399E+01 5.108831516E+00 4.203585779E-01 2.628710684E-02 4.218643473E-03 2.285888355E+00 7.367673238E-01 5.033529992E-02
