Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 1.941761988E-05 4.251391025E-06 1.213501242E+04 3.002341237E+00 2.712525359E+00 5.637193943E-01 1.234175634E+03 2.782184696E+02 5.495661230E+00 9.701005866E-04 6.206232117E-04 5.063128666E+00 1.420410413E+01 1.249470554E+01 6.397970903E+00 1.662616281E+02 1.130594723E+02 1.249387994E-01 1.879482495E+01 1.565383653E+01 5.823372233E-01 7.976734633E-03 7.949113481E-03 2.908170816E-03 2.104943391E-01 2.003493493E-01
EBLSHADE 300 1.814840588E-05 3.087856077E-06 1.134175367E+04 2.731735048E+00 2.320252613E+00 4.227786709E-01 3.184751586E+04 9.788316454E+02 1.666185045E+02 2.814937365E-04 1.467631582E-04 7.593358533E-01 2.925897316E+00 2.249431752E+00 5.239048518E-01 2.659664837E+02 1.741953552E+02 3.998235985E-01 3.279889038E+01 3.523068668E+01 2.711357694E-01 7.660667548E-03 7.737582876E-03 4.241655647E-02 1.183704963E-01 1.152819047E-01
ADELI 300 2.923068599E-09 1.901194578E-09 8.269178744E-01 1.955971016E+00 1.930751772E+00 1.873490429E-02 1.914974205E+02 1.904528447E+02 7.881160543E-03 1.906413302E-04 1.667185171E-04 1.915083139E-01 2.078896024E+00 1.956665556E+00 8.275834563E-02 2.119973706E+02 1.937075200E+02 1.157756345E-01 4.350627856E+01 4.458149062E+01 3.319380972E-02 7.968697536E-03 7.990555969E-03 3.912807954E-03 1.118051981E-01 1.118038117E-01
NDE 300 6.750862164E-06 6.435456601E-07 4.218288852E+03 4.377703495E+00 2.933199460E+00 1.280053904E+00 2.104638618E+02 2.097344545E+02 1.077045358E-01 5.289055257E-04 4.412361704E-04 2.305659536E+00 4.889991278E+00 3.731158349E+00 1.546870457E+00 3.487274992E+02 3.089337601E+02 8.354078904E-01 2.598731238E+01 2.679809208E+01 4.225041694E-01 7.688096420E-03 7.596939807E-03 3.898794751E-02 1.747992166E-01 1.191173744E-01
MABC 300 8.696898793E-05 4.555780791E-05 5.435461746E+04 4.724504019E+00 3.993586347E+00 1.460679177E+00 4.108377053E+03 3.393514524E+02 2.062303712E+01 1.581163045E-03 9.057850735E-04 8.882269033E+00 1.063303960E+01 7.996682947E+00 4.538041458E+00 1.008925871E+03 4.371434022E+02 4.310136161E+00 2.756191523E+01 2.466014684E+01 3.875129950E-01 9.147151825E-03 8.761358903E-03 1.433939781E-01 3.403380857E-01 2.990415525E-01
TLBO 300 1.453152629E-08 5.559524961E-09 8.082203934E+00 2.027762260E+00 1.989513905E+00 5.612617694E-02 1.945624708E+02 1.928951847E+02 2.401300413E-02 3.257028824E-04 2.430544245E-04 1.035643015E+00 2.733408796E+00 2.337717699E+00 4.236504146E-01 9.235558057E+02 4.032692487E+02 3.860820030E+00 3.903649264E+01 4.120631433E+01 1.325223858E-01 7.910145467E-03 7.942573536E-03 1.123181661E-02 1.120518186E-01 1.118186064E-01
GOTLBO 300 2.766600139E-04 2.132284393E-04 1.729115087E+05 1.063059076E+01 9.136710956E+00 4.536766022E+00 2.336560283E+04 5.941053202E+03 1.219768570E+02 1.553657291E-03 7.885631194E-04 8.710358069E+00 1.835332113E+01 1.756118126E+01 8.559021423E+00 3.398364976E+02 9.122729645E+01 7.886131454E-01 1.897620157E+01 1.385785913E+01 5.783066317E-01 1.579769876E-02 1.165353200E-02 9.747123447E-01 5.554801433E-01 5.671249711E-01
STLBO 300 1.596734069E-09 1.596734069E-09 2.041207054E-03 1.919732278E+00 1.919732278E+00 1.394385146E-04 1.899984965E+02 1.899984965E+02 7.913401145E-06 1.599035241E-04 1.599035241E-04 6.029743549E-04 1.919363418E+00 1.919363418E+00 3.315529278E-04 1.899513533E+02 1.899513533E+02 2.560354635E-04 4.500918838E+01 4.500918838E+01 2.041862371E-04 8.000114642E-03 8.000114642E-03 1.433030097E-05 1.118034352E-01 1.118034352E-01
PSO 300 3.422442660E-04 2.774310821E-04 2.139016662E+05 1.121186037E+01 8.782756693E+00 4.839510608E+00 3.919156614E+05 3.386668418E+05 2.061714008E+03 2.036715468E-03 9.655787086E-04 1.172947168E+01 3.237087566E+01 3.576619612E+01 1.585983107E+01 1.126478850E+03 3.679084147E+02 4.928836054E+00 1.665126206E+01 8.275780003E+00 6.299719543E-01 3.149584546E-02 2.457881052E-02 2.936980682E+00 4.046694947E-01 3.681027371E-01
IJAYA 300 1.990630110E-05 5.900498263E-06 1.244043819E+04 3.580880553E+00 3.444620667E+00 8.650419544E-01 1.855251600E+04 2.532987953E+03 9.664482108E+01 5.873845204E-04 4.544890206E-04 2.671153252E+00 6.918910922E+00 5.636603047E+00 2.603599439E+00 2.264979819E+02 1.857651691E+02 1.920946415E-01 1.384675716E+01 9.707770132E+00 6.922942853E-01 6.979613643E-03 6.949607773E-03 1.275482946E-01 1.425072693E-01 1.368514853E-01
