Name T I01 seI01 reI01 n1 sen1 ren1 Rsh1 seRsh1 reRsh1 I02 seI02 reI02 n2 sen2 ren2 Rsh2 seRsh2 reRsh2 Rs seRs reRs Iph seIph reIph rmsre sermsre
DE 300 3.156006782E-05 3.190803355E-06 1.972404239E+04 2.937784724E+00 2.639836665E+00 5.300962106E-01 1.699136734E+04 1.484772457E+03 8.842824916E+01 1.069578229E-03 7.005662374E-04 5.684863933E+00 1.579329979E+01 1.496590890E+01 7.225676973E+00 1.707097513E+02 1.005224528E+02 1.015276247E-01 1.962551076E+01 1.685277239E+01 5.638775387E-01 8.033813376E-03 7.905226161E-03 4.226671939E-03 2.147540739E-01 2.000743316E-01
EBLSHADE 300 1.703235096E-05 3.305938105E-06 1.064421935E+04 2.632562048E+00 2.196800029E+00 3.711260667E-01 9.041222026E+02 2.716739085E+02 3.758537908E+00 2.649418179E-04 1.663492554E-04 6.558863620E-01 2.858249042E+00 2.053056939E+00 4.886713758E-01 2.105853818E+02 1.886056675E+02 1.083441149E-01 3.742594968E+01 4.115163237E+01 1.683122294E-01 7.739252466E-03 7.865802217E-03 3.259344178E-02 1.166325163E-01 1.134097430E-01
ADELI 300 2.975139424E-09 1.795502772E-09 8.594621403E-01 1.951635477E+00 1.926833040E+00 1.647681082E-02 1.913078584E+02 1.902892470E+02 6.883465323E-03 1.882866803E-04 1.638850811E-04 1.767917520E-01 2.064216096E+00 1.945742299E+00 7.511255021E-02 2.123263639E+02 1.925714132E+02 1.175071785E-01 4.367748471E+01 4.471584035E+01 2.938922859E-02 7.972832981E-03 7.993926320E-03 3.395877402E-03 1.118050353E-01 1.118035818E-01
NDE 300 3.712517191E-05 1.754184531E-05 2.320223245E+04 4.446354104E+00 3.832626269E+00 1.315809429E+00 3.658930460E+02 2.960247395E+02 9.257528737E-01 3.380327560E-04 3.061754832E-04 1.112704725E+00 5.998556805E+00 4.263680938E+00 2.124248336E+00 7.198752825E+02 3.295465063E+02 2.788817276E+00 1.827406125E+01 1.665628562E+01 5.939097501E-01 7.303431888E-03 7.213572769E-03 8.707101402E-02 1.856206165E-01 1.313550050E-01
MABC 300 1.140453838E-04 5.258815100E-05 7.127736489E+04 5.665061738E+00 4.638502579E+00 1.950552989E+00 1.156702925E+04 2.919634456E+02 5.987910133E+01 1.682272983E-03 1.067470733E-03 9.514206147E+00 1.404795739E+01 1.121911103E+01 6.316644473E+00 6.232949785E+02 2.327728954E+02 2.280499887E+00 2.117564182E+01 1.740550226E+01 5.294301817E-01 8.500434687E-03 8.260480395E-03 6.255433582E-02 3.860342799E-01 3.616651370E-01
TLBO 300 3.570754639E-08 1.551552526E-08 2.131721650E+01 2.109970212E+00 2.043837928E+00 9.894281873E-02 1.977570200E+02 1.950874689E+02 4.082642093E-02 3.385890156E-04 2.592920725E-04 1.116181347E+00 2.781868462E+00 2.424310994E+00 4.488898240E-01 1.187701519E+03 5.379478584E+02 5.251060625E+00 3.778960593E+01 4.047964813E+01 1.602309794E-01 7.854716990E-03 7.903699787E-03 1.816037623E-02 1.118397338E-01 1.118221520E-01
GOTLBO 300 1.007199159E-04 4.624276855E-05 6.294894745E+04 9.245004751E+00 7.274600298E+00 3.815106641E+00 2.026222681E+04 4.138691961E+03 1.056432990E+02 3.255103294E-04 6.794139628E-05 1.034439559E+00 1.948020102E+01 1.905673133E+01 9.145938031E+00 9.988588073E+01 6.933134149E+01 4.742848383E-01 2.123321155E+01 1.802082686E+01 5.281508544E-01 1.593932017E-02 1.343411914E-02 9.924150216E-01 5.395584794E-01 5.527448947E-01
STLBO 300 1.596734128E-09 1.596734065E-09 2.041169812E-03 1.919732283E+00 1.919732278E+00 1.394359885E-04 1.899984966E+02 1.899984964E+02 7.912405595E-06 1.599035257E-04 1.599035241E-04 6.029640914E-04 1.919363429E+00 1.919363418E+00 3.315476348E-04 1.899513542E+02 1.899513532E+02 2.560303808E-04 4.500918824E+01 4.500918839E+01 2.041831488E-04 8.000114638E-03 8.000114643E-03 1.432978539E-05 1.118034352E-01 1.118034352E-01
PSO 300 4.510681873E-04 4.200339559E-04 2.819166171E+05 1.710961303E+01 1.272455092E+01 7.911256785E+00 4.778857132E+05 4.666139311E+05 2.514187964E+03 2.453062696E-03 1.396983107E-03 1.433164185E+01 3.127024337E+01 3.436914145E+01 1.528658509E+01 6.650465234E+02 1.207705198E+02 2.500244860E+00 2.975232511E+01 2.344261309E+01 3.388372197E-01 4.010791362E-02 3.808060276E-02 4.013489202E+00 5.240148163E-01 5.326473397E-01
IJAYA 300 3.892107119E-05 2.289309032E-05 2.432466950E+04 4.411655563E+00 4.234459388E+00 1.297737272E+00 4.948095676E+04 1.381908198E+04 2.594260882E+02 4.914532662E-04 3.714482507E-04 2.071582914E+00 6.521710108E+00 5.135234912E+00 2.396724015E+00 1.822004712E+02 1.681843638E+02 4.105015154E-02 1.015047856E+01 7.262117170E+00 7.744338099E-01 6.753569416E-03 6.690234015E-03 1.558038229E-01 1.573339579E-01 1.475285087E-01
