name time T kT_1 I
00 9:01:42 286.4 40.48 9.893E-009
00 9:20:14 289.5 40.05 1.465E-008
00 9:43:00 292.4 39.65 4.843E-009
00 10:00:50 293.7 39.48 3.488E-009
00 10:26:36 298.3 38.87 4.800E-009
001 10:48:28 302.4 38.34 6.620E-009
001 11:04:56 304.6 38.06 3.000E-009
001 11:23:16 307 37.77 3.933E-008
001 11:44:10 310.1 37.39 2.804E-009
001 12:09:28 314.2 36.9 2.593E-011
002 12:18:56 315.1 36.8 1.981E-009
002 12:40:46 318.4 36.41 2.085E-009
002 13:01:50 321.7 36.04 4.131E-009
002 13:19:06 324.1 35.77 6.455E-009
002 13:38:00 327.5 35.4 1.815E-008
003 13:58:28 331.8 34.94 2.458E-008
003 14:11:50 332.2 34.9 1.441E-009
