name time T kT_1 I
00 9:01:42 286.4 40.48 1.605E-006
00 9:20:14 289.5 40.05 1.961E-006
00 9:43:00 292.4 39.65 1.868E-006
00 10:00:50 293.7 39.48 1.953E-006
00 10:26:36 298.3 38.87 2.215E-006
001 10:48:28 302.4 38.34 2.449E-006
001 11:04:56 304.6 38.06 2.626E-006
001 11:23:16 307 37.77 2.881E-006
001 11:44:10 310.1 37.39 3.060E-006
001 12:09:28 314.2 36.9 3.444E-006
002 12:18:56 315.1 36.8 4.113E-006
002 12:40:46 318.4 36.41 4.036E-006
002 13:01:50 321.7 36.04 4.471E-006
002 13:19:06 324.1 35.77 5.072E-006
002 13:38:00 327.5 35.4 5.886E-006
003 13:58:28 331.8 34.94 6.601E-006
003 14:11:50 332.2 34.9 7.259E-006
