name time T kT_1 I
00 9:01:42 286.4 40.48 5.099E-007
00 9:20:14 289.5 40.05 5.754E-007
00 9:43:00 292.4 39.65 5.820E-007
00 10:00:50 293.7 39.48 6.080E-007
00 10:26:36 298.3 38.87 7.014E-007
001 10:48:28 302.4 38.34 7.584E-007
001 11:04:56 304.6 38.06 8.054E-007
001 11:23:16 307 37.77 8.870E-007
001 11:44:10 310.1 37.39 9.534E-007
001 12:09:28 314.2 36.9 1.053E-006
002 12:18:56 315.1 36.8 1.163E-006
002 12:40:46 318.4 36.41 1.288E-006
002 13:01:50 321.7 36.04 1.284E-006
002 13:19:06 324.1 35.77 1.570E-006
002 13:38:00 327.5 35.4 1.764E-006
003 13:58:28 331.8 34.94 2.004E-006
003 14:11:50 332.2 34.9 2.274E-006
