name time T kT_1 I
00 9:01:42 286.4 40.48 1.977E-005
00 9:20:14 289.5 40.05 2.253E-005
00 9:43:00 292.4 39.65 2.805E-005
00 10:00:50 293.7 39.48 3.018E-005
00 10:26:36 298.3 38.87 3.841E-005
001 10:48:28 302.4 38.34 4.924E-005
001 11:04:56 304.6 38.06 5.556E-005
001 11:23:16 307 37.77 6.225E-005
001 11:44:10 310.1 37.39 7.107E-005
001 12:09:28 314.2 36.9 8.473E-005
002 12:18:56 315.1 36.8 8.152E-005
002 12:40:46 318.4 36.41 9.285E-005
002 13:01:50 321.7 36.04 1.104E-004
002 13:19:06 324.1 35.77 1.235E-004
002 13:38:00 327.5 35.4 1.390E-004
003 13:58:28 331.8 34.94 1.701E-004
003 14:11:50 332.2 34.9 1.593E-004
