T(K) Nd(cm-3) Mu(cm2/Vs)
384 1.04697E+13 2.82197E+2
416 4.37564E+14 2.40488E+2
446 2.30715E+16 2.01279E+2
219 4.48591E+15 8.42311E+2
269 1.95880E+13 5.75082E+2
358 4.27728E+14 3.23449E+2
248 8.17641E+14 6.75205E+2
370 1.78027E+18 1.13248E+2
466 4.19224E+13 1.94575E+2
295 5.12797E+18 1.02248E+2
492 7.85017E+14 1.75275E+2
346 3.83417E+16 3.06051E+2
276 4.59312E+16 4.41475E+2
393 4.52217E+17 1.61261E+2
236 2.84883E+16 6.23759E+2
372 4.46957E+15 2.95082E+2
222 8.96959E+13 8.55889E+2
459 1.86263E+16 1.92496E+2
411 1.27666E+14 2.46431E+2
480 2.73401E+15 1.82657E+2
343 3.00616E+13 3.52059E+2
229 1.41693E+14 8.07678E+2
220 9.35488E+13 8.80372E+2
327 7.49042E+15 3.74500E+2
231 3.88104E+13 7.91496E+2
349 6.83785E+13 3.40452E+2
364 2.46925E+15 3.09746E+2
290 1.48371E+13 4.92766E+2
218 2.01855E+13 8.98378E+2
452 2.06597E+14 2.06182E+2
231 8.37551E+16 5.07372E+2
271 3.30417E+17 2.66003E+2
398 9.76932E+16 2.17184E+2
325 8.69256E+13 3.93122E+2
416 4.86817E+16 2.17432E+2
381 1.49682E+14 2.86631E+2
205 2.52285E+15 9.91797E+2
272 4.74913E+16 4.50524E+2
387 1.32291E+13 2.77878E+2
227 8.31813E+17 2.25653E+2
316 1.31909E+15 4.10492E+2
373 5.80917E+17 1.58706E+2
297 1.21787E+18 1.53342E+2
395 7.74179E+16 2.27220E+2
322 2.21627E+14 3.98958E+2
429 5.30566E+16 2.05030E+2
341 2.24981E+16 3.29038E+2
412 6.00785E+15 2.40690E+2
218 1.19067E+15 8.78763E+2
312 5.78908E+15 4.12674E+2
351 2.94781E+15 3.30795E+2
424 2.69576E+16 2.19009E+2
357 4.53576E+17 1.78621E+2
398 3.40727E+15 2.59099E+2
